Run,source_name,Instrument,SRR_file_name
SRR7543029,Control skin,Illumina HiSeq 2000,NS_SRR7543029
SRR7543030,Control skin,Illumina HiSeq 2000,NS_SRR7543030
SRR7543031,Control skin,Illumina HiSeq 2000,NS_SRR7543031
SRR7543032,Control skin,Illumina HiSeq 2000,NS_SRR7543032
SRR7543033,Control skin,Illumina HiSeq 2000,NS_SRR7543033
SRR7543034,Control skin,Illumina HiSeq 2000,NS_SRR7543034
SRR7543035,Control skin,Illumina HiSeq 2000,NS_SRR7543035
SRR7543036,Control skin,Illumina HiSeq 2000,NS_SRR7543036
SRR7543037,Control skin,Illumina HiSeq 2000,NS_SRR7543037
SRR7543038,Conventional psoriatic skin,Illumina HiSeq 2000,PS_SRR7543038
SRR7543039,Conventional psoriatic skin,Illumina HiSeq 2000,PS_SRR7543039
SRR7543040,Conventional psoriatic skin,Illumina HiSeq 2000,PS_SRR7543040
SRR7543041,Conventional psoriatic skin,Illumina HiSeq 2000,PS_SRR7543041
SRR7543042,Conventional psoriatic skin,Illumina HiSeq 4000,PS_SRR7543042
SRR7543043,Conventional psoriatic skin,Illumina HiSeq 4000,PS_SRR7543043
SRR7543044,Conventional psoriatic skin,Illumina HiSeq 4000,PS_SRR7543044
SRR7543045,Conventional psoriatic skin,Illumina HiSeq 4000,PS_SRR7543045
