Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR7543026,RNA-Seq,200,4947429200,PRJNA481993,SAMN09693144,3527300154,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",palmoplantar psoriasis,SRX4409389,GSM3293897,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:50:00Z,1,GSM3293897,Palmoplantar psoriatic skin,SRP154474,skin
SRR7543027,RNA-Seq,200,5174195400,PRJNA481993,SAMN09693143,3689633598,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",palmoplantar psoriasis,SRX4409390,GSM3293898,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:56:00Z,1,GSM3293898,Palmoplantar psoriatic skin,SRP154474,skin
SRR7543028,RNA-Seq,200,8351997200,PRJNA481993,SAMN09693142,3158067586,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",palmoplantar psoriasis,SRX4409391,GSM3293899,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T18:03:00Z,1,GSM3293899,Palmoplantar psoriatic skin,SRP154474,skin
SRR7543029,RNA-Seq,200,5691977600,PRJNA481993,SAMN09693141,2871614143,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409392,GSM3293900,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:51:00Z,1,GSM3293900,Control skin,SRP154474,skin
SRR7543030,RNA-Seq,200,5366658200,PRJNA481993,SAMN09693140,2728770744,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409393,GSM3293901,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:51:00Z,1,GSM3293901,Control skin,SRP154474,skin
SRR7543031,RNA-Seq,200,5635195600,PRJNA481993,SAMN09693139,2858556532,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409394,GSM3293902,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:59:00Z,1,GSM3293902,Control skin,SRP154474,skin
SRR7543032,RNA-Seq,200,4328378600,PRJNA481993,SAMN09693138,3103673274,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409395,GSM3293903,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:48:00Z,1,GSM3293903,Control skin,SRP154474,skin
SRR7543033,RNA-Seq,200,4723923000,PRJNA481993,SAMN09693137,3365764316,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409396,GSM3293904,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:48:00Z,1,GSM3293904,Control skin,SRP154474,skin
SRR7543034,RNA-Seq,200,5273440000,PRJNA481993,SAMN09693136,3767829851,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409397,GSM3293905,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:52:00Z,1,GSM3293905,Control skin,SRP154474,skin
SRR7543035,RNA-Seq,200,4800860800,PRJNA481993,SAMN09693135,3440490036,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",healthy control,SRX4409398,GSM3293906,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,2018-07-19T17:54:00Z,1,GSM3293906,Control skin,SRP154474,skin
