Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
SRR7543029	(1, 45.6615)	(2, 46.422200000000004)	(3, 47.5674)	(4, 47.307500000000005)	(5, 46.325300000000006)	(6, 46.8535)	(7, 46.9085)	(8, 46.3648)	(9, 46.5022)	(10, 46.651199999999996)	(11, 46.3121)	(12, 46.4446)	(13, 46.3407)	(14, 45.9285)	(15, 46.5482)	(16, 46.2505)	(17, 46.075)	(18, 46.236)	(19, 46.464800000000004)	(20, 46.1026)	(21, 46.470299999999995)	(22, 46.800599999999996)	(23, 46.8716)	(24, 46.8511)	(25, 46.542)	(26, 46.012100000000004)	(27, 46.627)	(28, 46.340900000000005)	(29, 46.0829)	(30, 46.9246)	(31, 46.5235)	(32, 46.5917)	(33, 47.0314)	(34, 46.6291)	(35, 46.190799999999996)	(36, 46.3878)	(37, 46.465)	(38, 46.405499999999996)	(39, 46.342800000000004)	(40, 46.0946)	(41, 46.6139)	(42, 46.6679)	(43, 46.8427)	(44, 46.485)	(45, 46.6157)	(46, 46.6613)	(47, 46.5804)	(48, 46.9461)	(49, 46.5142)	(50, 46.2667)	(51, 46.4796)	(52, 46.3814)	(53, 46.4871)	(54, 46.3315)	(55, 46.7943)	(56, 46.116299999999995)	(57, 46.311400000000006)	(58, 46.0344)	(59, 46.2346)	(60, 46.2574)	(61, 46.2985)	(62, 46.0876)	(63, 46.1205)	(64, 46.779900000000005)	(65, 46.233200000000004)	(66, 47.0421)	(67, 46.6144)	(68, 46.463300000000004)	(69, 46.3985)	(70, 46.231100000000005)	(71, 46.17)	(72, 46.1323)	(73, 46.2764)	(74, 46.2661)	(75, 46.3538)	(76, 46.153)	(77, 46.0453)	(78, 46.559)	(79, 45.9991)	(80, 46.3312)	(81, 46.6602)	(82, 46.2922)	(83, 45.7146)	(84, 46.1812)	(85, 46.2048)	(86, 46.2363)	(87, 46.671099999999996)
SRR7543030	(1, 47.1557)	(2, 47.9456)	(3, 49.304199999999994)	(4, 48.827)	(5, 48.2166)	(6, 48.6305)	(7, 48.6618)	(8, 48.1509)	(9, 48.0077)	(10, 48.295500000000004)	(11, 48.104200000000006)	(12, 48.3636)	(13, 47.9001)	(14, 47.6002)	(15, 48.1561)	(16, 47.881299999999996)	(17, 47.9544)	(18, 47.9473)	(19, 48.0575)	(20, 47.800399999999996)	(21, 48.092800000000004)	(22, 48.1577)	(23, 48.457)	(24, 48.6862)	(25, 48.201899999999995)	(26, 47.7187)	(27, 48.3637)	(28, 47.842400000000005)	(29, 47.8158)	(30, 48.6635)	(31, 47.9335)	(32, 48.1698)	(33, 48.7715)	(34, 48.5352)	(35, 47.9267)	(36, 48.038199999999996)	(37, 47.734300000000005)	(38, 47.9505)	(39, 47.8692)	(40, 47.475899999999996)	(41, 48.1232)	(42, 48.4754)	(43, 48.5205)	(44, 48.1552)	(45, 47.9763)	(46, 48.2186)	(47, 47.9954)	(48, 48.541000000000004)	(49, 47.9422)	(50, 47.938399999999994)	(51, 48.5107)	(52, 47.9244)	(53, 48.247800000000005)	(54, 48.0714)	(55, 48.4801)	(56, 47.8421)	(57, 47.8985)	(58, 47.6866)	(59, 47.9858)	(60, 48.113299999999995)	(61, 47.800399999999996)	(62, 47.7659)	(63, 47.9076)	(64, 48.490100000000005)	(65, 47.5271)	(66, 48.7069)	(67, 48.3972)	(68, 48.294599999999996)	(69, 47.983399999999996)	(70, 47.6032)	(71, 47.8464)	(72, 47.9033)	(73, 47.8733)	(74, 48.0167)	(75, 48.1756)	(76, 47.7236)	(77, 47.7306)	(78, 48.3491)	(79, 47.7588)	(80, 48.042)	(81, 48.092800000000004)	(82, 47.8763)	(83, 47.207)	(84, 47.7715)	(85, 47.6859)	(86, 47.994)	(87, 48.4246)
SRR7543031	(1, 46.5522)	(2, 47.165)	(3, 48.4874)	(4, 48.158)	(5, 47.1503)	(6, 47.855799999999995)	(7, 47.7852)	(8, 47.3915)	(9, 47.5163)	(10, 47.686299999999996)	(11, 47.3388)	(12, 47.476400000000005)	(13, 47.2827)	(14, 46.861799999999995)	(15, 47.601)	(16, 47.2548)	(17, 47.0)	(18, 47.194399999999995)	(19, 47.4005)	(20, 46.9488)	(21, 47.4254)	(22, 47.6689)	(23, 47.7228)	(24, 47.7812)	(25, 47.5275)	(26, 46.9996)	(27, 47.611399999999996)	(28, 47.433)	(29, 46.9057)	(30, 47.9952)	(31, 47.6739)	(32, 47.6939)	(33, 48.0353)	(34, 47.5111)	(35, 47.0754)	(36, 47.3356)	(37, 47.309)	(38, 47.3207)	(39, 47.4105)	(40, 47.034)	(41, 47.5184)	(42, 47.6155)	(43, 47.7378)	(44, 47.2884)	(45, 47.6674)	(46, 47.6481)	(47, 47.4911)	(48, 47.9354)	(49, 47.592099999999995)	(50, 47.232)	(51, 47.5169)	(52, 47.3773)	(53, 47.388000000000005)	(54, 47.3776)	(55, 47.7581)	(56, 47.0584)	(57, 47.3376)	(58, 46.9947)	(59, 47.2391)	(60, 47.2044)	(61, 47.3424)	(62, 46.9804)	(63, 47.1776)	(64, 47.6267)	(65, 47.1292)	(66, 48.028999999999996)	(67, 47.5353)	(68, 47.5209)	(69, 47.3345)	(70, 47.1703)	(71, 47.057300000000005)	(72, 47.0792)	(73, 47.2161)	(74, 47.1417)	(75, 47.4201)	(76, 47.188)	(77, 46.9458)	(78, 47.5683)	(79, 46.9953)	(80, 47.2767)	(81, 47.768899999999995)	(82, 47.332499999999996)	(83, 46.5805)	(84, 47.183)	(85, 47.1133)	(86, 47.1548)	(87, 47.664899999999996)
SRR7543032	(1, 45.7698)	(2, 46.6387)	(3, 48.0218)	(4, 47.8697)	(5, 46.7178)	(6, 47.4194)	(7, 47.208600000000004)	(8, 46.5126)	(9, 46.9188)	(10, 46.877)	(11, 46.437)	(12, 46.8642)	(13, 46.7695)	(14, 46.664)	(15, 47.1935)	(16, 46.848800000000004)	(17, 46.2692)	(18, 46.5476)	(19, 46.7163)	(20, 46.0905)	(21, 46.8823)	(22, 47.2753)	(23, 47.4435)	(24, 47.6821)	(25, 47.4435)	(26, 46.700900000000004)	(27, 47.0339)	(28, 46.754200000000004)	(29, 46.087)	(30, 47.1115)	(31, 46.9786)	(32, 46.866400000000006)	(33, 47.4039)	(34, 47.0606)	(35, 46.7629)	(36, 46.7713)	(37, 47.322399999999995)	(38, 46.8113)	(39, 47.056799999999996)	(40, 46.4319)	(41, 47.107)	(42, 47.2686)	(43, 47.278)	(44, 46.4131)	(45, 47.2306)	(46, 47.0542)	(47, 46.9678)	(48, 47.3217)	(49, 47.1061)	(50, 46.5113)	(51, 46.5463)	(52, 47.0362)	(53, 46.731)	(54, 46.555099999999996)	(55, 47.1472)	(56, 46.3289)	(57, 46.8026)	(58, 46.663700000000006)	(59, 46.7884)	(60, 46.662)	(61, 46.681400000000004)	(62, 46.4836)	(63, 46.6019)	(64, 46.997499999999995)	(65, 46.5022)	(66, 47.237899999999996)	(67, 46.854)	(68, 46.7611)	(69, 47.050399999999996)	(70, 47.204)	(71, 46.6957)	(72, 46.4641)	(73, 46.8549)	(74, 46.4401)	(75, 46.4734)	(76, 46.320299999999996)	(77, 45.9818)	(78, 46.9454)	(79, 46.031800000000004)	(80, 46.7536)	(81, 47.6566)	(82, 46.8292)	(83, 46.2144)	(84, 46.5518)	(85, 46.5069)	(86, 46.6638)	(87, 47.1029)
SRR7543033	(1, 45.6492)	(2, 46.4825)	(3, 47.8314)	(4, 47.6152)	(5, 46.6599)	(6, 47.3333)	(7, 47.194)	(8, 46.5982)	(9, 46.7727)	(10, 46.7577)	(11, 46.4592)	(12, 46.7744)	(13, 46.6167)	(14, 46.6633)	(15, 47.043600000000005)	(16, 46.6724)	(17, 46.216499999999996)	(18, 46.4162)	(19, 46.5221)	(20, 46.0082)	(21, 46.6777)	(22, 47.0066)	(23, 47.2893)	(24, 47.5053)	(25, 47.2724)	(26, 46.6601)	(27, 46.943200000000004)	(28, 46.8337)	(29, 46.0185)	(30, 46.930899999999994)	(31, 46.910000000000004)	(32, 46.836)	(33, 47.2893)	(34, 46.9466)	(35, 46.7239)	(36, 46.653800000000004)	(37, 47.1281)	(38, 46.7545)	(39, 46.811)	(40, 46.2892)	(41, 46.9949)	(42, 47.1226)	(43, 47.1181)	(44, 46.3442)	(45, 47.1604)	(46, 46.9296)	(47, 46.9428)	(48, 47.1021)	(49, 46.9995)	(50, 46.5005)	(51, 46.4335)	(52, 46.9094)	(53, 46.6721)	(54, 46.4424)	(55, 47.0611)	(56, 46.3122)	(57, 46.745599999999996)	(58, 46.4338)	(59, 46.7683)	(60, 46.6068)	(61, 46.5625)	(62, 46.4499)	(63, 46.5051)	(64, 46.9599)	(65, 46.4157)	(66, 47.0852)	(67, 46.7473)	(68, 46.758300000000006)	(69, 46.82)	(70, 47.0771)	(71, 46.638600000000004)	(72, 46.281499999999994)	(73, 46.686499999999995)	(74, 46.422200000000004)	(75, 46.3377)	(76, 46.1008)	(77, 45.9608)	(78, 46.9153)	(79, 46.068999999999996)	(80, 46.753)	(81, 47.4683)	(82, 46.6665)	(83, 46.116099999999996)	(84, 46.2225)	(85, 46.321400000000004)	(86, 46.7075)	(87, 46.898)
SRR7543034	(1, 46.5944)	(2, 47.302699999999994)	(3, 48.8249)	(4, 48.7033)	(5, 47.633199999999995)	(6, 48.2217)	(7, 48.133700000000005)	(8, 47.508)	(9, 47.5863)	(10, 47.5639)	(11, 47.3907)	(12, 47.6736)	(13, 47.508)	(14, 47.4713)	(15, 47.951899999999995)	(16, 47.5413)	(17, 47.13)	(18, 47.427)	(19, 47.5304)	(20, 46.8663)	(21, 47.6663)	(22, 48.053000000000004)	(23, 48.268899999999995)	(24, 48.4276)	(25, 48.2999)	(26, 47.4512)	(27, 47.8547)	(28, 47.623)	(29, 47.1032)	(30, 47.946)	(31, 47.869299999999996)	(32, 47.8789)	(33, 48.3123)	(34, 48.039100000000005)	(35, 47.6868)	(36, 47.666799999999995)	(37, 48.1481)	(38, 47.6804)	(39, 47.9061)	(40, 47.4103)	(41, 48.0835)	(42, 48.019099999999995)	(43, 48.0261)	(44, 47.1467)	(45, 48.1128)	(46, 47.809200000000004)	(47, 47.8843)	(48, 48.1687)	(49, 47.9334)	(50, 47.531)	(51, 47.4906)	(52, 47.892)	(53, 47.5078)	(54, 47.4596)	(55, 48.0148)	(56, 47.245799999999996)	(57, 47.6823)	(58, 47.5009)	(59, 47.7769)	(60, 47.660000000000004)	(61, 47.5553)	(62, 47.4236)	(63, 47.4686)	(64, 47.8332)	(65, 47.4081)	(66, 48.0438)	(67, 47.6064)	(68, 47.6229)	(69, 47.7211)	(70, 48.0341)	(71, 47.5864)	(72, 47.0595)	(73, 47.5953)	(74, 47.3243)	(75, 47.3)	(76, 47.0572)	(77, 47.1543)	(78, 47.8794)	(79, 47.1307)	(80, 47.656)	(81, 48.1164)	(82, 47.6483)	(83, 47.2228)	(84, 47.3686)	(85, 47.3456)	(86, 47.566199999999995)	(87, 47.761900000000004)
SRR7543035	(1, 48.3277)	(2, 49.1655)	(3, 50.5758)	(4, 50.0399)	(5, 49.2039)	(6, 49.9209)	(7, 49.1025)	(8, 48.7318)	(9, 49.224000000000004)	(10, 49.074200000000005)	(11, 48.4101)	(12, 48.7851)	(13, 48.7602)	(14, 48.974000000000004)	(15, 49.6357)	(16, 48.888799999999996)	(17, 48.1919)	(18, 48.862)	(19, 48.821799999999996)	(20, 48.1561)	(21, 48.7294)	(22, 49.1961)	(23, 49.7072)	(24, 49.813)	(25, 49.3663)	(26, 48.7484)	(27, 49.4124)	(28, 48.8823)	(29, 48.1677)	(30, 49.6323)	(31, 49.0914)	(32, 49.2992)	(33, 49.7693)	(34, 48.951699999999995)	(35, 48.7101)	(36, 48.844100000000005)	(37, 49.418800000000005)	(38, 49.065)	(39, 49.1247)	(40, 48.187200000000004)	(41, 49.6649)	(42, 49.520399999999995)	(43, 49.3288)	(44, 48.7044)	(45, 49.402499999999996)	(46, 48.7799)	(47, 49.3456)	(48, 49.5685)	(49, 49.1658)	(50, 48.862)	(51, 48.9236)	(52, 49.201499999999996)	(53, 49.0885)	(54, 48.693799999999996)	(55, 49.2971)	(56, 48.4005)	(57, 48.8356)	(58, 48.4116)	(59, 49.2975)	(60, 48.8723)	(61, 48.8089)	(62, 48.8528)	(63, 48.983399999999996)	(64, 49.3764)	(65, 48.9891)	(66, 49.8459)	(67, 48.879400000000004)	(68, 49.2122)	(69, 49.1398)	(70, 49.4472)	(71, 49.1794)	(72, 48.6134)	(73, 49.2128)	(74, 48.8729)	(75, 48.667)	(76, 48.2113)	(77, 48.3024)	(78, 49.1569)	(79, 47.887299999999996)	(80, 49.1053)	(81, 50.1425)	(82, 48.9685)	(83, 48.477399999999996)	(84, 48.5341)	(85, 48.5791)	(86, 49.201299999999996)	(87, 49.4907)
SRR7543036	(1, 47.2487)	(2, 48.0401)	(3, 49.3836)	(4, 49.0635)	(5, 48.0807)	(6, 48.8463)	(7, 48.6547)	(8, 47.835899999999995)	(9, 48.2091)	(10, 48.2074)	(11, 47.9429)	(12, 48.2611)	(13, 48.0839)	(14, 47.929500000000004)	(15, 48.569)	(16, 48.0424)	(17, 47.5351)	(18, 47.8302)	(19, 47.836800000000004)	(20, 47.3159)	(21, 48.0473)	(22, 48.342)	(23, 48.4599)	(24, 48.795899999999996)	(25, 48.5204)	(26, 47.8682)	(27, 48.395500000000006)	(28, 48.0807)	(29, 47.2304)	(30, 48.463499999999996)	(31, 48.3112)	(32, 48.2655)	(33, 48.7769)	(34, 48.4105)	(35, 47.929100000000005)	(36, 48.084500000000006)	(37, 48.6619)	(38, 48.127399999999994)	(39, 48.2066)	(40, 47.6412)	(41, 48.3296)	(42, 48.571799999999996)	(43, 48.384)	(44, 47.774899999999995)	(45, 48.5802)	(46, 48.3384)	(47, 48.217999999999996)	(48, 48.5526)	(49, 48.438900000000004)	(50, 47.7635)	(51, 48.0589)	(52, 48.320299999999996)	(53, 48.0135)	(54, 47.7845)	(55, 48.509299999999996)	(56, 47.5564)	(57, 48.1715)	(58, 47.835899999999995)	(59, 48.1513)	(60, 47.9129)	(61, 47.8771)	(62, 47.7949)	(63, 47.8786)	(64, 48.3792)	(65, 47.6497)	(66, 48.545)	(67, 48.187000000000005)	(68, 48.1173)	(69, 48.2383)	(70, 48.3531)	(71, 47.995)	(72, 47.692299999999996)	(73, 47.947)	(74, 47.7186)	(75, 47.751900000000006)	(76, 47.5563)	(77, 47.2427)	(78, 48.3058)	(79, 47.382000000000005)	(80, 47.9892)	(81, 48.916900000000005)	(82, 48.1992)	(83, 47.4746)	(84, 47.654999999999994)	(85, 47.9177)	(86, 47.9612)	(87, 48.3336)
SRR7543037	(1, 45.9315)	(2, 46.8769)	(3, 48.1466)	(4, 48.0053)	(5, 46.985)	(6, 47.6042)	(7, 47.4777)	(8, 46.7509)	(9, 46.9649)	(10, 47.0238)	(11, 46.7118)	(12, 47.003)	(13, 46.9453)	(14, 46.7729)	(15, 47.3242)	(16, 46.9621)	(17, 46.455999999999996)	(18, 46.614)	(19, 46.7565)	(20, 46.3247)	(21, 46.9538)	(22, 47.346)	(23, 47.5936)	(24, 47.6196)	(25, 47.5373)	(26, 46.8643)	(27, 47.144999999999996)	(28, 46.9889)	(29, 46.3303)	(30, 47.276)	(31, 47.195100000000004)	(32, 47.1792)	(33, 47.598)	(34, 47.2588)	(35, 46.9795)	(36, 46.9812)	(37, 47.5398)	(38, 47.1448)	(39, 47.1977)	(40, 46.588499999999996)	(41, 47.3996)	(42, 47.428399999999996)	(43, 47.3993)	(44, 46.701100000000004)	(45, 47.402499999999996)	(46, 47.2419)	(47, 47.254200000000004)	(48, 47.524499999999996)	(49, 47.3371)	(50, 46.818799999999996)	(51, 46.8159)	(52, 47.2151)	(53, 46.9906)	(54, 46.7362)	(55, 47.3647)	(56, 46.6071)	(57, 47.0127)	(58, 46.773900000000005)	(59, 47.1574)	(60, 46.8719)	(61, 46.8895)	(62, 46.8198)	(63, 46.7508)	(64, 47.2368)	(65, 46.816)	(66, 47.5058)	(67, 47.092600000000004)	(68, 47.0946)	(69, 47.1834)	(70, 47.4267)	(71, 47.036699999999996)	(72, 46.591300000000004)	(73, 46.968900000000005)	(74, 46.7316)	(75, 46.6335)	(76, 46.543099999999995)	(77, 46.3129)	(78, 47.156)	(79, 46.4136)	(80, 47.086)	(81, 47.8223)	(82, 47.126000000000005)	(83, 46.5742)	(84, 46.727999999999994)	(85, 46.785199999999996)	(86, 47.03)	(87, 47.3508)
SRR7543038	(1, 47.5898)	(2, 48.1166)	(3, 49.711800000000004)	(4, 49.5308)	(5, 48.1511)	(6, 49.2004)	(7, 48.9363)	(8, 48.1541)	(9, 48.4534)	(10, 48.464600000000004)	(11, 48.179)	(12, 48.6343)	(13, 48.5191)	(14, 48.2787)	(15, 49.0633)	(16, 48.3992)	(17, 47.8252)	(18, 48.3084)	(19, 48.385099999999994)	(20, 47.7082)	(21, 48.5058)	(22, 49.0226)	(23, 49.025200000000005)	(24, 49.4283)	(25, 49.1573)	(26, 48.209999999999994)	(27, 48.6925)	(28, 48.4797)	(29, 47.8504)	(30, 48.8959)	(31, 48.7262)	(32, 48.7059)	(33, 49.1629)	(34, 48.9336)	(35, 48.2096)	(36, 48.3402)	(37, 49.0259)	(38, 48.450900000000004)	(39, 48.6986)	(40, 48.14)	(41, 48.7911)	(42, 48.9141)	(43, 48.862)	(44, 47.8938)	(45, 48.9704)	(46, 48.6413)	(47, 48.7923)	(48, 49.036)	(49, 48.9144)	(50, 48.254799999999996)	(51, 48.365700000000004)	(52, 48.709)	(53, 48.3398)	(54, 48.2349)	(55, 48.9358)	(56, 48.0018)	(57, 48.4518)	(58, 48.3105)	(59, 48.560199999999995)	(60, 48.4148)	(61, 48.3179)	(62, 48.1646)	(63, 48.2602)	(64, 48.7359)	(65, 48.2931)	(66, 49.221)	(67, 48.4621)	(68, 48.6365)	(69, 48.6793)	(70, 49.041000000000004)	(71, 48.550900000000006)	(72, 47.9957)	(73, 48.5604)	(74, 48.0683)	(75, 48.1996)	(76, 47.9617)	(77, 47.7245)	(78, 48.620200000000004)	(79, 47.757)	(80, 48.484100000000005)	(81, 49.1468)	(82, 48.4838)	(83, 47.9277)	(84, 48.1405)	(85, 48.2578)	(86, 48.280899999999995)	(87, 48.7346)
