Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR7543029	(1, 68.1216)	(2, 42.1563)	(3, 44.797399999999996)	(4, 43.993)	(5, 44.4743)	(6, 42.2435)	(7, 43.666700000000006)	(8, 51.4179)	(9, 48.8545)	(10, 41.5398)	(11, 52.5237)	(12, 48.9777)	(13, 44.838699999999996)	(14, 45.6613)	(15, 46.4253)	(16, 47.57)	(17, 47.3101)	(18, 46.3296)	(19, 46.8549)	(20, 46.909600000000005)	(21, 46.3675)	(22, 46.5005)	(23, 46.652)	(24, 46.3113)	(25, 46.446799999999996)	(26, 46.340399999999995)	(27, 45.9286)	(28, 46.5462)	(29, 46.2485)	(30, 46.0752)	(31, 46.2355)	(32, 46.4636)	(33, 46.103699999999996)	(34, 46.4678)	(35, 46.7963)	(36, 46.868700000000004)	(37, 46.848800000000004)	(38, 46.5422)	(39, 46.0088)	(40, 46.625499999999995)	(41, 46.3395)	(42, 46.0814)	(43, 46.9201)	(44, 46.5196)	(45, 46.5865)	(46, 47.0263)	(47, 46.6241)	(48, 46.1866)	(49, 46.3831)	(50, 46.4607)	(51, 46.4008)	(52, 46.3381)	(53, 46.0915)	(54, 46.610099999999996)	(55, 46.6648)	(56, 46.8399)	(57, 46.483799999999995)	(58, 46.6154)	(59, 46.6608)	(60, 46.581)	(61, 46.9475)	(62, 46.5168)	(63, 46.2697)	(64, 46.4835)	(65, 46.3861)	(66, 46.4926)	(67, 46.337)	(68, 46.7997)	(69, 46.1223)	(70, 46.3177)	(71, 46.0409)	(72, 46.240500000000004)	(73, 46.263)	(74, 46.3038)	(75, 46.0933)	(76, 46.1262)	(77, 46.7856)	(78, 46.2394)	(79, 47.0478)	(80, 46.6198)	(81, 46.469100000000005)	(82, 46.4043)	(83, 46.2372)	(84, 46.1747)	(85, 46.137699999999995)	(86, 46.2817)	(87, 46.2719)	(88, 46.3585)	(89, 46.158)	(90, 46.050200000000004)	(91, 46.563)	(92, 45.863)	(93, 46.3568)	(94, 46.5314)	(95, 46.016)	(96, 45.5968)	(97, 46.2313)	(98, 46.4433)	(99, 46.3399)	(100, 46.6216)
SRR7543030	(1, 69.633)	(2, 44.7347)	(3, 45.1342)	(4, 45.2722)	(5, 45.4284)	(6, 43.5542)	(7, 45.4165)	(8, 52.3007)	(9, 50.5381)	(10, 43.7647)	(11, 53.626200000000004)	(12, 50.678)	(13, 46.6688)	(14, 47.1603)	(15, 47.9481)	(16, 49.3069)	(17, 48.830400000000004)	(18, 48.2192)	(19, 48.635600000000004)	(20, 48.6631)	(21, 48.1565)	(22, 48.0064)	(23, 48.2981)	(24, 48.1058)	(25, 48.3639)	(26, 47.9006)	(27, 47.600300000000004)	(28, 48.1555)	(29, 47.883199999999995)	(30, 47.9528)	(31, 47.9481)	(32, 48.0565)	(33, 47.7985)	(34, 48.0923)	(35, 48.1574)	(36, 48.4566)	(37, 48.683)	(38, 48.2004)	(39, 47.7188)	(40, 48.3653)	(41, 47.8409)	(42, 47.814)	(43, 48.6595)	(44, 47.931000000000004)	(45, 48.167)	(46, 48.766799999999996)	(47, 48.531800000000004)	(48, 47.923100000000005)	(49, 48.0344)	(50, 47.7309)	(51, 47.9475)	(52, 47.8664)	(53, 47.4739)	(54, 48.1207)	(55, 48.4724)	(56, 48.5193)	(57, 48.1559)	(58, 47.9786)	(59, 48.2207)	(60, 47.9995)	(61, 48.5449)	(62, 47.9487)	(63, 47.9448)	(64, 48.5165)	(65, 47.9338)	(66, 48.2565)	(67, 48.0814)	(68, 48.4888)	(69, 47.8519)	(70, 47.9092)	(71, 47.6979)	(72, 47.9955)	(73, 48.1231)	(74, 47.810399999999994)	(75, 47.7769)	(76, 47.9177)	(77, 48.499900000000004)	(78, 47.538399999999996)	(79, 48.7155)	(80, 48.4065)	(81, 48.304)	(82, 47.9933)	(83, 47.612700000000004)	(84, 47.8551)	(85, 47.9111)	(86, 47.8812)	(87, 48.024699999999996)	(88, 48.1827)	(89, 47.732200000000006)	(90, 47.7388)	(91, 48.356700000000004)	(92, 47.6456)	(93, 48.0611)	(94, 47.975899999999996)	(95, 47.6256)	(96, 47.0884)	(97, 47.786)	(98, 47.8536)	(99, 48.0368)	(100, 48.3353)
SRR7543031	(1, 68.69760000000001)	(2, 43.7196)	(3, 45.3459)	(4, 45.0335)	(5, 45.3407)	(6, 43.331900000000005)	(7, 44.8162)	(8, 52.39319999999999)	(9, 49.634)	(10, 42.6333)	(11, 53.57730000000001)	(12, 50.155899999999995)	(13, 45.8658)	(14, 46.556599999999996)	(15, 47.1689)	(16, 48.4916)	(17, 48.1628)	(18, 47.155)	(19, 47.8605)	(20, 47.788000000000004)	(21, 47.396300000000004)	(22, 47.516799999999996)	(23, 47.69)	(24, 47.3416)	(25, 47.4792)	(26, 47.285)	(27, 46.863899999999994)	(28, 47.6016)	(29, 47.2572)	(30, 47.0008)	(31, 47.196)	(32, 47.4018)	(33, 46.9501)	(34, 47.4262)	(35, 47.6693)	(36, 47.722500000000004)	(37, 47.7798)	(38, 47.5285)	(39, 46.9993)	(40, 47.6129)	(41, 47.432)	(42, 46.905)	(43, 47.9933)	(44, 47.6722)	(45, 47.6916)	(46, 48.033500000000004)	(47, 47.5094)	(48, 47.0747)	(49, 47.3334)	(50, 47.307500000000005)	(51, 47.3193)	(52, 47.409)	(53, 47.033500000000004)	(54, 47.5169)	(55, 47.613699999999994)	(56, 47.7368)	(57, 47.29)	(58, 47.6691)	(59, 47.6506)	(60, 47.4938)	(61, 47.939)	(62, 47.5974)	(63, 47.2378)	(64, 47.5228)	(65, 47.3843)	(66, 47.3958)	(67, 47.3851)	(68, 47.7662)	(69, 47.0667)	(70, 47.3458)	(71, 47.0026)	(72, 47.2469)	(73, 47.2125)	(74, 47.3504)	(75, 46.9888)	(76, 47.1849)	(77, 47.6346)	(78, 47.1369)	(79, 48.0363)	(80, 47.542699999999996)	(81, 47.5277)	(82, 47.341899999999995)	(83, 47.1775)	(84, 47.0636)	(85, 47.0855)	(86, 47.2224)	(87, 47.148)	(88, 47.426)	(89, 47.1953)	(90, 46.9527)	(91, 47.5739)	(92, 46.867599999999996)	(93, 47.2943)	(94, 47.6387)	(95, 47.0662)	(96, 46.456900000000005)	(97, 47.2051)	(98, 47.3064)	(99, 47.2186)	(100, 47.5882)
SRR7543032	(1, 70.329)	(2, 41.078900000000004)	(3, 44.8757)	(4, 45.1398)	(5, 44.349)	(6, 42.3547)	(7, 44.3093)	(8, 49.5948)	(9, 48.0796)	(10, 42.7678)	(11, 54.4228)	(12, 52.59589999999999)	(13, 47.8656)	(14, 45.8716)	(15, 46.6599)	(16, 48.1096)	(17, 47.9068)	(18, 46.8111)	(19, 47.4532)	(20, 47.245)	(21, 46.5557)	(22, 47.0061)	(23, 46.9231)	(24, 46.4991)	(25, 46.8874)	(26, 46.791199999999996)	(27, 46.6945)	(28, 47.2118)	(29, 46.9369)	(30, 46.3573)	(31, 46.5924)	(32, 46.818799999999996)	(33, 46.1085)	(34, 46.9935)	(35, 47.3207)	(36, 47.4855)	(37, 47.7341)	(38, 47.4792)	(39, 46.7481)	(40, 47.1097)	(41, 46.7999)	(42, 46.165099999999995)	(43, 47.198299999999996)	(44, 47.0284)	(45, 46.9645)	(46, 47.496500000000005)	(47, 47.1494)	(48, 46.8839)	(49, 46.8838)	(50, 47.3903)	(51, 46.9345)	(52, 47.1052)	(53, 46.4792)	(54, 47.192499999999995)	(55, 47.2825)	(56, 47.3735)	(57, 46.4964)	(58, 47.3225)	(59, 47.1783)	(60, 47.0584)	(61, 47.4428)	(62, 47.2244)	(63, 46.5897)	(64, 46.638400000000004)	(65, 47.1482)	(66, 46.7914)	(67, 46.690799999999996)	(68, 47.2112)	(69, 46.448299999999996)	(70, 46.8879)	(71, 46.7712)	(72, 46.9152)	(73, 46.7395)	(74, 46.7598)	(75, 46.6033)	(76, 46.6789)	(77, 47.1295)	(78, 46.607)	(79, 47.303)	(80, 46.9688)	(81, 46.822599999999994)	(82, 47.1374)	(83, 47.3134)	(84, 46.7543)	(85, 46.58)	(86, 46.9652)	(87, 46.5567)	(88, 46.5613)	(89, 46.3951)	(90, 46.0388)	(91, 47.0269)	(92, 45.7305)	(93, 46.8635)	(94, 47.3574)	(95, 46.126)	(96, 45.939099999999996)	(97, 46.680899999999994)	(98, 47.1997)	(99, 46.9322)	(100, 46.9531)
SRR7543033	(1, 70.1337)	(2, 41.1291)	(3, 44.8298)	(4, 45.226)	(5, 44.4417)	(6, 42.3159)	(7, 44.1471)	(8, 49.6703)	(9, 48.2852)	(10, 42.6753)	(11, 54.393299999999996)	(12, 52.665099999999995)	(13, 47.8146)	(14, 45.76)	(15, 46.518)	(16, 47.925000000000004)	(17, 47.663)	(18, 46.7608)	(19, 47.3769)	(20, 47.2406)	(21, 46.648)	(22, 46.8726)	(23, 46.816)	(24, 46.5297)	(25, 46.8121)	(26, 46.6535)	(27, 46.7051)	(28, 47.0701)	(29, 46.7693)	(30, 46.3156)	(31, 46.4686)	(32, 46.6332)	(33, 46.0374)	(34, 46.794999999999995)	(35, 47.0524)	(36, 47.3376)	(37, 47.5629)	(38, 47.3132)	(39, 46.7138)	(40, 47.0284)	(41, 46.8904)	(42, 46.1018)	(43, 47.0223)	(44, 46.9656)	(45, 46.9335)	(46, 47.388400000000004)	(47, 47.0383)	(48, 46.8433)	(49, 46.7646)	(50, 47.199799999999996)	(51, 46.8808)	(52, 46.861399999999996)	(53, 46.3384)	(54, 47.0882)	(55, 47.1437)	(56, 47.2152)	(57, 46.4326)	(58, 47.256)	(59, 47.0572)	(60, 47.0336)	(61, 47.2239)	(62, 47.1184)	(63, 46.5764)	(64, 46.529900000000005)	(65, 47.0225)	(66, 46.733999999999995)	(67, 46.5811)	(68, 47.1309)	(69, 46.433099999999996)	(70, 46.833200000000005)	(71, 46.541399999999996)	(72, 46.8962)	(73, 46.691)	(74, 46.6418)	(75, 46.5725)	(76, 46.5858)	(77, 47.0951)	(78, 46.525)	(79, 47.1548)	(80, 46.8665)	(81, 46.8269)	(82, 46.9109)	(83, 47.185100000000006)	(84, 46.706599999999995)	(85, 46.403)	(86, 46.800799999999995)	(87, 46.5446)	(88, 46.4282)	(89, 46.1825)	(90, 46.0225)	(91, 47.0053)	(92, 45.739999999999995)	(93, 46.8741)	(94, 47.144200000000005)	(95, 45.920100000000005)	(96, 45.826899999999995)	(97, 46.4026)	(98, 47.091899999999995)	(99, 47.0057)	(100, 46.7761)
SRR7543034	(1, 70.797)	(2, 42.626999999999995)	(3, 46.3535)	(4, 46.4463)	(5, 45.5122)	(6, 43.6798)	(7, 45.0438)	(8, 50.787099999999995)	(9, 49.1506)	(10, 43.636)	(11, 54.9258)	(12, 53.24640000000001)	(13, 48.607099999999996)	(14, 46.7078)	(15, 47.3555)	(16, 48.922399999999996)	(17, 48.763)	(18, 47.732400000000005)	(19, 48.274499999999996)	(20, 48.1984)	(21, 47.5663)	(22, 47.6891)	(23, 47.6417)	(24, 47.4749)	(25, 47.7306)	(26, 47.561)	(27, 47.5291)	(28, 47.995900000000006)	(29, 47.6428)	(30, 47.237899999999996)	(31, 47.495)	(32, 47.646)	(33, 46.9145)	(34, 47.7803)	(35, 48.108000000000004)	(36, 48.330400000000004)	(37, 48.504599999999996)	(38, 48.3599)	(39, 47.5215)	(40, 47.9459)	(41, 47.694900000000004)	(42, 47.1899)	(43, 48.0401)	(44, 47.9396)	(45, 47.9769)	(46, 48.4144)	(47, 48.1285)	(48, 47.8044)	(49, 47.7767)	(50, 48.2306)	(51, 47.8048)	(52, 47.9665)	(53, 47.4752)	(54, 48.1816)	(55, 48.0578)	(56, 48.119)	(57, 47.2383)	(58, 48.2104)	(59, 47.9379)	(60, 47.9798)	(61, 48.2933)	(62, 48.057)	(63, 47.6147)	(64, 47.6007)	(65, 48.018)	(66, 47.593999999999994)	(67, 47.604)	(68, 48.106500000000004)	(69, 47.3725)	(70, 47.7915)	(71, 47.6196)	(72, 47.9135)	(73, 47.7659)	(74, 47.6545)	(75, 47.5548)	(76, 47.5698)	(77, 47.975)	(78, 47.5279)	(79, 48.136)	(80, 47.7269)	(81, 47.7168)	(82, 47.8304)	(83, 48.1571)	(84, 47.6751)	(85, 47.1839)	(86, 47.7196)	(87, 47.455000000000005)	(88, 47.4016)	(89, 47.1576)	(90, 47.2411)	(91, 47.9805)	(92, 46.8161)	(93, 47.781400000000005)	(94, 47.8002)	(95, 46.9018)	(96, 46.9116)	(97, 47.4981)	(98, 48.0487)	(99, 47.792899999999996)	(100, 47.564299999999996)
SRR7543035	(1, 74.9432)	(2, 42.4264)	(3, 49.210100000000004)	(4, 47.6351)	(5, 46.5864)	(6, 44.8472)	(7, 47.3896)	(8, 52.6903)	(9, 50.200599999999994)	(10, 44.826899999999995)	(11, 56.846799999999995)	(12, 55.6199)	(13, 50.266200000000005)	(14, 48.4647)	(15, 49.1986)	(16, 50.687000000000005)	(17, 50.0868)	(18, 49.3274)	(19, 49.9662)	(20, 49.155300000000004)	(21, 48.783300000000004)	(22, 49.3402)	(23, 49.1368)	(24, 48.4906)	(25, 48.8186)	(26, 48.7926)	(27, 49.0114)	(28, 49.6539)	(29, 49.002)	(30, 48.309999999999995)	(31, 48.9246)	(32, 48.9585)	(33, 48.181400000000004)	(34, 48.8793)	(35, 49.245400000000004)	(36, 49.7657)	(37, 49.8786)	(38, 49.4156)	(39, 48.815599999999996)	(40, 49.5222)	(41, 48.953)	(42, 48.2753)	(43, 49.7475)	(44, 49.1647)	(45, 49.4358)	(46, 49.9021)	(47, 49.0818)	(48, 48.8773)	(49, 48.9979)	(50, 49.519800000000004)	(51, 49.2381)	(52, 49.1872)	(53, 48.2607)	(54, 49.7873)	(55, 49.5496)	(56, 49.4562)	(57, 48.8226)	(58, 49.540099999999995)	(59, 48.952600000000004)	(60, 49.4732)	(61, 49.7376)	(62, 49.328300000000006)	(63, 48.9631)	(64, 49.054500000000004)	(65, 49.3467)	(66, 49.1663)	(67, 48.8726)	(68, 49.378899999999994)	(69, 48.5568)	(70, 48.9478)	(71, 48.5546)	(72, 49.4587)	(73, 48.978100000000005)	(74, 48.912099999999995)	(75, 49.0092)	(76, 49.0794)	(77, 49.5518)	(78, 49.129)	(79, 49.9366)	(80, 49.025800000000004)	(81, 49.2907)	(82, 49.2552)	(83, 49.5858)	(84, 49.2578)	(85, 48.76)	(86, 49.355900000000005)	(87, 49.0321)	(88, 48.7793)	(89, 48.310900000000004)	(90, 48.3784)	(91, 49.2708)	(92, 47.543800000000005)	(93, 49.2197)	(94, 49.7395)	(95, 48.1106)	(96, 48.0804)	(97, 48.6115)	(98, 49.2738)	(99, 49.295)	(100, 49.092999999999996)
SRR7543036	(1, 71.17229999999999)	(2, 43.8153)	(3, 46.6945)	(4, 46.772000000000006)	(5, 46.0448)	(6, 43.9696)	(7, 45.9663)	(8, 51.7312)	(9, 49.8363)	(10, 44.041999999999994)	(11, 55.5639)	(12, 53.99)	(13, 49.264799999999994)	(14, 47.3703)	(15, 48.0958)	(16, 49.4902)	(17, 49.13)	(18, 48.1946)	(19, 48.9124)	(20, 48.7231)	(21, 47.9037)	(22, 48.323)	(23, 48.283100000000005)	(24, 48.0336)	(25, 48.3188)	(26, 48.137299999999996)	(27, 47.9886)	(28, 48.613299999999995)	(29, 48.154)	(30, 47.6489)	(31, 47.8979)	(32, 47.957699999999996)	(33, 47.3666)	(34, 48.172599999999996)	(35, 48.400999999999996)	(36, 48.5261)	(37, 48.871900000000004)	(38, 48.585)	(39, 47.9457)	(40, 48.4985)	(41, 48.1576)	(42, 47.3292)	(43, 48.564099999999996)	(44, 48.3896)	(45, 48.375)	(46, 48.895300000000006)	(47, 48.518)	(48, 48.0637)	(49, 48.209999999999994)	(50, 48.753800000000005)	(51, 48.2721)	(52, 48.2775)	(53, 47.7128)	(54, 48.436800000000005)	(55, 48.6225)	(56, 48.4905)	(57, 47.8865)	(58, 48.6985)	(59, 48.485299999999995)	(60, 48.328900000000004)	(61, 48.6904)	(62, 48.5788)	(63, 47.8578)	(64, 48.1736)	(65, 48.4559)	(66, 48.1027)	(67, 47.9379)	(68, 48.6016)	(69, 47.690599999999996)	(70, 48.2839)	(71, 47.9649)	(72, 48.2959)	(73, 48.0199)	(74, 47.9799)	(75, 47.9379)	(76, 47.985)	(77, 48.532199999999996)	(78, 47.7728)	(79, 48.6381)	(80, 48.3178)	(81, 48.2095)	(82, 48.351699999999994)	(83, 48.478300000000004)	(84, 48.0872)	(85, 47.826299999999996)	(86, 48.079899999999995)	(87, 47.8564)	(88, 47.859899999999996)	(89, 47.6553)	(90, 47.327799999999996)	(91, 48.4136)	(92, 47.0321)	(93, 48.1078)	(94, 48.5501)	(95, 47.346500000000006)	(96, 47.1216)	(97, 47.792699999999996)	(98, 48.631099999999996)	(99, 48.1866)	(100, 48.0771)
SRR7543037	(1, 70.2767)	(2, 42.1418)	(3, 45.4857)	(4, 45.5179)	(5, 44.8959)	(6, 43.0493)	(7, 44.6152)	(8, 50.3121)	(9, 48.5448)	(10, 43.0502)	(11, 54.5361)	(12, 52.7393)	(13, 47.945)	(14, 46.0446)	(15, 46.926)	(16, 48.2461)	(17, 48.0633)	(18, 47.0904)	(19, 47.657)	(20, 47.5353)	(21, 46.8069)	(22, 47.0701)	(23, 47.0934)	(24, 46.7926)	(25, 47.0503)	(26, 46.9919)	(27, 46.8243)	(28, 47.3612)	(29, 47.0661)	(30, 46.5625)	(31, 46.6768)	(32, 46.8724)	(33, 46.366800000000005)	(34, 47.0708)	(35, 47.4046)	(36, 47.653)	(37, 47.69)	(38, 47.593)	(39, 46.9305)	(40, 47.2364)	(41, 47.056599999999996)	(42, 46.4215)	(43, 47.3666)	(44, 47.2647)	(45, 47.2831)	(46, 47.7006)	(47, 47.3521)	(48, 47.1013)	(49, 47.0938)	(50, 47.6203)	(51, 47.2752)	(52, 47.2572)	(53, 46.6503)	(54, 47.4967)	(55, 47.461999999999996)	(56, 47.4938)	(57, 46.7969)	(58, 47.5063)	(59, 47.368300000000005)	(60, 47.3555)	(61, 47.652499999999996)	(62, 47.4632)	(63, 46.9022)	(64, 46.921600000000005)	(65, 47.3362)	(66, 47.066)	(67, 46.8778)	(68, 47.4479)	(69, 46.7317)	(70, 47.1143)	(71, 46.8912)	(72, 47.2905)	(73, 46.9663)	(74, 46.9804)	(75, 46.9472)	(76, 46.841)	(77, 47.375699999999995)	(78, 46.9281)	(79, 47.585699999999996)	(80, 47.2103)	(81, 47.175)	(82, 47.2845)	(83, 47.543800000000005)	(84, 47.1151)	(85, 46.7117)	(86, 47.0914)	(87, 46.855999999999995)	(88, 46.731)	(89, 46.6325)	(90, 46.389399999999995)	(91, 47.253)	(92, 46.0785)	(93, 47.2158)	(94, 47.4912)	(95, 46.3414)	(96, 46.2757)	(97, 46.8976)	(98, 47.5326)	(99, 47.3159)	(100, 47.1947)
SRR7543038	(1, 70.6236)	(2, 44.7581)	(3, 46.8612)	(4, 47.4883)	(5, 46.4343)	(6, 44.657599999999995)	(7, 46.3535)	(8, 52.0809)	(9, 50.1542)	(10, 44.6415)	(11, 55.9902)	(12, 54.26069999999999)	(13, 49.5025)	(14, 47.7041)	(15, 48.143299999999996)	(16, 49.7962)	(17, 49.5719)	(18, 48.251)	(19, 49.2472)	(20, 48.9804)	(21, 48.2012)	(22, 48.5651)	(23, 48.517900000000004)	(24, 48.253299999999996)	(25, 48.665000000000006)	(26, 48.5432)	(27, 48.3145)	(28, 49.0756)	(29, 48.504799999999996)	(30, 47.9367)	(31, 48.3599)	(32, 48.5146)	(33, 47.7376)	(34, 48.6318)	(35, 49.078)	(36, 49.0826)	(37, 49.505700000000004)	(38, 49.2143)	(39, 48.282199999999996)	(40, 48.7926)	(41, 48.552800000000005)	(42, 47.9475)	(43, 49.0023)	(44, 48.7933)	(45, 48.8217)	(46, 49.2937)	(47, 49.0492)	(48, 48.3602)	(49, 48.4789)	(50, 49.1167)	(51, 48.6072)	(52, 48.7584)	(53, 48.1993)	(54, 48.8935)	(55, 48.9264)	(56, 48.9677)	(57, 47.990899999999996)	(58, 49.0759)	(59, 48.7839)	(60, 48.8887)	(61, 49.183)	(62, 49.0495)	(63, 48.3311)	(64, 48.4691)	(65, 48.7853)	(66, 48.404599999999995)	(67, 48.3736)	(68, 49.0089)	(69, 48.1306)	(70, 48.548)	(71, 48.4262)	(72, 48.7042)	(73, 48.5123)	(74, 48.407)	(75, 48.3123)	(76, 48.357099999999996)	(77, 48.8937)	(78, 48.4194)	(79, 49.3031)	(80, 48.5942)	(81, 48.7228)	(82, 48.789100000000005)	(83, 49.173)	(84, 48.6421)	(85, 48.135099999999994)	(86, 48.6955)	(87, 48.205999999999996)	(88, 48.2923)	(89, 48.0462)	(90, 47.7977)	(91, 48.721399999999996)	(92, 47.417500000000004)	(93, 48.580400000000004)	(94, 48.783)	(95, 47.6477)	(96, 47.5554)	(97, 48.227599999999995)	(98, 48.918099999999995)	(99, 48.4483)	(100, 48.4196)
