Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR7543029	(1, 0.0634648)	(2, 0.0)	(3, 0.0)	(4, 0.207545)	(5, 0.025095)	(6, 0.0)	(7, 0.0)	(8, 3.5137200000000005e-06)	(9, 8.08155e-05)	(10, 0.0)	(11, 0.000846806)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 3.5137200000000005e-06)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 3.5137200000000005e-06)	(29, 0.0)	(30, 0.0)	(31, 0.0048489299999999996)	(32, 0.00465216)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 3.5137200000000005e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00331695)	(45, 0.000358399)	(46, 0.0)	(47, 0.000298666)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.000267043)	(53, 0.00057625)	(54, 0.000906539)	(55, 0.0)	(56, 0.0)	(57, 7.02743e-06)	(58, 0.0)	(59, 0.007480700000000001)	(60, 0.00101898)	(61, 7.027429999999999e-05)	(62, 0.000144062)	(63, 0.00150036)	(64, 0.00492272)	(65, 0.000196768)	(66, 0.000446242)	(67, 4.56783e-05)	(68, 1.05412e-05)	(69, 0.000347858)	(70, 0.0016128)	(71, 0.000983841)	(72, 8.08155e-05)	(73, 6.67606e-05)	(74, 0.00233662)	(75, 0.000108925)	(76, 0.0)	(77, 0.0)	(78, 0.000572736)	(79, 0.0018974099999999998)	(80, 0.0012298)	(81, 7.02743e-06)	(82, 3.5137200000000005e-06)	(83, 0.0)	(84, 0.000231905)	(85, 0.0015144099999999999)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 7.37881e-05)	(94, 0.0)	(95, 0.00030218)	(96, 0.000688689)	(97, 2.8109700000000003e-05)	(98, 2.4596e-05)	(99, 0.0)	(100, 0.000119466)
SRR7543030	(1, 0.0637305)	(2, 0.0)	(3, 0.0)	(4, 0.207097)	(5, 0.025785100000000002)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.33541e-05)	(10, 0.0)	(11, 0.000834784)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 3.7267099999999997e-06)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0047292)	(32, 0.00466212)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00352547)	(45, 0.000298137)	(46, 0.0)	(47, 0.000268323)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.000208696)	(53, 0.000562734)	(54, 0.000935405)	(55, 0.0)	(56, 0.0)	(57, 1.11801e-05)	(58, 0.0)	(59, 0.0071590199999999994)	(60, 0.00108075)	(61, 6.70809e-05)	(62, 0.000208696)	(63, 0.00150559)	(64, 0.00519131)	(65, 0.000257143)	(66, 0.00039503199999999997)	(67, 7.8261e-05)	(68, 7.45343e-06)	(69, 0.000208696)	(70, 0.00160621)	(71, 0.000968946)	(72, 7.8261e-05)	(73, 5.5900700000000005e-05)	(74, 0.0023776400000000003)	(75, 0.00020496900000000002)	(76, 0.0)	(77, 0.0)	(78, 0.000577641)	(79, 0.0020310600000000003)	(80, 0.00108075)	(81, 3.7267099999999997e-06)	(82, 7.45343e-06)	(83, 3.7267099999999997e-06)	(84, 0.000186336)	(85, 0.00130808)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 1.86336e-05)	(94, 0.0)	(95, 0.000335404)	(96, 0.000607454)	(97, 0.0)	(98, 1.86336e-05)	(99, 0.0)	(100, 0.000108075)
SRR7543031	(1, 0.0630999)	(2, 0.0)	(3, 0.0)	(4, 0.209913)	(5, 0.0254579)	(6, 7.098249999999999e-06)	(7, 0.0)	(8, 1.06474e-05)	(9, 0.00012067000000000001)	(10, 0.0)	(11, 0.0008730840000000001)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0047380799999999995)	(32, 0.0047132300000000005)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.00341071)	(45, 0.000337167)	(46, 0.0)	(47, 0.00029457699999999997)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.000337167)	(53, 0.000603351)	(54, 0.000883732)	(55, 0.0)	(56, 0.0)	(57, 7.098249999999999e-06)	(58, 0.0)	(59, 0.00736088)	(60, 0.0010115)	(61, 7.808069999999999e-05)	(62, 0.00019520199999999998)	(63, 0.00146934)	(64, 0.00489779)	(65, 0.000181005)	(66, 0.000432993)	(67, 4.6138600000000006e-05)	(68, 1.06474e-05)	(69, 0.000287479)	(70, 0.0015651600000000001)	(71, 0.000947616)	(72, 5.3236800000000005e-05)	(73, 3.5491199999999997e-05)	(74, 0.00227854)	(75, 0.000181005)	(76, 0.0)	(77, 0.0)	(78, 0.000464935)	(79, 0.00199461)	(80, 0.00108603)	(81, 7.098249999999999e-06)	(82, 3.54912e-06)	(83, 7.098249999999999e-06)	(84, 0.00024488900000000003)	(85, 0.00131672)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 5.3236800000000005e-05)	(94, 0.0)	(95, 0.00036201100000000003)	(96, 0.000706275)	(97, 2.12947e-05)	(98, 7.098249999999999e-06)	(99, 0.0)	(100, 0.000127768)
SRR7543032	(1, 0.0649204)	(2, 0.0008964099999999999)	(3, 9.24134e-06)	(4, 0.0)	(5, 0.00641349)	(6, 0.0)	(7, 9.24134e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 5.5448e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.84827e-05)	(23, 0.0)	(24, 0.0020238499999999998)	(25, 5.5448e-05)	(26, 0.0)	(27, 0.0)	(28, 0.00027724)	(29, 0.0)	(30, 0.0)	(31, 0.00022641300000000002)	(32, 9.7034e-05)	(33, 2.31033e-05)	(34, 0.0)	(35, 0.00787362)	(36, 0.000767031)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0077072700000000004)	(42, 0.0)	(43, 9.24134e-06)	(44, 7.39307e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000147861)	(49, 0.000549859)	(50, 2.31033e-05)	(51, 0.0)	(52, 0.0)	(53, 2.31033e-05)	(54, 0.0007577899999999999)	(55, 0.000110896)	(56, 0.0)	(57, 0.000120137)	(58, 1.84827e-05)	(59, 0.0)	(60, 0.0009056509999999999)	(61, 0.0)	(62, 0.00019868900000000002)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0004944109999999999)	(67, 0.0)	(68, 0.00016634400000000002)	(69, 0.0)	(70, 7.85514e-05)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 9.24134e-06)	(76, 0.0)	(77, 5.5448e-05)	(78, 3.23447e-05)	(79, 3.69653e-05)	(80, 8.317200000000001e-05)	(81, 0.0)	(82, 0.0)	(83, 6.931e-05)	(84, 0.000429722)	(85, 0.00431108)	(86, 0.000817858)	(87, 0.00382129)	(88, 0.00277702)	(89, 0.00138158)	(90, 2.7724e-05)	(91, 0.00790596)	(92, 0.000194068)	(93, 0.0022779899999999997)	(94, 0.00282323)	(95, 0.00141855)	(96, 0.0026106799999999998)	(97, 0.0021578500000000002)	(98, 0.00203771)	(99, 1.84827e-05)	(100, 0.000961099)
SRR7543033	(1, 0.06631780000000001)	(2, 0.00103727)	(3, 0.0)	(4, 0.0)	(5, 0.0064522600000000005)	(6, 0.0)	(7, 2.54026e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 2.96364e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.69351e-05)	(23, 0.0)	(24, 0.00211688)	(25, 5.5039e-05)	(26, 0.0)	(27, 0.0)	(28, 0.000275195)	(29, 0.0)	(30, 0.0)	(31, 0.000431844)	(32, 0.000186286)	(33, 5.92728e-05)	(34, 0.0)	(35, 0.007959490000000001)	(36, 0.000918728)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.007938319999999999)	(42, 0.0)	(43, 0.0)	(44, 7.62078e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.00013971399999999998)	(49, 0.0005080519999999999)	(50, 3.81039e-05)	(51, 0.0)	(52, 0.0)	(53, 2.11688e-05)	(54, 0.000762078)	(55, 0.00011854600000000001)	(56, 4.2337700000000005e-06)	(57, 0.000165117)	(58, 1.69351e-05)	(59, 0.0)	(60, 0.000990702)	(61, 0.0)	(62, 0.000186286)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0005080519999999999)	(67, 0.0)	(68, 0.00012701299999999998)	(69, 8.467540000000001e-06)	(70, 0.000131247)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 8.467540000000001e-06)	(76, 0.0)	(77, 1.69351e-05)	(78, 2.96364e-05)	(79, 2.54026e-05)	(80, 5.92728e-05)	(81, 0.0)	(82, 0.0)	(83, 4.65715e-05)	(84, 0.000364104)	(85, 0.00409829)	(86, 0.000660468)	(87, 0.00386543)	(88, 0.00281546)	(89, 0.00140561)	(90, 5.08052e-05)	(91, 0.00777743)	(92, 0.000186286)	(93, 0.00217616)	(94, 0.00245982)	(95, 0.00149452)	(96, 0.00262917)	(97, 0.0016681099999999998)	(98, 0.00184592)	(99, 1.27013e-05)	(100, 0.0009568319999999999)
SRR7543034	(1, 0.0662566)	(2, 0.00101641)	(3, 3.79259e-06)	(4, 0.0)	(5, 0.00682666)	(6, 0.0)	(7, 7.58518e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 3.79259e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.13778e-05)	(23, 0.0)	(24, 0.00212006)	(25, 4.55111e-05)	(26, 0.0)	(27, 0.0)	(28, 0.000303407)	(29, 0.0)	(30, 0.0)	(31, 0.00036029599999999997)	(32, 0.00016687400000000002)	(33, 1.8963e-05)	(34, 0.0)	(35, 0.00811614)	(36, 0.0008609180000000001)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.008138900000000001)	(42, 0.0)	(43, 0.0)	(44, 8.72296e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000140326)	(49, 0.0005309630000000001)	(50, 2.65481e-05)	(51, 0.0)	(52, 0.0)	(53, 4.930370000000001e-05)	(54, 0.000728177)	(55, 0.000109985)	(56, 1.13778e-05)	(57, 0.00015928899999999999)	(58, 1.8963e-05)	(59, 0.0)	(60, 0.00083437)	(61, 0.0)	(62, 0.000216178)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.000519585)	(67, 0.0)	(68, 0.00015928899999999999)	(69, 0.0)	(70, 9.10222e-05)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 3.79259e-06)	(76, 0.0)	(77, 3.0340700000000002e-05)	(78, 4.1718500000000004e-05)	(79, 3.41333e-05)	(80, 4.55111e-05)	(81, 0.0)	(82, 0.0)	(83, 3.41333e-05)	(84, 0.00029961500000000004)	(85, 0.00410738)	(86, 0.000739555)	(87, 0.00374329)	(88, 0.00279893)	(89, 0.00127052)	(90, 3.79259e-05)	(91, 0.0078317)	(92, 0.000147911)	(93, 0.00218074)	(94, 0.00245001)	(95, 0.0013767100000000002)	(96, 0.0025069)	(97, 0.0016649500000000001)	(98, 0.00190009)	(99, 7.58518e-06)	(100, 0.000906429)
SRR7543035	(1, 0.0657465)	(2, 0.00103731)	(3, 1.24978e-05)	(4, 0.0)	(5, 0.00624055)	(6, 0.0)	(7, 2.49955e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 2.49955e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 8.33184e-06)	(23, 0.0)	(24, 0.00202464)	(25, 3.33274e-05)	(26, 0.0)	(27, 0.0)	(28, 0.000249955)	(29, 0.0)	(30, 0.0)	(31, 0.000399928)	(32, 0.000158305)	(33, 2.49955e-05)	(34, 0.0)	(35, 0.007861090000000001)	(36, 0.0008540139999999999)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00774861)	(42, 0.0)	(43, 0.0)	(44, 6.24888e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.00019163199999999998)	(49, 0.000616556)	(50, 2.9161400000000002e-05)	(51, 0.0)	(52, 0.0)	(53, 2.9161400000000002e-05)	(54, 0.0008040219999999999)	(55, 0.000124978)	(56, 4.16592e-06)	(57, 0.000129144)	(58, 4.16592e-06)	(59, 0.0)	(60, 0.0009456639999999999)	(61, 0.0)	(62, 0.00020412999999999999)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.00052074)	(67, 0.0)	(68, 0.000166637)	(69, 4.16592e-06)	(70, 0.00012081200000000001)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 3.33274e-05)	(76, 0.0)	(77, 1.24978e-05)	(78, 3.33274e-05)	(79, 2.9161400000000002e-05)	(80, 3.33274e-05)	(81, 0.0)	(82, 0.0)	(83, 6.66547e-05)	(84, 0.000383265)	(85, 0.004115929999999999)	(86, 0.000691543)	(87, 0.0040034499999999995)	(88, 0.00283283)	(89, 0.0015122299999999998)	(90, 2.9161400000000002e-05)	(91, 0.0078111)	(92, 0.000149973)	(93, 0.00211212)	(94, 0.0026037)	(95, 0.00138309)	(96, 0.0025786999999999997)	(97, 0.001833)	(98, 0.00181634)	(99, 4.16592e-06)	(100, 0.00101648)
SRR7543036	(1, 0.0667549)	(2, 0.0010361300000000001)	(3, 1.28978e-05)	(4, 4.29928e-06)	(5, 0.00677136)	(6, 0.0)	(7, 4.29928e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 5.15913e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.28978e-05)	(23, 0.0)	(24, 0.00208515)	(25, 5.58906e-05)	(26, 0.0)	(27, 0.0)	(28, 0.00026655499999999997)	(29, 0.0)	(30, 0.0)	(31, 0.000391234)	(32, 0.000171971)	(33, 2.5795699999999998e-05)	(34, 0.0)	(35, 0.00841369)	(36, 0.000945841)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00819012)	(42, 0.0)	(43, 8.59855e-06)	(44, 6.87884e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000133278)	(49, 0.000627694)	(50, 1.28978e-05)	(51, 0.0)	(52, 0.0)	(53, 3.8693500000000005e-05)	(54, 0.000864155)	(55, 0.00017627000000000002)	(56, 4.29928e-06)	(57, 0.000137577)	(58, 1.71971e-05)	(59, 4.29928e-06)	(60, 0.000885651)	(61, 0.0)	(62, 0.000189168)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.000589001)	(67, 0.0)	(68, 0.00018057)	(69, 4.29928e-06)	(70, 0.000107482)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 1.71971e-05)	(76, 0.0)	(77, 2.5795699999999998e-05)	(78, 4.29928e-05)	(79, 3.43942e-05)	(80, 6.87884e-05)	(81, 0.0)	(82, 0.0)	(83, 5.58906e-05)	(84, 0.000343942)	(85, 0.004217589999999999)	(86, 0.000743775)	(87, 0.00405422)	(88, 0.0030009)	(89, 0.00165952)	(90, 4.29928e-05)	(91, 0.008074040000000001)	(92, 0.000163373)	(93, 0.00217543)	(94, 0.00280743)	(95, 0.00135427)	(96, 0.002945)	(97, 0.00211095)	(98, 0.00198197)	(99, 8.59855e-06)	(100, 0.00109632)
SRR7543037	(1, 0.06506870000000001)	(2, 0.0011385)	(3, 1.58126e-05)	(4, 0.0)	(5, 0.006741420000000001)	(6, 0.0)	(7, 1.58126e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 3.16251e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 1.05417e-05)	(23, 0.0)	(24, 0.0023718800000000003)	(25, 3.16251e-05)	(26, 0.0)	(27, 0.0)	(28, 0.000274084)	(29, 0.0)	(30, 0.0)	(31, 0.000384772)	(32, 0.00018448)	(33, 1.58126e-05)	(34, 0.0)	(35, 0.00844918)	(36, 0.0009382119999999999)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00846499)	(42, 0.0)	(43, 0.0)	(44, 0.000100146)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000105417)	(49, 0.000595607)	(50, 2.10834e-05)	(51, 0.0)	(52, 0.0)	(53, 3.6896e-05)	(54, 0.000806441)	(55, 0.000126501)	(56, 0.0)	(57, 0.00013177099999999998)	(58, 0.0)	(59, 5.2708599999999995e-06)	(60, 0.000932941)	(61, 0.0)	(62, 0.000237188)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0004901899999999999)	(67, 0.0)	(68, 0.000168667)	(69, 0.0)	(70, 6.85211e-05)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 5.2708599999999995e-06)	(76, 0.0)	(77, 3.16251e-05)	(78, 2.6354300000000003e-05)	(79, 1.05417e-05)	(80, 3.16251e-05)	(81, 0.0)	(82, 0.0)	(83, 2.6354300000000003e-05)	(84, 0.000347876)	(85, 0.00425358)	(86, 0.000774816)	(87, 0.00385827)	(88, 0.00287789)	(89, 0.00148111)	(90, 4.74377e-05)	(91, 0.00764274)	(92, 0.00018448)	(93, 0.0021926800000000002)	(94, 0.00272503)	(95, 0.00134407)	(96, 0.00281991)	(97, 0.00187642)	(98, 0.0018922400000000001)	(99, 0.0)	(100, 0.00102255)
SRR7543038	(1, 0.0652084)	(2, 0.00113459)	(3, 9.10096e-06)	(4, 0.0)	(5, 0.006425279999999999)	(6, 0.0)	(7, 3.0336500000000003e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 2.73029e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 3.03365e-06)	(22, 9.10096e-06)	(23, 0.0)	(24, 0.00214783)	(25, 2.42692e-05)	(26, 0.0)	(27, 6.067309999999999e-06)	(28, 0.000276062)	(29, 0.0)	(30, 0.0)	(31, 0.00034887000000000004)	(32, 0.000142582)	(33, 2.42692e-05)	(34, 0.0)	(35, 0.008203)	(36, 0.000819086)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00806345)	(42, 0.0)	(43, 9.10096e-06)	(44, 7.584129999999999e-05)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.000142582)	(49, 0.000585495)	(50, 1.51683e-05)	(51, 0.0)	(52, 0.0)	(53, 5.157210000000001e-05)	(54, 0.00075538)	(55, 0.000118312)	(56, 9.10096e-06)	(57, 0.000136514)	(58, 1.51683e-05)	(59, 3.03365e-06)	(60, 0.000976836)	(61, 0.0)	(62, 0.000172918)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.000558192)	(67, 0.0)	(68, 0.000151683)	(69, 0.0)	(70, 8.797589999999999e-05)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 3.0336500000000003e-05)	(78, 3.33702e-05)	(79, 1.51683e-05)	(80, 6.9774e-05)	(81, 0.0)	(82, 0.0)	(83, 6.0673099999999993e-05)	(84, 0.00037010600000000004)	(85, 0.00399836)	(86, 0.0007705479999999999)	(87, 0.00385881)	(88, 0.00281826)	(89, 0.00150773)	(90, 3.9437499999999996e-05)	(91, 0.007845030000000001)	(92, 0.000148649)	(93, 0.00215996)	(94, 0.00247849)	(95, 0.00135301)	(96, 0.00248153)	(97, 0.0018262600000000001)	(98, 0.00192637)	(99, 3.03365e-06)	(100, 0.0008585239999999999)
