Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
SRR7543029	(1, 0.0)	(2, 0.000123148)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00015129599999999998)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 7.38885e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 8.444399999999999e-05)	(31, 0.0)	(32, 3.5185e-06)	(33, 0.0)	(34, 1.4074e-05)	(35, 0.0)	(36, 2.1110999999999998e-05)	(37, 0.0)	(38, 7.037e-06)	(39, 0.00442979)	(40, 0.00263888)	(41, 0.0010274)	(42, 0.0)	(43, 0.0)	(44, 2.46295e-05)	(45, 0.0007494509999999999)	(46, 2.11116e-05)	(47, 0.015661500000000002)	(48, 0.00286773)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.00471893)	(58, 0.0)	(59, 3.51901e-06)	(60, 0.0009431010000000001)	(61, 0.0)	(62, 0.000563052)	(63, 0.000137245)	(64, 0.00104166)	(65, 0.0)	(66, 0.0)	(67, 0.00172089)	(68, 0.00044694)	(69, 3.87116e-05)	(70, 0.00156959)	(71, 0.00372692)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 6.572960000000001e-05)
SRR7543030	(1, 0.0)	(2, 8.587659999999999e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.000138149)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 9.707789999999999e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 1.49351e-05)	(33, 0.0)	(34, 1.49351e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 1.86688e-05)	(39, 0.0046149400000000005)	(40, 0.00268084)	(41, 0.00100438)	(42, 0.0)	(43, 0.0)	(44, 3.7337699999999997e-06)	(45, 0.00085131)	(46, 0.0)	(47, 0.0156525)	(48, 0.0028377999999999997)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.00494412)	(58, 0.0)	(59, 0.0)	(60, 0.0011539)	(61, 0.0)	(62, 0.0006087)	(63, 0.000186719)	(64, 0.00107551)	(65, 0.0)	(66, 0.0)	(67, 0.00181495)	(68, 0.00037718399999999997)	(69, 5.60178e-05)	(70, 0.00166187)	(71, 0.0039026300000000002)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 7.649710000000001e-06)	(86, 0.0)	(87, 5.7875300000000005e-05)
SRR7543031	(1, 0.0)	(2, 7.46344e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.000174147)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 9.595850000000001e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 5.68643e-05)	(31, 0.0)	(32, 1.0662099999999999e-05)	(33, 0.0)	(34, 3.55402e-06)	(35, 0.0)	(36, 1.77701e-05)	(37, 0.0)	(38, 1.77701e-05)	(39, 0.00440343)	(40, 0.00274015)	(41, 0.00104844)	(42, 0.0)	(43, 0.0)	(44, 2.48781e-05)	(45, 0.00083876)	(46, 1.06623e-05)	(47, 0.0155885)	(48, 0.00288246)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.00509005)	(58, 0.0)	(59, 0.0)	(60, 0.00108059)	(61, 0.0)	(62, 0.0007180359999999999)	(63, 0.000202615)	(64, 0.00100953)	(65, 0.0)	(66, 0.0)	(67, 0.0016671799999999999)	(68, 0.000472785)	(69, 7.10959e-05)	(70, 0.00148947)	(71, 0.00368993)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 7.72369e-05)
SRR7543032	(1, 2.8210999999999998e-05)	(2, 3.76146e-05)	(3, 0.0)	(4, 4.70183e-06)	(5, 9.40366e-06)	(6, 0.0)	(7, 0.00371445)	(8, 0.0)	(9, 0.00865137)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00119426)	(18, 9.40366e-06)	(19, 2.35092e-05)	(20, 4.7018300000000003e-05)	(21, 0.00113784)	(22, 0.00228509)	(23, 0.0)	(24, 0.00039965599999999997)	(25, 0.0017725899999999999)	(26, 0.0)	(27, 0.00379438)	(28, 1.4105499999999999e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0011519500000000001)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 9.40366e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00013165100000000002)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 1.41057e-05)	(46, 0.00035734700000000005)	(47, 0.000836955)	(48, 4.7020300000000004e-06)	(49, 0.0)	(50, 0.0)	(51, 0.00023040599999999998)	(52, 4.70219e-06)	(53, 6.58312e-05)	(54, 4.7022600000000004e-06)	(55, 0.0)	(56, 9.40465e-06)	(57, 2.8214200000000002e-05)	(58, 0.0010533299999999999)	(59, 0.00265216)	(60, 0.0)	(61, 0.00042792499999999995)	(62, 0.0)	(63, 0.000456144)	(64, 3.76203e-05)	(65, 1.41077e-05)	(66, 0.0)	(67, 0.0)	(68, 7.52422e-05)	(69, 0.0)	(70, 9.87563e-05)	(71, 0.000545514)	(72, 2.3513699999999998e-05)	(73, 0.000126974)	(74, 7.99473e-05)	(75, 0.0)	(76, 6.11367e-05)	(77, 1.4108499999999999e-05)	(78, 4.70288e-06)	(79, 0.0008161879999999999)	(80, 0.000100603)	(81, 0.000271041)	(82, 0.000298344)	(83, 0.000311443)	(84, 0.000320095)	(85, 0.000141633)	(86, 0.000204726)	(87, 6.73365e-05)
SRR7543033	(1, 3.01391e-05)	(2, 4.7361400000000004e-05)	(3, 0.0)	(4, 0.0)	(5, 4.30558e-06)	(6, 0.0)	(7, 0.0036769700000000003)	(8, 0.0)	(9, 0.00907186)	(10, 3.01391e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00135626)	(18, 0.0)	(19, 1.72223e-05)	(20, 3.87502e-05)	(21, 0.00108501)	(22, 0.00225612)	(23, 0.0)	(24, 0.00033583500000000004)	(25, 0.00197196)	(26, 0.0)	(27, 0.00415058)	(28, 1.72223e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00107639)	(33, 0.0)	(34, 0.0)	(35, 4.30558e-06)	(36, 0.0)	(37, 8.61116e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000116251)	(42, 1.2916700000000001e-05)	(43, 0.0)	(44, 0.0)	(45, 4.30565e-06)	(46, 0.00034015)	(47, 0.000800872)	(48, 8.61162e-06)	(49, 0.0)	(50, 0.0)	(51, 0.000254051)	(52, 0.0)	(53, 6.02844e-05)	(54, 1.29182e-05)	(55, 0.0)	(56, 2.58368e-05)	(57, 4.7367900000000004e-05)	(58, 0.00106794)	(59, 0.00284642)	(60, 0.0)	(61, 0.000344503)	(62, 0.0)	(63, 0.000465084)	(64, 2.5838200000000003e-05)	(65, 0.0)	(66, 4.30641e-06)	(67, 0.0)	(68, 9.04356e-05)	(69, 0.0)	(70, 0.000111969)	(71, 0.00050817)	(72, 2.15328e-05)	(73, 0.00010335800000000001)	(74, 4.3066000000000004e-05)	(75, 0.0)	(76, 5.16797e-05)	(77, 1.292e-05)	(78, 8.61338e-06)	(79, 0.000917605)	(80, 0.000136202)	(81, 0.00039095700000000004)	(82, 0.000431319)	(83, 0.00039088800000000004)	(84, 0.000368132)	(85, 0.000167677)	(86, 0.000273575)	(87, 7.166079999999999e-05)
SRR7543034	(1, 3.0852099999999996e-05)	(2, 1.92825e-05)	(3, 0.0)	(4, 0.0)	(5, 1.15695e-05)	(6, 0.0)	(7, 0.0037215300000000002)	(8, 0.0)	(9, 0.00934432)	(10, 7.71302e-06)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00134592)	(18, 1.5426e-05)	(19, 3.85651e-05)	(20, 4.24216e-05)	(21, 0.000987266)	(22, 0.00208252)	(23, 0.0)	(24, 0.000412646)	(25, 0.00179328)	(26, 0.0)	(27, 0.00394521)	(28, 4.24216e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00105283)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 7.71302e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00011183900000000001)	(42, 1.15695e-05)	(43, 0.0)	(44, 0.0)	(45, 3.85656e-06)	(46, 0.000343237)	(47, 0.000879314)	(48, 3.85668e-06)	(49, 0.0)	(50, 0.0)	(51, 0.00025840499999999996)	(52, 0.0)	(53, 7.71371e-05)	(54, 1.54276e-05)	(55, 0.0)	(56, 1.1570800000000001e-05)	(57, 2.31418e-05)	(58, 0.00104525)	(59, 0.00285034)	(60, 0.0)	(61, 0.000389564)	(62, 0.0)	(63, 0.000563138)	(64, 4.6285699999999996e-05)	(65, 7.71432e-06)	(66, 2.70003e-05)	(67, 0.0)	(68, 7.71446e-05)	(69, 0.0)	(70, 9.64319e-05)	(71, 0.000536164)	(72, 7.71463e-06)	(73, 8.87188e-05)	(74, 5.4003100000000005e-05)	(75, 0.0)	(76, 5.0146300000000005e-05)	(77, 1.54297e-05)	(78, 3.85745e-06)	(79, 0.000903427)	(80, 0.000133718)	(81, 0.00031800999999999997)	(82, 0.00034556999999999996)	(83, 0.000325049)	(84, 0.000291966)	(85, 0.00019971899999999998)	(86, 0.00025276000000000004)	(87, 4.2661100000000004e-05)
SRR7543035	(1, 2.54816e-05)	(2, 2.97286e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0035546899999999997)	(8, 0.0)	(9, 0.00843866)	(10, 4.24694e-06)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00119764)	(18, 0.0)	(19, 3.39755e-05)	(20, 5.9457100000000004e-05)	(21, 0.00101502)	(22, 0.00218717)	(23, 0.0)	(24, 0.00040345899999999995)	(25, 0.0017115199999999998)	(26, 0.0)	(27, 0.00396664)	(28, 2.97286e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00110845)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 4.24694e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.00010192600000000001)	(42, 8.49387e-06)	(43, 0.0)	(44, 0.0)	(45, 8.49394e-06)	(46, 0.000399218)	(47, 0.000874887)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.00023359099999999998)	(52, 0.0)	(53, 8.0696e-05)	(54, 0.0)	(55, 0.0)	(56, 8.49445e-06)	(57, 4.67197e-05)	(58, 0.0010066)	(59, 0.00279472)	(60, 0.0)	(61, 0.000378012)	(62, 0.0)	(63, 0.0005818889999999999)	(64, 2.12369e-05)	(65, 4.2474e-06)	(66, 8.49484e-06)	(67, 0.0)	(68, 8.91966e-05)	(69, 0.0)	(70, 5.09699e-05)	(71, 0.000467226)	(72, 1.6990100000000002e-05)	(73, 8.07034e-05)	(74, 8.070379999999999e-05)	(75, 0.0)	(76, 3.3980800000000005e-05)	(77, 4.24762e-06)	(78, 4.24764e-06)	(79, 0.0008970650000000001)	(80, 9.545079999999999e-05)	(81, 0.000329207)	(82, 0.00036849500000000004)	(83, 0.000359347)	(84, 0.000322961)	(85, 0.000156551)	(86, 0.000275184)	(87, 8.50624e-05)
SRR7543036	(1, 3.49934e-05)	(2, 1.74967e-05)	(3, 0.0)	(4, 0.0)	(5, 1.3122500000000002e-05)	(6, 0.0)	(7, 0.0036786899999999997)	(8, 0.0)	(9, 0.00915953)	(10, 1.3122500000000002e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00131663)	(18, 8.74836e-06)	(19, 3.49934e-05)	(20, 3.49934e-05)	(21, 0.00111542)	(22, 0.0021302300000000003)	(23, 0.0)	(24, 0.000450541)	(25, 0.00194214)	(26, 0.0)	(27, 0.004299819999999999)	(28, 5.24902e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0010235600000000002)	(33, 0.0)	(34, 0.0)	(35, 4.37418e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 8.310940000000001e-05)	(42, 4.37418e-06)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.00034556699999999997)	(47, 0.000826745)	(48, 1.3123e-05)	(49, 0.0)	(50, 0.0)	(51, 0.000279964)	(52, 4.374470000000001e-06)	(53, 5.2493899999999996e-05)	(54, 8.74905e-06)	(55, 0.0)	(56, 1.31237e-05)	(57, 3.4996800000000003e-05)	(58, 0.00105866)	(59, 0.0028260200000000003)	(60, 0.0)	(61, 0.00035435)	(62, 0.0)	(63, 0.000424349)	(64, 2.6248499999999998e-05)	(65, 0.0)	(66, 4.374789999999999e-06)	(67, 0.0)	(68, 0.00010499600000000001)	(69, 0.0)	(70, 7.874769999999999e-05)	(71, 0.000586235)	(72, 1.3124700000000002e-05)	(73, 0.000104998)	(74, 6.999919999999999e-05)	(75, 0.0)	(76, 5.24999e-05)	(77, 8.750019999999999e-06)	(78, 0.0)	(79, 0.0009106199999999999)	(80, 0.000143)	(81, 0.0003074)	(82, 0.00033391)	(83, 0.000328717)	(84, 0.00027199500000000003)	(85, 0.000118729)	(86, 0.000332031)	(87, 6.82617e-05)
SRR7543037	(1, 3.2149e-05)	(2, 4.28653e-05)	(3, 0.0)	(4, 0.0)	(5, 5.35817e-06)	(6, 0.0)	(7, 0.0037560700000000002)	(8, 0.0)	(9, 0.00937143)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00136097)	(18, 1.0716300000000001e-05)	(19, 3.2149e-05)	(20, 5.3581699999999996e-05)	(21, 0.00108771)	(22, 0.00222364)	(23, 0.0)	(24, 0.000434011)	(25, 0.00195037)	(26, 0.0)	(27, 0.00418473)	(28, 6.4298e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.000959112)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 1.0716300000000001e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 8.03725e-05)	(42, 5.35817e-06)	(43, 0.0)	(44, 0.0)	(45, 1.07165e-05)	(46, 0.00031078000000000003)	(47, 0.000910916)	(48, 1.07168e-05)	(49, 0.0)	(50, 0.0)	(51, 0.00028400100000000003)	(52, 5.3585599999999996e-06)	(53, 0.000128606)	(54, 0.0)	(55, 0.0)	(56, 1.60761e-05)	(57, 2.1435e-05)	(58, 0.0010878300000000001)	(59, 0.00315633)	(60, 0.0)	(61, 0.00042334900000000006)	(62, 0.0)	(63, 0.000551968)	(64, 4.82305e-05)	(65, 0.0)	(66, 1.6077e-05)	(67, 0.0)	(68, 0.000101822)	(69, 0.0)	(70, 9.11047e-05)	(71, 0.0006323769999999999)	(72, 4.28732e-05)	(73, 0.00010718400000000001)	(74, 6.43105e-05)	(75, 0.0)	(76, 4.82334e-05)	(77, 5.35929e-06)	(78, 5.35932e-06)	(79, 0.000855213)	(80, 0.00012032500000000001)	(81, 0.000298662)	(82, 0.000285329)	(83, 0.000356655)	(84, 0.00030956800000000003)	(85, 0.000168317)	(86, 0.000288042)	(87, 5.95421e-05)
SRR7543038	(1, 2.7807299999999997e-05)	(2, 3.70764e-05)	(3, 0.0)	(4, 0.0)	(5, 9.2691e-06)	(6, 0.0)	(7, 0.0037354500000000004)	(8, 0.0)	(9, 0.00897558)	(10, 3.70764e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.00134402)	(18, 6.1794000000000005e-06)	(19, 1.54485e-05)	(20, 2.4717600000000002e-05)	(21, 0.0011092)	(22, 0.00207937)	(23, 0.0)	(24, 0.00048817299999999995)	(25, 0.0017611299999999999)	(26, 3.0897000000000003e-06)	(27, 0.0040135200000000005)	(28, 5.5614599999999994e-05)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.00110611)	(33, 0.0)	(34, 0.0)	(35, 3.0897000000000003e-06)	(36, 0.0)	(37, 6.1794000000000005e-06)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.000117409)	(42, 9.2691e-06)	(43, 0.0)	(44, 0.0)	(45, 6.17946e-06)	(46, 0.000330604)	(47, 0.0009022149999999999)	(48, 6.179600000000001e-06)	(49, 0.0)	(50, 0.0)	(51, 0.000262638)	(52, 6.179770000000001e-06)	(53, 8.651729999999999e-05)	(54, 6.17985e-06)	(55, 0.0)	(56, 1.5449800000000002e-05)	(57, 2.47198e-05)	(58, 0.00110004)	(59, 0.00266667)	(60, 0.0)	(61, 0.00045732499999999996)	(62, 0.0)	(63, 0.000478959)	(64, 3.70809e-05)	(65, 9.27027e-06)	(66, 3.0901e-06)	(67, 0.0)	(68, 7.416310000000001e-05)	(69, 0.0)	(70, 8.65244e-05)	(71, 0.000553141)	(72, 1.8541099999999998e-05)	(73, 8.652559999999999e-05)	(74, 7.10749e-05)	(75, 0.0)	(76, 7.416580000000001e-05)	(77, 3.09025e-06)	(78, 3.09027e-06)	(79, 0.000914567)	(80, 0.000123018)	(81, 0.000331716)	(82, 0.000396727)	(83, 0.000352362)	(84, 0.000300581)	(85, 0.000137072)	(86, 0.000284406)	(87, 4.8006e-05)
