Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR7543029	(1, 34.5703)	(2, 34.5659)	(3, 34.5389)	(4, 34.4859)	(5, 34.4524)	(6, 39.1796)	(7, 39.1781)	(8, 39.1916)	(9, 39.1975)	(10, 39.1982)	(11, 39.1954)	(12, 39.1851)	(13, 39.1854)	(14, 39.1822)	(15, 39.1563)	(16, 39.1664)	(17, 39.1735)	(18, 39.165)	(19, 39.1705)	(20, 39.1552)	(21, 39.1656)	(22, 39.1677)	(23, 39.16)	(24, 39.1338)	(25, 39.1079)	(26, 39.1149)	(27, 39.1237)	(28, 39.1232)	(29, 39.121)	(30, 39.1136)	(31, 39.1118)	(32, 39.1062)	(33, 39.0726)	(34, 39.0884)	(35, 39.0987)	(36, 39.097)	(37, 39.0959)	(38, 39.0578)	(39, 39.0644)	(40, 39.0778)	(41, 39.0548)	(42, 39.0629)	(43, 39.0701)	(44, 39.0696)	(45, 39.0627)	(46, 39.0623)	(47, 39.0562)	(48, 39.0532)	(49, 39.0489)	(50, 39.0418)	(51, 39.0387)	(52, 39.035)	(53, 39.0306)	(54, 39.0342)	(55, 39.0196)	(56, 39.0205)	(57, 39.0133)	(58, 39.0081)	(59, 38.9961)	(60, 38.989)	(61, 38.9883)	(62, 38.9848)	(63, 38.9818)	(64, 38.9751)	(65, 38.9739)	(66, 38.9752)	(67, 38.9704)	(68, 38.9626)	(69, 38.962)	(70, 38.9502)	(71, 38.9453)	(72, 38.9483)	(73, 38.9356)	(74, 38.9363)	(75, 38.9299)	(76, 38.9187)	(77, 38.9217)	(78, 38.9137)	(79, 38.9065)	(80, 38.898)	(81, 38.8984)	(82, 38.8885)	(83, 38.8777)	(84, 38.8898)	(85, 38.8647)	(86, 38.8714)	(87, 38.857)	(88, 38.8587)	(89, 38.8608)	(90, 38.8441)	(91, 38.8467)	(92, 38.8392)	(93, 38.8409)	(94, 38.8316)	(95, 38.8153)	(96, 38.8085)	(97, 38.796)	(98, 38.7876)	(99, 38.7673)	(100, 38.7518)
SRR7543030	(1, 34.5738)	(2, 34.5473)	(3, 34.5212)	(4, 34.469)	(5, 34.4357)	(6, 39.1511)	(7, 39.1454)	(8, 39.164)	(9, 39.1696)	(10, 39.1698)	(11, 39.168)	(12, 39.1557)	(13, 39.1559)	(14, 39.1524)	(15, 39.1266)	(16, 39.1356)	(17, 39.1428)	(18, 39.1339)	(19, 39.1396)	(20, 39.1244)	(21, 39.1343)	(22, 39.1351)	(23, 39.1272)	(24, 39.1015)	(25, 39.0727)	(26, 39.0812)	(27, 39.0899)	(28, 39.0902)	(29, 39.0874)	(30, 39.0824)	(31, 39.0794)	(32, 39.0727)	(33, 39.0375)	(34, 39.0523)	(35, 39.0636)	(36, 39.0612)	(37, 39.0621)	(38, 39.0221)	(39, 39.0298)	(40, 39.0413)	(41, 39.0194)	(42, 39.0272)	(43, 39.0342)	(44, 39.0332)	(45, 39.0274)	(46, 39.0275)	(47, 39.0223)	(48, 39.0206)	(49, 39.0134)	(50, 39.006)	(51, 39.0021)	(52, 39.0003)	(53, 38.9932)	(54, 38.9952)	(55, 38.9798)	(56, 38.9823)	(57, 38.9768)	(58, 38.9705)	(59, 38.9575)	(60, 38.9516)	(61, 38.9503)	(62, 38.9453)	(63, 38.942)	(64, 38.9354)	(65, 38.9332)	(66, 38.934)	(67, 38.9285)	(68, 38.9203)	(69, 38.9211)	(70, 38.9094)	(71, 38.9059)	(72, 38.9059)	(73, 38.8933)	(74, 38.8924)	(75, 38.8844)	(76, 38.8721)	(77, 38.8764)	(78, 38.8702)	(79, 38.8604)	(80, 38.8546)	(81, 38.8571)	(82, 38.8455)	(83, 38.8338)	(84, 38.8466)	(85, 38.8179)	(86, 38.8256)	(87, 38.8112)	(88, 38.8131)	(89, 38.8186)	(90, 38.8007)	(91, 38.7989)	(92, 38.7922)	(93, 38.7936)	(94, 38.7821)	(95, 38.7667)	(96, 38.7573)	(97, 38.7428)	(98, 38.733)	(99, 38.7109)	(100, 38.6899)
SRR7543031	(1, 34.5695)	(2, 34.5628)	(3, 34.5379)	(4, 34.4844)	(5, 34.4505)	(6, 39.1758)	(7, 39.1741)	(8, 39.1901)	(9, 39.196)	(10, 39.1928)	(11, 39.1924)	(12, 39.1819)	(13, 39.1819)	(14, 39.1759)	(15, 39.1509)	(16, 39.1609)	(17, 39.1679)	(18, 39.1611)	(19, 39.1673)	(20, 39.1501)	(21, 39.1601)	(22, 39.1635)	(23, 39.1558)	(24, 39.1301)	(25, 39.1)	(26, 39.1096)	(27, 39.1203)	(28, 39.12)	(29, 39.1171)	(30, 39.1109)	(31, 39.1099)	(32, 39.1036)	(33, 39.0701)	(34, 39.0853)	(35, 39.0949)	(36, 39.0929)	(37, 39.0912)	(38, 39.055)	(39, 39.0616)	(40, 39.0753)	(41, 39.0524)	(42, 39.0606)	(43, 39.0674)	(44, 39.0666)	(45, 39.0595)	(46, 39.0589)	(47, 39.0526)	(48, 39.0508)	(49, 39.0451)	(50, 39.0379)	(51, 39.0356)	(52, 39.0325)	(53, 39.0274)	(54, 39.0301)	(55, 39.017)	(56, 39.0176)	(57, 39.0118)	(58, 39.0068)	(59, 38.993)	(60, 38.9872)	(61, 38.9858)	(62, 38.9822)	(63, 38.9799)	(64, 38.9735)	(65, 38.9701)	(66, 38.9732)	(67, 38.9683)	(68, 38.9593)	(69, 38.9592)	(70, 38.9459)	(71, 38.9412)	(72, 38.9458)	(73, 38.9332)	(74, 38.9326)	(75, 38.9266)	(76, 38.9154)	(77, 38.9204)	(78, 38.912)	(79, 38.9054)	(80, 38.896)	(81, 38.8968)	(82, 38.8866)	(83, 38.8757)	(84, 38.8896)	(85, 38.865)	(86, 38.8703)	(87, 38.8584)	(88, 38.8584)	(89, 38.8612)	(90, 38.8446)	(91, 38.8467)	(92, 38.8412)	(93, 38.8416)	(94, 38.8306)	(95, 38.8151)	(96, 38.8096)	(97, 38.794)	(98, 38.7864)	(99, 38.7674)	(100, 38.7503)
SRR7543032	(1, 32.403)	(2, 32.5747)	(3, 32.5983)	(4, 36.1134)	(5, 36.0695)	(6, 35.9963)	(7, 36.0092)	(8, 35.9837)	(9, 37.7251)	(10, 37.7173)	(11, 37.6914)	(12, 37.6757)	(13, 37.6577)	(14, 39.0549)	(15, 39.0669)	(16, 39.0425)	(17, 39.0481)	(18, 39.0273)	(19, 39.0598)	(20, 39.049)	(21, 39.0266)	(22, 38.9938)	(23, 38.9869)	(24, 38.9671)	(25, 38.9468)	(26, 38.8833)	(27, 38.8623)	(28, 38.8417)	(29, 38.8138)	(30, 38.7812)	(31, 38.7486)	(32, 38.7355)	(33, 38.6883)	(34, 38.6662)	(35, 38.6449)	(36, 38.608)	(37, 38.5747)	(38, 38.5276)	(39, 38.4998)	(40, 38.458)	(41, 38.4153)	(42, 38.3584)	(43, 38.3384)	(44, 38.2968)	(45, 38.2443)	(46, 38.1795)	(47, 38.1236)	(48, 38.0669)	(49, 38.0015)	(50, 37.9509)	(51, 37.8821)	(52, 37.81)	(53, 37.7239)	(54, 37.6352)	(55, 37.5567)	(56, 37.4611)	(57, 37.3752)	(58, 37.2937)	(59, 37.1929)	(60, 37.0656)	(61, 36.9577)	(62, 36.8382)	(63, 36.729)	(64, 36.603)	(65, 36.4582)	(66, 36.3334)	(67, 36.1994)	(68, 36.0261)	(69, 35.8831)	(70, 35.7374)	(71, 35.5823)	(72, 35.4425)	(73, 35.2673)	(74, 35.1131)	(75, 34.9708)	(76, 34.8064)	(77, 34.6497)	(78, 34.4936)	(79, 34.3589)	(80, 34.2201)	(81, 34.0731)	(82, 33.9579)	(83, 33.8071)	(84, 33.7102)	(85, 33.6082)	(86, 33.4947)	(87, 33.392)	(88, 33.3053)	(89, 33.2356)	(90, 33.1793)	(91, 33.1087)	(92, 33.0357)	(93, 32.9598)	(94, 32.876)	(95, 32.7981)	(96, 32.7227)	(97, 32.6355)	(98, 32.5251)	(99, 32.4478)	(100, 32.3428)
SRR7543033	(1, 32.4348)	(2, 32.6042)	(3, 32.6291)	(4, 36.1364)	(5, 36.0913)	(6, 36.0179)	(7, 36.0298)	(8, 36.0061)	(9, 37.753)	(10, 37.7456)	(11, 37.7189)	(12, 37.703)	(13, 37.6869)	(14, 39.0976)	(15, 39.108)	(16, 39.0812)	(17, 39.086)	(18, 39.0641)	(19, 39.0976)	(20, 39.0852)	(21, 39.0629)	(22, 39.0266)	(23, 39.0175)	(24, 38.997)	(25, 38.9747)	(26, 38.9082)	(27, 38.8875)	(28, 38.8614)	(29, 38.829)	(30, 38.7953)	(31, 38.7586)	(32, 38.7417)	(33, 38.693)	(34, 38.669)	(35, 38.6466)	(36, 38.6076)	(37, 38.5735)	(38, 38.5253)	(39, 38.4975)	(40, 38.4498)	(41, 38.4055)	(42, 38.346)	(43, 38.3224)	(44, 38.2861)	(45, 38.2376)	(46, 38.1743)	(47, 38.1187)	(48, 38.0603)	(49, 37.9954)	(50, 37.9444)	(51, 37.8799)	(52, 37.8129)	(53, 37.7298)	(54, 37.6353)	(55, 37.5631)	(56, 37.473)	(57, 37.388)	(58, 37.3083)	(59, 37.214)	(60, 37.0927)	(61, 36.9841)	(62, 36.8681)	(63, 36.7598)	(64, 36.6414)	(65, 36.5043)	(66, 36.3791)	(67, 36.2445)	(68, 36.0652)	(69, 35.9369)	(70, 35.7964)	(71, 35.6452)	(72, 35.5083)	(73, 35.3327)	(74, 35.1805)	(75, 35.0395)	(76, 34.8716)	(77, 34.7179)	(78, 34.5586)	(79, 34.4232)	(80, 34.2848)	(81, 34.1383)	(82, 34.0174)	(83, 33.8659)	(84, 33.7662)	(85, 33.6601)	(86, 33.542)	(87, 33.4377)	(88, 33.3536)	(89, 33.2841)	(90, 33.2226)	(91, 33.146)	(92, 33.0666)	(93, 32.9846)	(94, 32.9001)	(95, 32.8246)	(96, 32.7549)	(97, 32.666)	(98, 32.558)	(99, 32.4791)	(100, 32.3721)
SRR7543034	(1, 32.4187)	(2, 32.5892)	(3, 32.6135)	(4, 36.1252)	(5, 36.0822)	(6, 36.0122)	(7, 36.0214)	(8, 35.9988)	(9, 37.7432)	(10, 37.7366)	(11, 37.711)	(12, 37.6963)	(13, 37.6801)	(14, 39.0877)	(15, 39.0934)	(16, 39.0684)	(17, 39.0693)	(18, 39.0496)	(19, 39.0803)	(20, 39.0707)	(21, 39.0453)	(22, 39.0129)	(23, 39.0029)	(24, 38.9821)	(25, 38.9569)	(26, 38.886)	(27, 38.8605)	(28, 38.8316)	(29, 38.8053)	(30, 38.7671)	(31, 38.7271)	(32, 38.7045)	(33, 38.6541)	(34, 38.6368)	(35, 38.6084)	(36, 38.5656)	(37, 38.528)	(38, 38.4817)	(39, 38.4498)	(40, 38.4043)	(41, 38.3565)	(42, 38.2979)	(43, 38.273)	(44, 38.2359)	(45, 38.1899)	(46, 38.1268)	(47, 38.0694)	(48, 38.0098)	(49, 37.9467)	(50, 37.8989)	(51, 37.8306)	(52, 37.7638)	(53, 37.6826)	(54, 37.5906)	(55, 37.5143)	(56, 37.4199)	(57, 37.331)	(58, 37.2541)	(59, 37.1501)	(60, 37.0334)	(61, 36.9277)	(62, 36.8116)	(63, 36.7015)	(64, 36.583)	(65, 36.4463)	(66, 36.3224)	(67, 36.1936)	(68, 36.0155)	(69, 35.886)	(70, 35.7452)	(71, 35.597)	(72, 35.4572)	(73, 35.2801)	(74, 35.1301)	(75, 34.9925)	(76, 34.8299)	(77, 34.6815)	(78, 34.5258)	(79, 34.3902)	(80, 34.2543)	(81, 34.1143)	(82, 33.9952)	(83, 33.8454)	(84, 33.749)	(85, 33.6449)	(86, 33.533)	(87, 33.4299)	(88, 33.3485)	(89, 33.2829)	(90, 33.2207)	(91, 33.1461)	(92, 33.0698)	(93, 32.9962)	(94, 32.9075)	(95, 32.837)	(96, 32.7699)	(97, 32.679)	(98, 32.5719)	(99, 32.4949)	(100, 32.3884)
SRR7543035	(1, 32.4488)	(2, 32.6115)	(3, 32.6432)	(4, 36.1569)	(5, 36.1103)	(6, 36.0333)	(7, 36.0371)	(8, 36.0209)	(9, 37.7718)	(10, 37.7602)	(11, 37.7314)	(12, 37.7189)	(13, 37.7062)	(14, 39.1111)	(15, 39.1227)	(16, 39.0897)	(17, 39.0912)	(18, 39.0716)	(19, 39.099)	(20, 39.0827)	(21, 39.0639)	(22, 39.0213)	(23, 39.0141)	(24, 38.9867)	(25, 38.9646)	(26, 38.8973)	(27, 38.8742)	(28, 38.8452)	(29, 38.8132)	(30, 38.7637)	(31, 38.7256)	(32, 38.7028)	(33, 38.6397)	(34, 38.6157)	(35, 38.5924)	(36, 38.5518)	(37, 38.5099)	(38, 38.4629)	(39, 38.431)	(40, 38.3801)	(41, 38.3278)	(42, 38.2594)	(43, 38.2369)	(44, 38.1885)	(45, 38.1253)	(46, 38.054)	(47, 37.9912)	(48, 37.9176)	(49, 37.8404)	(50, 37.7823)	(51, 37.7065)	(52, 37.6307)	(53, 37.5253)	(54, 37.4233)	(55, 37.3319)	(56, 37.2302)	(57, 37.1374)	(58, 37.0502)	(59, 36.9436)	(60, 36.7971)	(61, 36.6744)	(62, 36.5522)	(63, 36.4338)	(64, 36.3038)	(65, 36.1626)	(66, 36.0276)	(67, 35.8838)	(68, 35.7122)	(69, 35.5743)	(70, 35.4315)	(71, 35.2692)	(72, 35.1391)	(73, 34.9722)	(74, 34.821)	(75, 34.6894)	(76, 34.5307)	(77, 34.3859)	(78, 34.2358)	(79, 34.1247)	(80, 34.0088)	(81, 33.881)	(82, 33.7866)	(83, 33.6469)	(84, 33.566)	(85, 33.4804)	(86, 33.3637)	(87, 33.2822)	(88, 33.2166)	(89, 33.1655)	(90, 33.1232)	(91, 33.0598)	(92, 32.9919)	(93, 32.9183)	(94, 32.8451)	(95, 32.7725)	(96, 32.714)	(97, 32.6224)	(98, 32.5183)	(99, 32.4521)	(100, 32.3446)
SRR7543036	(1, 32.4446)	(2, 32.6104)	(3, 32.6392)	(4, 36.1444)	(5, 36.1007)	(6, 36.0269)	(7, 36.0384)	(8, 36.019)	(9, 37.7686)	(10, 37.7612)	(11, 37.7368)	(12, 37.7219)	(13, 37.7044)	(14, 39.1189)	(15, 39.1258)	(16, 39.1)	(17, 39.1028)	(18, 39.0835)	(19, 39.1134)	(20, 39.1038)	(21, 39.0754)	(22, 39.0383)	(23, 39.0254)	(24, 39.0054)	(25, 38.9819)	(26, 38.9138)	(27, 38.8878)	(28, 38.8586)	(29, 38.8267)	(30, 38.7864)	(31, 38.7453)	(32, 38.7219)	(33, 38.6683)	(34, 38.6438)	(35, 38.6184)	(36, 38.5782)	(37, 38.5437)	(38, 38.4886)	(39, 38.459)	(40, 38.4078)	(41, 38.3619)	(42, 38.2944)	(43, 38.2725)	(44, 38.2318)	(45, 38.1809)	(46, 38.1176)	(47, 38.0571)	(48, 37.991)	(49, 37.9299)	(50, 37.872)	(51, 37.805)	(52, 37.7332)	(53, 37.6418)	(54, 37.5531)	(55, 37.4704)	(56, 37.3753)	(57, 37.2859)	(58, 37.1981)	(59, 37.102)	(60, 36.9788)	(61, 36.8649)	(62, 36.7401)	(63, 36.6265)	(64, 36.5059)	(65, 36.3667)	(66, 36.239)	(67, 36.0988)	(68, 35.9286)	(69, 35.7957)	(70, 35.6569)	(71, 35.5014)	(72, 35.3586)	(73, 35.1867)	(74, 35.0321)	(75, 34.8947)	(76, 34.7328)	(77, 34.5818)	(78, 34.4311)	(79, 34.3024)	(80, 34.1745)	(81, 34.0331)	(82, 33.9208)	(83, 33.7755)	(84, 33.6796)	(85, 33.5822)	(86, 33.4684)	(87, 33.3751)	(88, 33.3024)	(89, 33.235)	(90, 33.1752)	(91, 33.1057)	(92, 33.0297)	(93, 32.9503)	(94, 32.8701)	(95, 32.7983)	(96, 32.7299)	(97, 32.6431)	(98, 32.5378)	(99, 32.4616)	(100, 32.3515)
SRR7543037	(1, 32.4454)	(2, 32.6152)	(3, 32.6401)	(4, 36.1407)	(5, 36.0983)	(6, 36.0283)	(7, 36.0372)	(8, 36.0144)	(9, 37.7597)	(10, 37.7551)	(11, 37.7301)	(12, 37.712)	(13, 37.6978)	(14, 39.1124)	(15, 39.1214)	(16, 39.0959)	(17, 39.0979)	(18, 39.0783)	(19, 39.1095)	(20, 39.0998)	(21, 39.0757)	(22, 39.0413)	(23, 39.0337)	(24, 39.0159)	(25, 38.9938)	(26, 38.9291)	(27, 38.9076)	(28, 38.8818)	(29, 38.8503)	(30, 38.8134)	(31, 38.7747)	(32, 38.7543)	(33, 38.7044)	(34, 38.6823)	(35, 38.6599)	(36, 38.6223)	(37, 38.5873)	(38, 38.536)	(39, 38.5083)	(40, 38.464)	(41, 38.422)	(42, 38.3652)	(43, 38.3454)	(44, 38.3054)	(45, 38.2539)	(46, 38.1894)	(47, 38.1314)	(48, 38.0736)	(49, 38.0104)	(50, 37.9596)	(51, 37.893)	(52, 37.8234)	(53, 37.7386)	(54, 37.6485)	(55, 37.5718)	(56, 37.4768)	(57, 37.3926)	(58, 37.3136)	(59, 37.2154)	(60, 37.0955)	(61, 36.9841)	(62, 36.8629)	(63, 36.7508)	(64, 36.6313)	(65, 36.4899)	(66, 36.3652)	(67, 36.2316)	(68, 36.0576)	(69, 35.9203)	(70, 35.7769)	(71, 35.6229)	(72, 35.482)	(73, 35.304)	(74, 35.1466)	(75, 35.0066)	(76, 34.842)	(77, 34.687)	(78, 34.5313)	(79, 34.3953)	(80, 34.258)	(81, 34.1124)	(82, 33.9942)	(83, 33.843)	(84, 33.7457)	(85, 33.6388)	(86, 33.5207)	(87, 33.4231)	(88, 33.3415)	(89, 33.2742)	(90, 33.2123)	(91, 33.1399)	(92, 33.0635)	(93, 32.9831)	(94, 32.8983)	(95, 32.8207)	(96, 32.7497)	(97, 32.6602)	(98, 32.5486)	(99, 32.4756)	(100, 32.3714)
SRR7543038	(1, 32.4233)	(2, 32.5904)	(3, 32.6169)	(4, 36.1258)	(5, 36.0839)	(6, 36.0133)	(7, 36.0227)	(8, 36.0017)	(9, 37.7446)	(10, 37.7385)	(11, 37.7152)	(12, 37.6992)	(13, 37.6836)	(14, 39.0859)	(15, 39.0984)	(16, 39.0698)	(17, 39.0728)	(18, 39.052)	(19, 39.0818)	(20, 39.07)	(21, 39.0459)	(22, 39.0069)	(23, 39.0002)	(24, 38.977)	(25, 38.9533)	(26, 38.8872)	(27, 38.8642)	(28, 38.8369)	(29, 38.8081)	(30, 38.7633)	(31, 38.7228)	(32, 38.7004)	(33, 38.6434)	(34, 38.6211)	(35, 38.5993)	(36, 38.5582)	(37, 38.5188)	(38, 38.4685)	(39, 38.435)	(40, 38.3872)	(41, 38.3371)	(42, 38.2776)	(43, 38.2551)	(44, 38.2099)	(45, 38.1543)	(46, 38.0861)	(47, 38.0243)	(48, 37.9605)	(49, 37.8892)	(50, 37.8326)	(51, 37.7623)	(52, 37.6921)	(53, 37.5953)	(54, 37.4994)	(55, 37.4133)	(56, 37.3152)	(57, 37.2226)	(58, 37.1388)	(59, 37.0299)	(60, 36.9014)	(61, 36.7859)	(62, 36.6635)	(63, 36.5464)	(64, 36.4222)	(65, 36.2855)	(66, 36.1563)	(67, 36.0226)	(68, 35.8478)	(69, 35.7087)	(70, 35.5683)	(71, 35.4113)	(72, 35.2753)	(73, 35.1021)	(74, 34.9551)	(75, 34.826)	(76, 34.6666)	(77, 34.5145)	(78, 34.3655)	(79, 34.2375)	(80, 34.1114)	(81, 33.9798)	(82, 33.869)	(83, 33.7263)	(84, 33.6369)	(85, 33.5411)	(86, 33.4338)	(87, 33.344)	(88, 33.2734)	(89, 33.2146)	(90, 33.1622)	(91, 33.0909)	(92, 33.0163)	(93, 32.943)	(94, 32.865)	(95, 32.7932)	(96, 32.7275)	(97, 32.6397)	(98, 32.5371)	(99, 32.4648)	(100, 32.3572)
