Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
SRR7543029	(1, 38.8803)	(2, 38.9509)	(3, 38.9404)	(4, 38.9226)	(5, 38.9107)	(6, 38.9224)	(7, 38.9303)	(8, 38.9178)	(9, 38.9517)	(10, 38.9215)	(11, 38.8894)	(12, 38.8986)	(13, 38.9277)	(14, 38.9364)	(15, 38.9442)	(16, 38.9088)	(17, 38.9043)	(18, 38.9245)	(19, 38.9356)	(20, 38.8737)	(21, 38.8997)	(22, 38.8762)	(23, 38.8818)	(24, 38.8822)	(25, 38.907)	(26, 38.8934)	(27, 38.9201)	(28, 38.9093)	(29, 38.9096)	(30, 38.9051)	(31, 38.8955)	(32, 38.8907)	(33, 38.8985)	(34, 38.895)	(35, 38.8717)	(36, 38.871)	(37, 38.8705)	(38, 38.8538)	(39, 38.8533)	(40, 38.8384)	(41, 38.8256)	(42, 38.8379)	(43, 38.8299)	(44, 38.8416)	(45, 38.819)	(46, 38.824)	(47, 38.7955)	(48, 38.8129)	(49, 38.8014)	(50, 38.7881)	(51, 38.7995)	(52, 38.7949)	(53, 38.8027)	(54, 38.7995)	(55, 38.7833)	(56, 38.786)	(57, 38.7573)	(58, 38.7509)	(59, 38.7677)	(60, 38.7528)	(61, 38.7289)	(62, 38.7365)	(63, 38.7276)	(64, 38.7116)	(65, 38.6843)	(66, 38.6897)	(67, 38.6818)	(68, 38.6837)	(69, 38.6884)	(70, 38.6794)	(71, 38.6658)	(72, 38.6635)	(73, 38.6537)	(74, 38.6471)	(75, 38.6298)	(76, 38.6352)	(77, 38.6285)	(78, 38.6106)	(79, 38.5885)	(80, 38.5703)	(81, 38.5643)	(82, 38.5753)	(83, 38.5759)	(84, 38.5664)	(85, 38.541)	(86, 38.498)	(87, 38.4708)
SRR7543030	(1, 38.8499)	(2, 38.8611)	(3, 38.8503)	(4, 38.8551)	(5, 38.8432)	(6, 38.8569)	(7, 38.8456)	(8, 38.8488)	(9, 38.8551)	(10, 38.8485)	(11, 38.8356)	(12, 38.8415)	(13, 38.8412)	(14, 38.8466)	(15, 38.8505)	(16, 38.8407)	(17, 38.8198)	(18, 38.8314)	(19, 38.8386)	(20, 38.8186)	(21, 38.8186)	(22, 38.8213)	(23, 38.8212)	(24, 38.8116)	(25, 38.8188)	(26, 38.815)	(27, 38.8137)	(28, 38.7927)	(29, 38.7846)	(30, 38.7777)	(31, 38.7697)	(32, 38.7672)	(33, 38.7749)	(34, 38.7735)	(35, 38.7479)	(36, 38.7472)	(37, 38.7442)	(38, 38.7287)	(39, 38.7275)	(40, 38.7122)	(41, 38.7018)	(42, 38.7152)	(43, 38.7063)	(44, 38.721)	(45, 38.6943)	(46, 38.7008)	(47, 38.6728)	(48, 38.6892)	(49, 38.6758)	(50, 38.6643)	(51, 38.6725)	(52, 38.6689)	(53, 38.6752)	(54, 38.674)	(55, 38.6564)	(56, 38.6595)	(57, 38.6308)	(58, 38.622)	(59, 38.6371)	(60, 38.621)	(61, 38.5987)	(62, 38.608)	(63, 38.5964)	(64, 38.5813)	(65, 38.55)	(66, 38.5571)	(67, 38.5476)	(68, 38.5472)	(69, 38.548)	(70, 38.5389)	(71, 38.526)	(72, 38.5228)	(73, 38.5116)	(74, 38.506)	(75, 38.4878)	(76, 38.49)	(77, 38.4826)	(78, 38.4603)	(79, 38.4356)	(80, 38.4188)	(81, 38.4079)	(82, 38.4191)	(83, 38.4151)	(84, 38.4045)	(85, 38.3733)	(86, 38.3251)	(87, 38.2927)
SRR7543031	(1, 38.8844)	(2, 38.897)	(3, 38.8852)	(4, 38.8942)	(5, 38.8815)	(6, 38.895)	(7, 38.8845)	(8, 38.8868)	(9, 38.893)	(10, 38.8838)	(11, 38.8721)	(12, 38.8823)	(13, 38.8803)	(14, 38.8868)	(15, 38.8897)	(16, 38.8796)	(17, 38.8594)	(18, 38.8701)	(19, 38.8767)	(20, 38.8551)	(21, 38.8595)	(22, 38.8608)	(23, 38.8597)	(24, 38.852)	(25, 38.8569)	(26, 38.8538)	(27, 38.8551)	(28, 38.8307)	(29, 38.8206)	(30, 38.8191)	(31, 38.8085)	(32, 38.8061)	(33, 38.8115)	(34, 38.8119)	(35, 38.7882)	(36, 38.787)	(37, 38.785)	(38, 38.7695)	(39, 38.7695)	(40, 38.7539)	(41, 38.7411)	(42, 38.7542)	(43, 38.7475)	(44, 38.7584)	(45, 38.7358)	(46, 38.7395)	(47, 38.7109)	(48, 38.7299)	(49, 38.7168)	(50, 38.7016)	(51, 38.7126)	(52, 38.7076)	(53, 38.7159)	(54, 38.7127)	(55, 38.6978)	(56, 38.7)	(57, 38.6709)	(58, 38.6621)	(59, 38.6797)	(60, 38.6635)	(61, 38.6405)	(62, 38.6488)	(63, 38.6404)	(64, 38.6242)	(65, 38.5939)	(66, 38.5996)	(67, 38.5947)	(68, 38.5944)	(69, 38.5986)	(70, 38.5895)	(71, 38.5757)	(72, 38.572)	(73, 38.5633)	(74, 38.5567)	(75, 38.5389)	(76, 38.5444)	(77, 38.5362)	(78, 38.517)	(79, 38.4935)	(80, 38.476)	(81, 38.467)	(82, 38.4762)	(83, 38.4781)	(84, 38.4669)	(85, 38.4401)	(86, 38.3952)	(87, 38.3634)
SRR7543032	(1, 38.8505)	(2, 38.8346)	(3, 38.8234)	(4, 38.8187)	(5, 38.7756)	(6, 38.8595)	(7, 38.8252)	(8, 38.8107)	(9, 38.8085)	(10, 38.789)	(11, 38.7574)	(12, 38.7162)	(13, 38.7011)	(14, 38.6726)	(15, 38.6343)	(16, 38.627)	(17, 38.5561)	(18, 38.5341)	(19, 38.5233)	(20, 38.4299)	(21, 38.4351)	(22, 38.3924)	(23, 38.3563)	(24, 38.3256)	(25, 38.2733)	(26, 38.2563)	(27, 38.2171)	(28, 38.1457)	(29, 38.1073)	(30, 38.0723)	(31, 38.0126)	(32, 37.9706)	(33, 37.9027)	(34, 37.8532)	(35, 37.7843)	(36, 37.743)	(37, 37.6985)	(38, 37.5954)	(39, 37.5562)	(40, 37.4744)	(41, 37.3853)	(42, 37.3228)	(43, 37.2302)	(44, 37.1215)	(45, 37.0293)	(46, 36.9252)	(47, 36.8189)	(48, 36.6963)	(49, 36.5633)	(50, 36.4338)	(51, 36.3267)	(52, 36.1615)	(53, 36.0431)	(54, 35.8835)	(55, 35.7379)	(56, 35.5836)	(57, 35.4188)	(58, 35.2427)	(59, 35.0707)	(60, 34.9249)	(61, 34.7565)	(62, 34.6061)	(63, 34.4154)	(64, 34.2796)	(65, 34.1429)	(66, 34.0109)	(67, 33.8292)	(68, 33.6928)	(69, 33.5454)	(70, 33.4217)	(71, 33.3085)	(72, 33.1933)	(73, 33.0884)	(74, 32.9325)	(75, 32.8266)	(76, 32.7563)	(77, 32.6806)	(78, 32.6047)	(79, 32.5119)	(80, 32.4258)	(81, 32.3323)	(82, 32.2274)	(83, 32.1226)	(84, 32.047)	(85, 31.9217)	(86, 31.7925)	(87, 31.6619)
SRR7543033	(1, 38.9323)	(2, 38.9362)	(3, 38.9261)	(4, 38.9148)	(5, 38.8857)	(6, 38.9672)	(7, 38.9238)	(8, 38.8888)	(9, 38.8955)	(10, 38.8744)	(11, 38.8297)	(12, 38.7832)	(13, 38.7774)	(14, 38.7521)	(15, 38.7144)	(16, 38.699)	(17, 38.6279)	(18, 38.5986)	(19, 38.5926)	(20, 38.4857)	(21, 38.4971)	(22, 38.4491)	(23, 38.4054)	(24, 38.3708)	(25, 38.3222)	(26, 38.3058)	(27, 38.2773)	(28, 38.1977)	(29, 38.1617)	(30, 38.1206)	(31, 38.0661)	(32, 38.0243)	(33, 37.9605)	(34, 37.911)	(35, 37.8414)	(36, 37.8092)	(37, 37.7703)	(38, 37.6731)	(39, 37.6318)	(40, 37.5557)	(41, 37.4714)	(42, 37.4116)	(43, 37.3179)	(44, 37.2146)	(45, 37.1281)	(46, 37.0284)	(47, 36.9256)	(48, 36.8077)	(49, 36.6822)	(50, 36.5548)	(51, 36.4501)	(52, 36.298)	(53, 36.1786)	(54, 36.018)	(55, 35.8774)	(56, 35.7282)	(57, 35.5643)	(58, 35.3885)	(59, 35.2263)	(60, 35.078)	(61, 34.9109)	(62, 34.7631)	(63, 34.5736)	(64, 34.4361)	(65, 34.2924)	(66, 34.1624)	(67, 33.9846)	(68, 33.8451)	(69, 33.6874)	(70, 33.5603)	(71, 33.4402)	(72, 33.3162)	(73, 33.2056)	(74, 33.0517)	(75, 32.9403)	(76, 32.857)	(77, 32.7808)	(78, 32.6998)	(79, 32.5983)	(80, 32.5101)	(81, 32.4134)	(82, 32.3052)	(83, 32.1946)	(84, 32.1196)	(85, 31.9996)	(86, 31.8746)	(87, 31.7457)
SRR7543034	(1, 38.8756)	(2, 38.8715)	(3, 38.8595)	(4, 38.8452)	(5, 38.8107)	(6, 38.8984)	(7, 38.8632)	(8, 38.8323)	(9, 38.8314)	(10, 38.8153)	(11, 38.771)	(12, 38.7192)	(13, 38.7054)	(14, 38.6752)	(15, 38.6314)	(16, 38.6266)	(17, 38.5498)	(18, 38.5287)	(19, 38.51)	(20, 38.4021)	(21, 38.4166)	(22, 38.3706)	(23, 38.3218)	(24, 38.286)	(25, 38.2285)	(26, 38.209)	(27, 38.1695)	(28, 38.0925)	(29, 38.0486)	(30, 38.004)	(31, 37.9516)	(32, 37.9159)	(33, 37.8455)	(34, 37.7919)	(35, 37.7188)	(36, 37.6804)	(37, 37.6406)	(38, 37.5405)	(39, 37.5021)	(40, 37.4201)	(41, 37.329)	(42, 37.2578)	(43, 37.1601)	(44, 37.0555)	(45, 36.9751)	(46, 36.8725)	(47, 36.7748)	(48, 36.6544)	(49, 36.5243)	(50, 36.3991)	(51, 36.295)	(52, 36.1385)	(53, 36.0226)	(54, 35.8662)	(55, 35.7261)	(56, 35.5681)	(57, 35.4097)	(58, 35.2347)	(59, 35.0718)	(60, 34.9221)	(61, 34.7537)	(62, 34.6056)	(63, 34.4159)	(64, 34.2864)	(65, 34.1469)	(66, 34.0214)	(67, 33.8395)	(68, 33.706)	(69, 33.5585)	(70, 33.4333)	(71, 33.3222)	(72, 33.204)	(73, 33.1009)	(74, 32.9442)	(75, 32.833)	(76, 32.7624)	(77, 32.6912)	(78, 32.6118)	(79, 32.5113)	(80, 32.4277)	(81, 32.331)	(82, 32.228)	(83, 32.125)	(84, 32.0432)	(85, 31.9211)	(86, 31.7935)	(87, 31.6587)
SRR7543035	(1, 38.8324)	(2, 38.8291)	(3, 38.8144)	(4, 38.7985)	(5, 38.7676)	(6, 38.8461)	(7, 38.8013)	(8, 38.7661)	(9, 38.7643)	(10, 38.7455)	(11, 38.6903)	(12, 38.6418)	(13, 38.6185)	(14, 38.5815)	(15, 38.5383)	(16, 38.5243)	(17, 38.4461)	(18, 38.4212)	(19, 38.399)	(20, 38.2839)	(21, 38.3011)	(22, 38.249)	(23, 38.2048)	(24, 38.1693)	(25, 38.103)	(26, 38.0847)	(27, 38.0361)	(28, 37.9482)	(29, 37.9027)	(30, 37.8669)	(31, 37.8038)	(32, 37.759)	(33, 37.6843)	(34, 37.6212)	(35, 37.5418)	(36, 37.4976)	(37, 37.4436)	(38, 37.3312)	(39, 37.2784)	(40, 37.1938)	(41, 37.0968)	(42, 37.0266)	(43, 36.9062)	(44, 36.7916)	(45, 36.6934)	(46, 36.5799)	(47, 36.4627)	(48, 36.3325)	(49, 36.1837)	(50, 36.0416)	(51, 35.9291)	(52, 35.7646)	(53, 35.6387)	(54, 35.4605)	(55, 35.3032)	(56, 35.139)	(57, 34.9746)	(58, 34.792)	(59, 34.6327)	(60, 34.4761)	(61, 34.311)	(62, 34.1692)	(63, 33.9822)	(64, 33.8498)	(65, 33.7066)	(66, 33.5976)	(67, 33.4271)	(68, 33.3117)	(69, 33.177)	(70, 33.0627)	(71, 32.9528)	(72, 32.8459)	(73, 32.756)	(74, 32.6133)	(75, 32.5103)	(76, 32.4394)	(77, 32.3742)	(78, 32.3028)	(79, 32.2002)	(80, 32.1142)	(81, 32.0186)	(82, 31.9072)	(83, 31.7895)	(84, 31.7175)	(85, 31.5813)	(86, 31.4483)	(87, 31.3076)
SRR7543036	(1, 38.9354)	(2, 38.9347)	(3, 38.9168)	(4, 38.9122)	(5, 38.8886)	(6, 38.9666)	(7, 38.9198)	(8, 38.8897)	(9, 38.8848)	(10, 38.8649)	(11, 38.8168)	(12, 38.7723)	(13, 38.7449)	(14, 38.7086)	(15, 38.6639)	(16, 38.6574)	(17, 38.5872)	(18, 38.5588)	(19, 38.5352)	(20, 38.4425)	(21, 38.4458)	(22, 38.3957)	(23, 38.349)	(24, 38.3177)	(25, 38.2612)	(26, 38.2433)	(27, 38.1927)	(28, 38.1227)	(29, 38.0762)	(30, 38.0398)	(31, 37.9812)	(32, 37.9348)	(33, 37.8697)	(34, 37.8111)	(35, 37.7341)	(36, 37.7001)	(37, 37.6553)	(38, 37.5482)	(39, 37.494)	(40, 37.4167)	(41, 37.3333)	(42, 37.2705)	(43, 37.1662)	(44, 37.0607)	(45, 36.9721)	(46, 36.8732)	(47, 36.7573)	(48, 36.6323)	(49, 36.5029)	(50, 36.3647)	(51, 36.2548)	(52, 36.1058)	(53, 35.9791)	(54, 35.8118)	(55, 35.6655)	(56, 35.5142)	(57, 35.3491)	(58, 35.1725)	(59, 35.0115)	(60, 34.8529)	(61, 34.6855)	(62, 34.5401)	(63, 34.3623)	(64, 34.2273)	(65, 34.0778)	(66, 33.9533)	(67, 33.7838)	(68, 33.6547)	(69, 33.5003)	(70, 33.3789)	(71, 33.2656)	(72, 33.1456)	(73, 33.0453)	(74, 32.8983)	(75, 32.7967)	(76, 32.7063)	(77, 32.632)	(78, 32.5531)	(79, 32.4455)	(80, 32.3601)	(81, 32.2656)	(82, 32.1572)	(83, 32.0312)	(84, 31.9531)	(85, 31.832)	(86, 31.7028)	(87, 31.569)
SRR7543037	(1, 38.9986)	(2, 38.9942)	(3, 38.9771)	(4, 38.9703)	(5, 38.9421)	(6, 39.0096)	(7, 38.9721)	(8, 38.955)	(9, 38.9505)	(10, 38.927)	(11, 38.8916)	(12, 38.8591)	(13, 38.836)	(14, 38.8033)	(15, 38.761)	(16, 38.7498)	(17, 38.6837)	(18, 38.6597)	(19, 38.6383)	(20, 38.5573)	(21, 38.5514)	(22, 38.5015)	(23, 38.4686)	(24, 38.447)	(25, 38.3872)	(26, 38.3655)	(27, 38.3207)	(28, 38.2605)	(29, 38.2148)	(30, 38.1813)	(31, 38.1274)	(32, 38.0908)	(33, 38.024)	(34, 37.9717)	(35, 37.9049)	(36, 37.8686)	(37, 37.8262)	(38, 37.7281)	(39, 37.6843)	(40, 37.6066)	(41, 37.5209)	(42, 37.4557)	(43, 37.3608)	(44, 37.2602)	(45, 37.1722)	(46, 37.0741)	(47, 36.9699)	(48, 36.8442)	(49, 36.7144)	(50, 36.5829)	(51, 36.478)	(52, 36.3209)	(53, 36.2038)	(54, 36.0432)	(55, 35.899)	(56, 35.7425)	(57, 35.5788)	(58, 35.4017)	(59, 35.2322)	(60, 35.0817)	(61, 34.9113)	(62, 34.7629)	(63, 34.5752)	(64, 34.4406)	(65, 34.2965)	(66, 34.1652)	(67, 33.9846)	(68, 33.8486)	(69, 33.6987)	(70, 33.5711)	(71, 33.4556)	(72, 33.3375)	(73, 33.235)	(74, 33.0829)	(75, 32.9729)	(76, 32.8999)	(77, 32.824)	(78, 32.7469)	(79, 32.6503)	(80, 32.5646)	(81, 32.4714)	(82, 32.3665)	(83, 32.2606)	(84, 32.1829)	(85, 32.0611)	(86, 31.9354)	(87, 31.8067)
SRR7543038	(1, 38.9193)	(2, 38.8933)	(3, 38.9001)	(4, 38.8968)	(5, 38.8734)	(6, 38.919)	(7, 38.8722)	(8, 38.8784)	(9, 38.85)	(10, 38.8043)	(11, 38.791)	(12, 38.7723)	(13, 38.7339)	(14, 38.7006)	(15, 38.6588)	(16, 38.6032)	(17, 38.5603)	(18, 38.5397)	(19, 38.5157)	(20, 38.4744)	(21, 38.4183)	(22, 38.3281)	(23, 38.3225)	(24, 38.3)	(25, 38.2422)	(26, 38.2038)	(27, 38.1593)	(28, 38.081)	(29, 37.9958)	(30, 37.9625)	(31, 37.9066)	(32, 37.8688)	(33, 37.79)	(34, 37.7368)	(35, 37.661)	(36, 37.6178)	(37, 37.5719)	(38, 37.4667)	(39, 37.4218)	(40, 37.335)	(41, 37.2405)	(42, 37.166)	(43, 37.0546)	(44, 36.9387)	(45, 36.8548)	(46, 36.7436)	(47, 36.636)	(48, 36.5022)	(49, 36.3705)	(50, 36.2315)	(51, 36.1286)	(52, 35.9701)	(53, 35.8508)	(54, 35.683)	(55, 35.5334)	(56, 35.3722)	(57, 35.209)	(58, 35.0343)	(59, 34.868)	(60, 34.7128)	(61, 34.5412)	(62, 34.3965)	(63, 34.2146)	(64, 34.0881)	(65, 33.9507)	(66, 33.8294)	(67, 33.653)	(68, 33.5264)	(69, 33.3847)	(70, 33.2693)	(71, 33.1618)	(72, 33.0484)	(73, 32.955)	(74, 32.8035)	(75, 32.7032)	(76, 32.6364)	(77, 32.5702)	(78, 32.4942)	(79, 32.3971)	(80, 32.317)	(81, 32.2206)	(82, 32.1159)	(83, 32.0133)	(84, 31.93)	(85, 31.8032)	(86, 31.6703)	(87, 31.5317)
