Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR7543029	56842400.0	77376.0	0.0	nan	0.0	0.0
SRR7543030	53565206.0	101376.0	0.0	nan	0.0	0.0
SRR7543031	56274330.0	77626.0	0.0	nan	0.0	0.0
SRR7543032	42536624.0	747162.0	0.0	nan	0.0	0.0
SRR7543033	46451352.0	787878.0	0.0	nan	0.0	0.0
SRR7543034	51860370.0	874030.0	0.0	nan	0.0	0.0
SRR7543035	47092764.0	915844.0	0.0	nan	0.0	0.0
SRR7543036	45722858.0	796590.0	0.0	nan	0.0	0.0
SRR7543037	37326204.0	618304.0	0.0	nan	0.0	0.0
SRR7543038	64731174.0	1195936.0	0.0	nan	0.0	0.0
SRR7543039	69524126.0	1337148.0	0.0	nan	0.0	0.0
SRR7543040	64051712.0	1152800.0	0.0	nan	0.0	0.0
SRR7543041	64236488.0	1125484.0	0.0	nan	0.0	0.0
SRR7543042	61431874.0	745858.0	0.0	nan	0.0	0.0
SRR7543043	57795858.0	680304.0	0.0	nan	0.0	0.0
SRR7543044	45494262.0	742234.0	0.0	nan	0.0	0.0
SRR7543045	40578788.0	641172.0	0.0	nan	0.0	0.0
