.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR7543029_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543029_2	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR7543029_clean_1	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543029_clean_2	1	1	1	1	1	0.5	1	0.5	0.5	1	1
SRR7543030_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543030_2	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR7543030_clean_1	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543030_clean_2	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543031_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543031_2	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543031_clean_1	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543031_clean_2	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543032_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543032_2	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543032_clean_1	1	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR7543032_clean_2	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543033_1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543033_2	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR7543033_clean_1	1	1	1	1	1	0.5	1	0.5	0.5	0.5	1
SRR7543033_clean_2	1	1	1	1	1	0.25	1	0.5	0.5	0.5	1
SRR7543034_1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR7543034_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR7543034_clean_1	1	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR7543034_clean_2	1	1	1	1	1	0.5	1	0.5	0.25	0.5	1
SRR7543035_1	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR7543035_2	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR7543035_clean_1	1	1	1	1	1	0.25	1	0.5	0.25	0.5	1
