Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR7543029_1 - polya	(1, 0.00896349275865035)	(2, 0.018299439548040385)	(3, 0.024051394720878732)	(4, 0.033433019834793444)	(5, 0.037582719931996925)	(6, 0.042705719713303156)	(7, 0.047466806615683095)	(8, 0.05534456073755455)	(9, 0.06918157935126097)	(10, 0.08245113262568005)	(12, 0.08920449722079019)	(14, 0.09737037615889423)	(16, 0.1051181227417339)	(18, 0.11216312587034777)	(20, 0.1198335706732226)	(22, 0.12959994782832596)	(24, 0.1395753911610615)	(26, 0.1509598351195198)	(28, 0.16040295028567927)	(30, 0.16892020095089622)	(32, 0.1762621131889205)	(34, 0.18454745851424292)	(36, 0.1922126327412111)	(38, 0.19960725073830227)	(40, 0.209097801087622)	(42, 0.2171723233766767)	(44, 0.22513792043032638)	(46, 0.23371841800642362)	(48, 0.2405842215542099)	(50, 0.24704594761581633)	(52, 0.25350943053605834)	(54, 0.26098310717174994)	(56, 0.26770484831141994)	(58, 0.2739346690331318)	(60, 0.2800379959330831)	(62, 0.285819817702726)	(64, 0.29178435277046766)	(66, 0.2980633655339754)	(68, 0.30410871609895307)	(70, 0.3105282775533059)	(72, 0.3175627395301064)	(74, 0.324084198785322)	(76, 0.3318301885095261)	(78, 0.33898587373218053)	(80, 0.3449047304753975)	(82, 0.3507831794699965)	(84, 0.3576033046932581)	(86, 0.3647502056227347)	(88, 0.37053905482691996)
SRR7543029_2 - polya	(1, 0.026686682674225564)	(2, 0.03361221941562103)	(3, 0.037052148624056425)	(4, 0.04183080411279201)	(5, 0.04470151112330449)	(6, 0.04800089164089472)	(7, 0.05158136954017528)	(8, 0.05931506125393044)	(9, 0.06943105327751115)	(10, 0.08019532613761515)	(12, 0.0867554362828132)	(14, 0.09806784903721336)	(16, 0.1194821989461097)	(18, 0.1326410701264882)	(20, 0.14589129795591604)	(22, 0.16033443279889226)	(24, 0.17216336199214838)	(26, 0.1856437383028352)	(28, 0.19620772927848484)	(30, 0.2062464195221007)	(32, 0.2146231214964725)	(34, 0.22331078744933924)	(36, 0.2319158810463344)	(38, 0.24072125652778395)	(40, 0.25305967472535384)	(42, 0.262467652718802)	(44, 0.273409368301098)	(46, 0.2860833464980607)	(48, 0.2977805112936495)	(50, 0.31051949326012807)	(52, 0.3216298672714383)	(54, 0.33640680525517175)	(56, 0.34815491895119194)	(58, 0.35882432144497545)	(60, 0.36977657817908494)	(62, 0.3798837859094878)	(64, 0.39338524452380136)	(66, 0.40838178983698037)	(68, 0.42156701389689233)	(70, 0.43884396171903417)	(72, 0.4538756442049245)	(74, 0.4646908659654599)	(76, 0.47630897212244827)	(78, 0.4861684627852365)	(80, 0.4942254164879356)	(82, 0.5029042981476244)	(84, 0.5155484097477825)	(86, 0.5293696166337689)	(88, 0.5398668469812671)
SRR7543029_clean_1 - polya	(1, 0.02628319705008937)	(2, 0.029784104823160178)	(3, 0.03381982463794632)	(4, 0.037289065908547143)	(5, 0.04066682617201244)	(6, 0.04391088342504891)	(7, 0.047686234219526266)	(8, 0.051602325024981355)	(9, 0.056405077899596076)	(10, 0.06360041096083206)	(12, 0.07371609924985574)	(14, 0.0832741052453802)	(16, 0.09179063515966954)	(18, 0.0990580974765316)	(20, 0.10604407977143822)	(22, 0.1136070961113535)	(24, 0.12002308136180034)	(26, 0.12777433746639832)	(28, 0.1357859625913051)	(30, 0.14293027739856162)	(32, 0.1508785695185284)	(34, 0.15793844031919835)	(36, 0.16415914880441362)	(38, 0.17014059927096675)	(40, 0.17692250854995567)	(42, 0.1840896936089961)	(44, 0.19045817910573798)	(46, 0.1965064810775055)	(48, 0.20247033904268646)	(50, 0.20816503173687245)	(52, 0.21446314722812548)	(54, 0.22043052369358085)	(56, 0.2265755844228956)	(58, 0.2334788819613528)	(60, 0.24009366247730568)	(62, 0.24700927476672344)	(64, 0.2547341421192631)	(66, 0.2611448496192983)	(68, 0.26684306081375875)	(70, 0.2728983997860752)	(72, 0.28024854685938666)	(74, 0.2862774970796448)	(76, 0.2907371961775013)						
SRR7543029_clean_2 - polya	(1, 0.03272557105259454)	(2, 0.04089904719012568)	(3, 0.05351287067400391)	(4, 0.06001857768144906)	(5, 0.06660169169493195)	(6, 0.07128129705994117)	(7, 0.07814237259510506)	(8, 0.08403234205452267)	(9, 0.09121711961493532)	(10, 0.09956828001632584)	(12, 0.11088025839866016)	(14, 0.12144807397294977)	(16, 0.13049413817854277)	(18, 0.13841428229631403)	(20, 0.1456166523580989)	(22, 0.15327466820542412)	(24, 0.1603151872545846)	(26, 0.1692363447004349)	(28, 0.17851990767455278)	(30, 0.18651394029808732)	(32, 0.19760601241326897)	(34, 0.20837790100347628)	(36, 0.21986228589925833)	(38, 0.2301574177022786)	(40, 0.2432286462218344)	(42, 0.25628404149015527)	(44, 0.2665457475405683)	(46, 0.2774847648938117)	(48, 0.2874139726682899)	(50, 0.2979078997368162)	(52, 0.31372531772057477)	(54, 0.325521089890645)	(56, 0.34121008261438646)	(58, 0.3573019436195516)	(60, 0.3695128988220061)	(62, 0.38012645489986346)	(64, 0.39096871349555967)	(66, 0.3994676509084768)	(68, 0.407356128523778)	(70, 0.4169053382686164)	(72, 0.4313382263943817)	(74, 0.4421312259862356)	(76, 0.45006544410510463)						
SRR7543030_1 - polya	(1, 0.01078883689667436)	(2, 0.018074562676639254)	(3, 0.023880783016887494)	(4, 0.031647254896911454)	(5, 0.03636900147656134)	(6, 0.04154540715859266)	(7, 0.04655038399874246)	(8, 0.05390319062987838)	(9, 0.06641004265932196)	(10, 0.07874173913293006)	(12, 0.08487777365810253)	(14, 0.09174797083220243)	(16, 0.09927220630521988)	(18, 0.10584053964905013)	(20, 0.11330887441275839)	(22, 0.122208267334782)	(24, 0.13177846876851596)	(26, 0.14355861157694)	(28, 0.1527281912606247)	(30, 0.1609511856000071)	(32, 0.16757914636710047)	(34, 0.1752021397598975)	(36, 0.18258848681661896)	(38, 0.18975495775005757)	(40, 0.19837671048251218)	(42, 0.20562144240898367)	(44, 0.2134531317832017)	(46, 0.2216388589830446)	(48, 0.22801340320126964)	(50, 0.23400409588223822)	(52, 0.24016435404811137)	(54, 0.24711094885826712)	(56, 0.2536233814927882)	(58, 0.2597165588074903)	(60, 0.2655451394314622)	(62, 0.2709581914495691)	(64, 0.27675882171888644)	(66, 0.28247560092423996)	(68, 0.28756442882835354)	(70, 0.29370978013841087)	(72, 0.30047935603575426)	(74, 0.30666570119930503)	(76, 0.31393093005252315)	(78, 0.3205104435382153)	(80, 0.32604275040284847)	(82, 0.33152101991514943)	(84, 0.3377725825728942)	(86, 0.3445775622528001)	(88, 0.3501639064697655)
SRR7543030_2 - polya	(1, 0.034337942371660636)	(2, 0.041012487063178345)	(3, 0.044918083286914004)	(4, 0.0503180918061821)	(5, 0.05394418448337179)	(6, 0.058226178816456024)	(7, 0.062265936742533744)	(8, 0.06991688048998537)	(9, 0.08008708287030465)	(10, 0.08986039021452866)	(12, 0.09709207864216134)	(14, 0.10828153728888491)	(16, 0.13092318791608526)	(18, 0.14516482529109082)	(20, 0.15858472223925124)	(22, 0.17324188822012176)	(24, 0.18504252795529255)	(26, 0.19927298518843628)	(28, 0.20974318804204822)	(30, 0.22027860838985422)	(32, 0.22841029823736492)	(34, 0.236862485484915)	(36, 0.24536498337084334)	(38, 0.2538227606893243)	(40, 0.26575569876986016)	(42, 0.27495881887913043)	(44, 0.2858110099130219)	(46, 0.29775512813541954)	(48, 0.3092650841821825)	(50, 0.32302038538619804)	(52, 0.33420611731896765)	(54, 0.3481403007927727)	(56, 0.36013845636750264)	(58, 0.37117511974211437)	(60, 0.382638491864453)	(62, 0.3932149060657524)	(64, 0.40743045644308035)	(66, 0.42328389760316765)	(68, 0.43697584466996614)	(70, 0.4537945047441255)	(72, 0.4692659577239333)	(74, 0.47984796199616364)	(76, 0.49214052797325536)	(78, 0.5017479965465287)	(80, 0.5096803071975032)	(82, 0.5183076500008887)	(84, 0.5309896575861679)	(86, 0.5448865739204334)	(88, 0.5554331744101012)
SRR7543030_clean_1 - polya	(1, 0.02511705079599619)	(2, 0.028608122966987188)	(3, 0.03249124067589696)	(4, 0.035784423194414675)	(5, 0.038973060236154045)	(6, 0.04193020372216995)	(7, 0.04573117855646817)	(8, 0.049435075448043646)	(9, 0.05388199197815089)	(10, 0.060384347257060864)	(12, 0.07051965785401815)	(14, 0.08027412421414006)	(16, 0.0883782655479753)	(18, 0.095181189072623)	(20, 0.10146885274743458)	(22, 0.1086040815375563)	(24, 0.11503922900996591)	(26, 0.12216138961549033)	(28, 0.12944223531969615)	(30, 0.13608460686214854)	(32, 0.14376309875481483)	(34, 0.15051561642458727)	(36, 0.15634402675497971)	(38, 0.161954011714246)	(40, 0.16841716243936408)	(42, 0.17506700151587207)	(44, 0.18139013597744774)	(46, 0.187259617745146)	(48, 0.1927799922957451)	(50, 0.19825742852552458)	(52, 0.20423145577000115)	(54, 0.20938965491890388)	(56, 0.21486709114868335)	(58, 0.22160654063385848)	(60, 0.2278811361240728)	(62, 0.23451977389949735)	(64, 0.24168487282584145)	(66, 0.24755808836056747)	(68, 0.2529403135311381)	(70, 0.2585652335585156)	(72, 0.2653681570831633)	(74, 0.27126564210356996)	(76, 0.275439993640648)						
SRR7543030_clean_2 - polya	(1, 0.041829392012419406)	(2, 0.0491625104550144)	(3, 0.06315293550817297)	(4, 0.06975796938034738)	(5, 0.07712842549322035)	(6, 0.08212793954344169)	(7, 0.08904287607892332)	(8, 0.09458752011520315)	(9, 0.10227161265841113)	(10, 0.11043176049766334)	(12, 0.12195976619598925)	(14, 0.1330191841323265)	(16, 0.14195222174633287)	(18, 0.15015344102289085)	(20, 0.1570497087232335)	(22, 0.16448737264260685)	(24, 0.17157966311190886)	(26, 0.18014679155719104)	(28, 0.18907049475362794)	(30, 0.19712236334907401)	(32, 0.2076217162312416)	(34, 0.21783730281929653)	(36, 0.22950159101413703)	(38, 0.240732762233753)	(40, 0.25269015114027565)	(42, 0.265539910366442)	(44, 0.2758917794510115)	(46, 0.2871360188552248)	(48, 0.2974113457157245)	(50, 0.3082037993095742)	(52, 0.324942276895192)	(54, 0.3372767762715222)	(56, 0.3529791335069261)	(58, 0.3691519453878326)	(60, 0.3812642856260088)	(62, 0.3921239470263589)	(64, 0.4033103130416412)	(66, 0.41150033101711586)	(68, 0.41925723201736587)	(70, 0.4288623476963759)	(72, 0.44332696116206477)	(74, 0.45416982061078975)	(76, 0.46220302037109684)						
SRR7543031_1 - polya	(1, 0.008961534538392954)	(2, 0.01688672528066284)	(3, 0.021493486401785236)	(4, 0.029684861338264815)	(5, 0.03373441021284159)	(6, 0.038284385372532585)	(7, 0.04288404824847606)	(8, 0.04996454781445386)	(9, 0.0627378400139296)	(10, 0.07516154363834326)	(12, 0.08157480815750212)	(14, 0.08913621383435208)	(16, 0.09641723882663451)	(18, 0.10286067088780379)	(20, 0.11006538974441277)	(22, 0.1192913339157207)	(24, 0.12758740796858942)	(26, 0.13813540030447213)	(28, 0.14676154275816086)	(30, 0.15464059490676774)	(32, 0.16124018836187337)	(34, 0.16856025370263988)	(36, 0.17525744802895574)	(38, 0.1819439949875032)	(40, 0.19014424273045644)	(42, 0.19736848176130745)	(44, 0.20469209622466344)	(46, 0.21250016592148108)	(48, 0.2187998585177771)	(50, 0.22464703798391666)	(52, 0.2303806455271934)	(54, 0.23718963721507733)	(56, 0.24337043420462637)	(58, 0.24907742332848215)	(60, 0.2545572686066123)	(62, 0.259849010387501)	(64, 0.26541226004648355)	(66, 0.27082289743411925)	(68, 0.2762690260476495)	(70, 0.28225462129477813)	(72, 0.28870692616242105)	(74, 0.2945984696609289)	(76, 0.30137729380680234)	(78, 0.307455166241257)	(80, 0.3127753010028614)	(82, 0.3182409497906337)	(84, 0.32436318625745664)	(86, 0.3309219648027834)	(88, 0.33626161973862984)
SRR7543031_2 - polya	(1, 0.030444373572409804)	(2, 0.037084781937294246)	(3, 0.04050613611353615)	(4, 0.04490349900188025)	(5, 0.047902507589976114)	(6, 0.05130611615327071)	(7, 0.05478780541353347)	(8, 0.062098997947826334)	(9, 0.07188392892697461)	(10, 0.08201489935859546)	(12, 0.08902619103407874)	(14, 0.10015269035204385)	(16, 0.11984854616226631)	(18, 0.13210011734109106)	(20, 0.1442665095777687)	(22, 0.15743730350726423)	(24, 0.1682443817921777)	(26, 0.18072842050061227)	(28, 0.1902400690403719)	(30, 0.19934889216622753)	(32, 0.2070771066047823)	(34, 0.21522944119277776)	(36, 0.22335338280005756)	(38, 0.23136020336188506)	(40, 0.2425967254801235)	(42, 0.25119270039180186)	(44, 0.26111249802934966)	(46, 0.2723330490959356)	(48, 0.28333355456197473)	(50, 0.29507050296532744)	(52, 0.305606073372147)	(54, 0.31878041642423205)	(56, 0.3297543034708502)	(58, 0.3397095923342927)	(60, 0.349732314526935)	(62, 0.3589937499241375)	(64, 0.371193858825415)	(66, 0.38507980095668726)	(68, 0.3975088282649851)	(70, 0.41375316235695525)	(72, 0.4281359816507523)	(74, 0.43872833801900324)	(76, 0.450081981182694)	(78, 0.459228070095739)	(80, 0.4673466880191346)	(82, 0.47550079716842486)	(84, 0.48702657277770445)	(86, 0.49987972023544314)	(88, 0.5094925187690025)
