Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR7543029_1	0.14884457732230008	0.22603040461719312
SRR7543029_2	0.0	0.0
SRR7543029_clean_1	0.15501456659113622	0.3272944140289643
SRR7543029_clean_2	0.0	0.0
SRR7543030_1	0.15378285130959152	0.21949227174557157
SRR7543030_2	0.16567479553663395	0.10114674342405489
SRR7543030_clean_1	0.15975668981838698	0.21956417006965306
SRR7543030_clean_2	0.16526772995141661	0.100778105847292
SRR7543031_1	0.18101235030776927	0.5732294367918658
SRR7543031_2	0.10988793361493963	0.10413480589742084
SRR7543031_clean_1	0.1882776747408632	0.5864307935785286
SRR7543031_clean_2	0.10946731840254696	0.10363872835091949
SRR7543032_1	0.14163733274164142	1.6919268568604415
SRR7543032_2	0.18415209797035778	0.5691369049833117
SRR7543032_clean_1	0.14617991310264775	1.7385112650218781
SRR7543032_clean_2	0.18343721871298485	0.4664780166851042
SRR7543033_1	0.1487407817612607	1.728317756237771
SRR7543033_2	0.22645585035996565	0.591110397015362
SRR7543033_clean_1	0.150109732005217	1.8983817736887403
SRR7543033_clean_2	0.2259869637378908	0.60019350997577
SRR7543034_1	0.17836933766194363	1.1744781395066597
SRR7543034_2	0.28210807366728363	0.5752677569101005
SRR7543034_clean_1	0.1802532453972079	1.4352153677268407
SRR7543034_clean_2	0.28156760161950256	0.6014881883796818
SRR7543035_1	0.23859887793455706	3.762146155122848
SRR7543035_2	0.24388542987957493	1.7775437271582628
SRR7543035_clean_1	0.2417059232284603	3.812275703333106
SRR7543035_clean_2	0.24347689594095603	1.7515981860822611
SRR7543036_1	0.21078925958020828	1.511668840094577
SRR7543036_2	0.22623656239429152	0.644070411153632
SRR7543036_clean_1	0.2183809244820173	1.5713278465663718
SRR7543036_clean_2	0.22583890097158843	0.6366093738059856
SRR7543037_1	0.1478580246711856	1.3766998902713403
SRR7543037_2	0.20654899518001393	0.45961328580146565
SRR7543037_clean_1	0.15204867872446928	1.407220514574694
SRR7543037_clean_2	0.20561962314732032	0.45813391578741847
SRR7543038_1	0.16965099789752652	2.196674478829726
SRR7543038_2	0.29666399755730233	0.7872330517749072
SRR7543038_clean_1	0.17168543861107785	2.2953546308305794
SRR7543038_clean_2	0.2958914355546834	0.9077017512458525
SRR7543039_1	0.21059739908147854	2.2555818005755865
SRR7543039_2	0.3653928096184102	1.1206854677775058
SRR7543039_clean_1	0.21312601614006627	2.4456114701823077
SRR7543039_clean_2	0.36368957734182805	1.147336969040071
SRR7543040_1	0.18173895696052444	2.582925549692021
SRR7543040_2	0.32146855113339395	1.0229844216915542
SRR7543040_clean_1	0.19306587777076123	2.668075445040407
SRR7543040_clean_2	0.3203286744310597	0.9476749036778286
SRR7543041_1	0.1625379356669349	1.2457365882412483
SRR7543041_2	0.24830952162826422	0.629809639158378
SRR7543041_clean_1	0.1700559968346962	1.3991487205838526
SRR7543041_clean_2	0.24768788729545738	0.7463919883042172
SRR7543042_1	0.0	0.0
SRR7543042_2	0.0	0.0
SRR7543042_clean_1	0.0	0.0
SRR7543042_clean_2	0.0	0.0
SRR7543043_1	0.0	0.0
SRR7543043_2	0.0	0.0
SRR7543043_clean_1	0.0	0.0
SRR7543043_clean_2	0.0	0.0
SRR7543044_1	0.0	0.0
SRR7543044_2	0.0	0.0
SRR7543044_clean_1	0.0	0.0
SRR7543044_clean_2	0.0	0.0
SRR7543045_1	0.0	0.0
SRR7543045_2	0.0	0.0
SRR7543045_clean_1	0.0	0.0
SRR7543045_clean_2	0.0	0.0
