Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR7543029_1	(1, 0.06346476135113392)	(2, 0.0)	(3, 0.0)	(4, 0.20754473805378293)	(5, 0.025094968750404078)	(6, 0.0)	(7, 0.0)	(8, 3.513717271129106e-06)	(9, 8.081549723596944e-05)	(10, 0.00042340293117105733)	(12, 0.0)	(14, 0.0)	(16, 1.756858635564553e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 1.756858635564553e-06)	(30, 0.002424464917079083)	(32, 0.002326080833487468)	(34, 0.0)	(36, 1.756858635564553e-06)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0018376741328005226)	(46, 0.00014933298402298702)	(48, 0.0)	(50, 0.0)	(52, 0.00042164607253549277)	(54, 0.0004532695279756547)	(56, 3.513717271129106e-06)	(58, 0.003740352035116934)	(60, 0.0005446261770250115)	(62, 0.0008222098414442109)	(64, 0.0025597430320175537)	(66, 0.00024596020897903745)	(68, 0.00017919958082758444)	(70, 0.0012983185316822047)	(72, 7.378806269371123e-05)	(74, 0.001222773610352929)	(76, 0.0)	(78, 0.001235071620801881)	(80, 0.0006184142397187227)	(82, 1.756858635564553e-06)	(84, 0.0008731587418755828)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 3.6894031346855615e-05)	(94, 0.00015108984265855158)	(96, 0.0003583991616551689)	(98, 1.2298010448951872e-05)	(100, 0.00011946638721838962)
SRR7543029_2	(1, 0.03457849166518154)	(2, 0.0010435740295253446)	(3, 0.002905844183223771)	(4, 0.0)	(5, 0.0036894031346855617)	(6, 0.00036191287892629794)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 6.149005224475936e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 7.554492132927579e-05)	(32, 0.0)	(34, 0.0)	(36, 3.6894031346855615e-05)	(38, 0.0)	(40, 0.0)	(42, 4.2164607253549276e-05)	(44, 1.756858635564553e-06)	(46, 7.027434542258212e-06)	(48, 1.0541151813387319e-05)	(50, 3.513717271129106e-06)	(52, 0.003533042716120317)	(54, 0.0005147595802204141)	(56, 1.2298010448951872e-05)	(58, 0.0003847520411886371)	(60, 0.009272699878509712)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.002362974864834324)	(72, 0.0004778655488735585)	(74, 0.00028285424032589306)	(76, 0.0005903045015496898)	(78, 0.0)	(80, 0.0010822249195077648)	(82, 0.0008028843964530008)	(84, 0.0018622701536984265)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 6.324691088032391e-05)
SRR7543029_clean_1	(1, 0.0)	(2, 0.0)	(3, 3.5185002744430213e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.7592501372215107e-06)	(16, 0.0)	(18, 0.00473941986967475)	(20, 0.0)	(22, 0.0)	(24, 1.7592501372215107e-06)	(26, 0.0)	(28, 0.0)	(30, 0.0016607321295371061)	(32, 0.0001794435139965941)	(34, 0.0001495362616638284)	(36, 0.0)	(38, 0.00013370301042883482)	(40, 0.000737125807495813)	(42, 0.0)	(44, 3.5185246629051057e-06)	(46, 0.004246972835524313)	(48, 0.00010732043602076373)	(50, 0.00321263864004819)	(52, 0.0003219734530600709)	(54, 2.8151136625893794e-05)	(56, 0.0009800268418267294)	(58, 0.0005313687282500619)	(60, 0.0011999943695278849)	(62, 5.454586755844586e-05)	(64, 0.00028329014155762034)	(66, 0.001560756630884224)	(68, 5.278839381704324e-06)	(70, 0.00011613583965736971)	(72, 0.0007548927741681253)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 3.550140345035655e-05)	(82, 0.0004955963491188226)	(84, 2.706629314700945e-05)	(86, 6.19250182373732e-05)							
SRR7543029_clean_2	(1, 0.0)	(2, 0.00012314750960550574)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 7.564775590052496e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 3.6944252881651726e-05)	(26, 0.0)	(28, 0.0)	(30, 4.222200329331626e-05)	(32, 1.7592501372215107e-06)	(34, 7.037000548886043e-06)	(36, 1.0555500823329065e-05)	(38, 0.0022184144230363253)	(40, 0.001833138642984814)	(42, 0.0)	(44, 0.0003870377129195616)	(46, 0.00784124189226672)	(48, 0.0014338713992938104)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.002359454209855734)	(58, 1.7594991001657677e-06)	(60, 0.0004715520396385237)	(62, 0.0003501492788429266)	(64, 0.0005208315646028299)	(66, 0.0008604396758764212)	(68, 0.00024282661155839892)	(70, 0.0026482490709748697)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 3.27838331844917e-05)							
SRR7543030_1	(1, 0.06373053532643462)	(2, 0.0)	(3, 0.0)	(4, 0.20709722113474638)	(5, 0.02578513384735402)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.335413721708605e-05)	(10, 0.00041739196284197865)	(12, 0.0)	(14, 0.0)	(16, 1.863356976973119e-06)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.002364600003778888)	(32, 0.002331059578193372)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0019118042583744202)	(46, 0.00013416170234206457)	(48, 0.0)	(50, 0.0)	(52, 0.00038571489423343556)	(54, 0.00046770260122025285)	(56, 5.590070930919357e-06)	(58, 0.0035795087527653617)	(60, 0.0005739139489077206)	(62, 0.0008571442094076347)	(64, 0.0027242279003346997)	(66, 0.0002366463360755861)	(68, 0.0001080747046644409)	(70, 0.0012875796710884251)	(72, 6.708085117103229e-05)	(74, 0.0012913063850423713)	(76, 0.0)	(78, 0.0013043498838811833)	(80, 0.0005422368802991776)	(82, 5.590070930919357e-06)	(84, 0.0007472061477662207)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 9.316784884865596e-06)	(94, 0.0001677021279275807)	(96, 0.0003037271872466184)	(98, 9.316784884865596e-06)	(100, 0.0001080747046644409)
SRR7543030_2	(1, 0.03475533433450261)	(2, 0.0009763990559339143)	(3, 0.003007458160834614)	(4, 0.0)	(5, 0.0039950373586303675)	(6, 0.00035776453957883886)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 4.472056744735486e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 6.89442081480054e-05)	(32, 0.0)	(34, 0.0)	(36, 4.844728140130109e-05)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 7.453427907892476e-06)	(46, 7.453427907892476e-06)	(48, 0.0)	(50, 9.316784884865596e-06)	(52, 0.0036540430318442864)	(54, 0.000501243026805769)	(56, 1.863356976973119e-06)	(58, 0.0004248453907498711)	(60, 0.00924225060578667)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.002472674708443329)	(72, 0.0005776406628616668)	(74, 0.0003037271872466184)	(76, 0.0006298146582169142)	(78, 0.0)	(80, 0.00109938061641414)	(82, 0.0008645976373155272)	(84, 0.001956524825821775)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 3.726713953946238e-06)	(100, 5.5900709309193565e-05)
SRR7543030_clean_1	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 3.7337670277978585e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.004693345153941908)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0017586042700927912)	(32, 0.00014935068111191432)	(34, 0.00013254872948682397)	(36, 0.0)	(38, 0.00010454547677834003)	(40, 0.0007467534055595717)	(42, 0.0)	(44, 5.60068682342653e-06)	(46, 0.0041147387046642)	(48, 0.00013628976069403673)	(50, 0.003351295905985975)	(52, 0.00032673371068151874)	(54, 4.294284477265059e-05)	(56, 0.0009074145684587439)	(58, 0.0005209299282589867)	(60, 0.0012155209591196028)	(62, 0.00010269510992587262)	(64, 0.0002894167393787324)	(66, 0.001551665706600741)	(68, 5.601759594847883e-06)	(70, 9.523117386127604e-05)	(72, 0.0006535562413248578)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 9.406469992053225e-06)	(82, 0.00047359974127056696)	(84, 9.543546122536421e-06)	(86, 5.197044598572961e-05)							
SRR7543030_clean_2	(1, 0.0)	(2, 8.587664163935073e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 6.907469001426038e-05)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 4.853897136137215e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 7.467534055595717e-06)	(34, 7.467534055595717e-06)	(36, 0.0)	(38, 0.002316802440748571)	(40, 0.0018426140282182429)	(42, 0.0)	(44, 0.0004275190941882252)	(46, 0.00782621808074062)	(48, 0.001418907097636547)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0024720512111921335)	(58, 0.0)	(60, 0.0005769523446512401)	(62, 0.0003977101529856521)	(64, 0.0005377549738133867)	(66, 0.0009074723627051264)	(68, 0.00021660137100078478)	(70, 0.0027822440990843394)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 3.8174184490145685e-06)	(86, 2.8872469992072005e-05)							
SRR7543031_1	(1, 0.06309985051805478)	(2, 0.0)	(3, 0.0)	(4, 0.20991285555376285)	(5, 0.025457856334214914)	(6, 7.098245178925111e-06)	(7, 0.0)	(8, 1.0647367768387667e-05)	(9, 0.00012067016804172689)	(10, 0.0004365420785038943)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.002369039328466256)	(32, 0.002356617399403137)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0018739367272362294)	(46, 0.00014728858746269606)	(48, 0.0)	(50, 0.0)	(52, 0.00047025874310378866)	(54, 0.0004418657623880882)	(56, 3.5491225894625555e-06)	(58, 0.0036804401252726704)	(60, 0.0005447903174825023)	(62, 0.0008322692472289693)	(64, 0.0025393972127604587)	(66, 0.0002395657747887225)	(68, 0.00014906314875742733)	(70, 0.0012563893966697447)	(72, 4.436403236828194e-05)	(74, 0.0012297709772487754)	(76, 0.0)	(78, 0.0012297709772487754)	(80, 0.0005465648787772335)	(82, 5.323683884193833e-06)	(84, 0.0007808069696817623)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.661841942096917e-05)	(94, 0.00018100525206259034)	(96, 0.00036378506541991193)	(98, 3.5491225894625555e-06)	(100, 0.000127768413220652)
SRR7543031_2	(1, 0.03479204874450144)	(2, 0.0010079508154073658)	(3, 0.003123227878727049)	(4, 0.0)	(5, 0.003719480473756758)	(6, 0.00035846138153571814)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 3.7265787189356834e-05)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 8.695350344183261e-05)	(32, 0.0)	(34, 0.0)	(36, 4.79131549577445e-05)	(38, 0.0)	(40, 0.0)	(42, 2.8392980715700444e-05)	(44, 5.323683884193833e-06)	(46, 1.7745612947312778e-06)	(48, 8.87280647365639e-06)	(50, 8.87280647365639e-06)	(52, 0.003572191886294062)	(54, 0.000523495581945727)	(56, 1.2421929063118945e-05)	(58, 0.0004258947107355067)	(60, 0.009240140661665763)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.002553593703118309)	(72, 0.0005412411948930398)	(74, 0.00036023594283044944)	(76, 0.0006051254015033657)	(78, 0.0)	(80, 0.0010682858994282291)	(82, 0.000779032408387031)	(84, 0.0018455437465205288)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 7.808069696817623e-05)
