Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR7543029_1	(1, 34.570278807843515)	(2, 34.56587833374467)	(3, 34.53892373012852)	(4, 34.485930092205564)	(5, 34.45241977059081)	(6, 39.179569048198644)	(7, 39.17814680085881)	(8, 39.19158072582717)	(9, 39.19751729170544)	(10, 39.196776002772744)	(12, 39.18528063076003)	(14, 39.16924516709272)	(16, 39.16991438968418)	(18, 39.16774802486925)	(20, 39.160391056352715)	(22, 39.163872324444846)	(24, 39.120848437632645)	(26, 39.11931336483123)	(28, 39.12207702644508)	(30, 39.112696508152105)	(32, 39.08939269191783)	(34, 39.09358193890292)	(36, 39.096463907377284)	(38, 39.06113432350823)	(40, 39.0663059179994)	(42, 39.066509678463945)	(44, 39.06612381960182)	(46, 39.05926275957235)	(48, 39.051028222598774)	(50, 39.04025446270203)	(52, 39.032815378612874)	(54, 39.02689030259009)	(56, 39.01694423393374)	(58, 39.002114537485184)	(60, 38.988641698098036)	(62, 38.983332084792465)	(64, 38.97448849763569)	(66, 38.972800999779054)	(68, 38.96232710051424)	(70, 38.94777878254475)	(72, 38.94196157764219)	(74, 38.93310159899435)	(76, 38.920230466121296)	(78, 38.91008309660249)	(80, 38.898203464469006)	(82, 38.883124873857554)	(84, 38.87721884218237)	(86, 38.86417067066462)	(88, 38.85978138775529)	(90, 38.84539378721378)	(92, 38.840010526394195)	(94, 38.82341769932475)	(96, 38.802238206278254)	(98, 38.77742707560901)	(100, 38.75181613504593)
SRR7543029_2	(1, 34.28105128171973)	(2, 34.22738125322208)	(3, 34.20918557374505)	(4, 34.25743773130801)	(5, 34.26269555242101)	(6, 38.90100337007651)	(7, 38.85524939521898)	(8, 38.93178704708887)	(9, 38.93510448811323)	(10, 38.94454245568359)	(12, 38.88959436523432)	(14, 38.901448452643244)	(16, 38.91746878975771)	(18, 38.902858524952734)	(20, 38.91108294242058)	(22, 38.923906552267525)	(24, 38.88134053795292)	(26, 38.91975029908762)	(28, 38.914301068226266)	(30, 38.902060858426424)	(32, 38.89232874001472)	(34, 38.87545669540231)	(36, 38.86946911034927)	(38, 38.887408130348234)	(40, 38.90182052016509)	(42, 38.89425181504579)	(44, 38.87985307602054)	(46, 38.88348415144853)	(48, 38.85793860116385)	(50, 38.848921998568656)	(52, 38.83143854958249)	(54, 38.81547529280509)	(56, 38.81752271829039)	(58, 38.80118073549692)	(60, 38.78156632239733)	(62, 38.7695771852651)	(64, 38.76937268691992)	(66, 38.770615084641236)	(68, 38.75222722239806)	(70, 38.72038261359286)	(72, 38.725441733994174)	(74, 38.69698898674513)	(76, 38.683163967475906)	(78, 38.64991756116538)	(80, 38.64516019880331)	(82, 38.645739891878705)	(84, 38.62601045724425)	(86, 38.61130711406875)	(88, 38.5929886301731)	(90, 38.57967243230192)	(92, 38.53892128809502)	(94, 38.52745479883828)	(96, 38.52750400844866)	(98, 38.47603549950723)	(100, 38.42745509047681)
SRR7543029_clean_1	(1, 39.184950811366164)	(2, 39.159008521807664)	(3, 39.169108341660454)	(4, 39.176225071425556)	(5, 39.16770312302084)	(6, 39.1732743515404)	(7, 39.15797506790705)	(8, 39.168288495911504)	(9, 39.17049406780854)	(10, 39.149721158853254)	(12, 39.11449497206311)	(14, 39.126892566112616)	(16, 39.12104462513898)	(18, 39.11308009514025)	(20, 39.08493101980212)	(22, 39.10252871096224)	(24, 39.08182172110959)	(26, 39.07630849506707)	(28, 39.064369115308295)	(30, 39.07556186930883)	(32, 39.06845532560202)	(34, 39.060888773169324)	(36, 39.05169651527733)	(38, 39.043422902621984)	(40, 39.04020875262128)	(42, 39.02907394832027)	(44, 39.021008021572186)	(46, 39.0041223770028)	(48, 38.99951369003665)	(50, 38.99287818502055)	(52, 38.99057485678675)	(54, 38.98364509122729)	(56, 38.973875524564136)	(58, 38.96498185650539)	(60, 38.95441629734009)	(62, 38.94314094730576)	(64, 38.93686258606475)	(66, 38.92163107017056)	(68, 38.91313047111042)	(70, 38.903731236635416)	(72, 38.88825671840514)	(74, 38.87837611971839)	(76, 38.87330518959793)	(78, 38.86469528371599)	(80, 38.860206713935085)	(82, 38.83817517171225)	(84, 38.819411623678974)	(86, 38.79032804137756)							
SRR7543029_clean_2	(1, 38.88033052791578)	(2, 38.95089264351962)	(3, 38.94040177754634)	(4, 38.92256766076028)	(5, 38.91074891278342)	(6, 38.92244036142035)	(7, 38.93034463710188)	(8, 38.91783665010626)	(9, 38.951707915218215)	(10, 38.90544565324476)	(12, 38.91314114112001)	(14, 38.94030679563143)	(16, 38.90653981886761)	(18, 38.93005140528901)	(20, 38.88670599763557)	(22, 38.87901364122556)	(24, 38.8945870512153)	(26, 38.90677902410876)	(28, 38.90947058885621)	(30, 38.90029789382574)	(32, 38.89462364361815)	(34, 38.88334685023855)	(36, 38.870751639621126)	(38, 38.85356566577062)	(40, 38.83198709062249)	(42, 38.83388007895515)	(44, 38.83031785596461)	(46, 38.809725872576564)	(48, 38.80715450424346)	(50, 38.79378135145576)	(52, 38.79880000398185)	(54, 38.79138829487219)	(56, 38.7716484144561)	(58, 38.75932344419199)	(60, 38.74085575787069)	(62, 38.732056361242215)	(64, 38.6979170170244)	(66, 38.685782884124066)	(68, 38.68605375710253)	(70, 38.67260382804508)	(72, 38.658609756221324)	(74, 38.63843008117837)	(76, 38.6318434259512)	(78, 38.599546327686845)	(80, 38.567302670845294)	(82, 38.5755992546226)	(84, 38.55368444855995)	(86, 38.484391436765954)							
SRR7543030_1	(1, 34.573808557437104)	(2, 34.54732183242078)	(3, 34.52123621362732)	(4, 34.46899252872113)	(5, 34.43569366873411)	(6, 39.15106059856765)	(7, 39.14538302439309)	(8, 39.16397273073959)	(9, 39.169592615382136)	(10, 39.16890365777347)	(12, 39.15581597874073)	(14, 39.13948808962717)	(16, 39.139211846955334)	(18, 39.136758774762285)	(20, 39.12937369478831)	(22, 39.13118176596378)	(24, 39.0871035535671)	(26, 39.0855370666237)	(28, 39.088794363688)	(30, 39.08088459965645)	(32, 39.055113329185005)	(34, 39.0579764517144)	(36, 39.06167523394727)	(38, 39.02592032039604)	(40, 39.030365302563894)	(42, 39.03068255772279)	(44, 39.03029988010043)	(46, 39.024940790900374)	(48, 39.0169720516205)	(50, 39.004051422540755)	(52, 38.99676627440145)	(54, 38.987497023753065)	(56, 38.97953372547557)	(58, 38.96399248977697)	(60, 38.95095258721713)	(62, 38.94364308500214)	(64, 38.93429443671296)	(66, 38.9312609847223)	(68, 38.92072418549033)	(70, 38.90765663071295)	(72, 38.89961583541877)	(74, 38.88840025250723)	(76, 38.874278298550855)	(78, 38.8653286881583)	(80, 38.8558423564221)	(82, 38.83965746132295)	(84, 38.8322677415901)	(86, 38.8184000054261)	(88, 38.81583263491608)	(90, 38.799778007103185)	(92, 38.792878219820295)	(94, 38.774399327313226)	(96, 38.750059729907896)	(98, 38.7219238407991)	(100, 38.68993154809077)
SRR7543030_2	(1, 34.24049059058764)	(2, 34.211000171391575)	(3, 34.196938347964846)	(4, 34.20113380799992)	(5, 34.198926065386466)	(6, 38.82082253719829)	(7, 38.870839175112735)	(8, 38.86429077968856)	(9, 38.852329406780555)	(10, 38.86548330952025)	(12, 38.847322417514874)	(14, 38.8329559352224)	(16, 38.83032083168628)	(18, 38.828192523980746)	(20, 38.82552879928146)	(22, 38.83048344684966)	(24, 38.81756350721199)	(26, 38.82315749119256)	(28, 38.824977916424785)	(30, 38.80485502132407)	(32, 38.807777454506045)	(34, 38.79906044696493)	(36, 38.79548917425)	(38, 38.795692839167586)	(40, 38.78172850657789)	(42, 38.75954792500107)	(44, 38.74673591099951)	(46, 38.752353298743714)	(48, 38.72555174093256)	(50, 38.71528151354971)	(52, 38.696884012475394)	(54, 38.68316953742275)	(56, 38.68579733659952)	(58, 38.66664931260202)	(60, 38.64713161721386)	(62, 38.63297442717705)	(64, 38.630168211569725)	(66, 38.630537025816174)	(68, 38.610967342768355)	(70, 38.57735933322529)	(72, 38.57824025386972)	(74, 38.55116409314087)	(76, 38.53569905010906)	(78, 38.499413918330035)	(80, 38.49240726752451)	(82, 38.48766562029235)	(84, 38.46802175700327)	(86, 38.45177443944539)	(88, 38.43142876138451)	(90, 38.41354172695403)	(92, 38.36872389227248)	(94, 38.35319724665901)	(96, 38.348130406367225)	(98, 38.287724565726954)	(100, 38.23104169369311)
SRR7543030_clean_1	(1, 39.15614199262111)	(2, 39.13032280693553)	(3, 39.13937349554858)	(4, 39.146503534402534)	(5, 39.1376918815546)	(6, 39.143207962273124)	(7, 39.1281515840712)	(8, 39.138096509887404)	(9, 39.138919805517034)	(10, 39.118238432612394)	(12, 39.08112139062809)	(14, 39.09462924496174)	(16, 39.089793325913845)	(18, 39.08132710252248)	(20, 39.05042280617758)	(22, 39.0682280023342)	(24, 39.04824092340838)	(26, 39.04203101543192)	(28, 39.030000033977274)	(30, 39.040701364986816)	(32, 39.03468475412939)	(34, 39.02888526182463)	(36, 39.0171853348235)	(38, 39.00894470563597)	(40, 39.00318232697546)	(42, 38.991280496522315)	(44, 38.98519357678515)	(46, 38.96739133210528)	(48, 38.962106600627756)	(50, 38.95442206479582)	(52, 38.950949992075266)	(54, 38.942947746383645)	(56, 38.93451114257805)	(58, 38.92564556189299)	(60, 38.91299889004125)	(62, 38.898805193726986)	(64, 38.894209863347015)	(66, 38.87869487327227)	(68, 38.8728033822307)	(70, 38.86199563736753)	(72, 38.843908188120125)	(74, 38.83460858653505)	(76, 38.83239341425677)	(78, 38.81936557851979)	(80, 38.8137930564136)	(82, 38.790635772604915)	(84, 38.76789087942309)	(86, 38.733754975479854)							
SRR7543030_clean_2	(1, 38.849906000548195)	(2, 38.86112331949214)	(3, 38.85032384641627)	(4, 38.85505744157877)	(5, 38.84318297963794)	(6, 38.8569011757371)	(7, 38.84558233566767)	(8, 38.84880229901477)	(9, 38.85509067210532)	(10, 38.84202564254117)	(12, 38.841346451649976)	(14, 38.84853511064627)	(16, 38.83024883727695)	(18, 38.8349873983496)	(20, 38.818578463041845)	(22, 38.82122773876759)	(24, 38.81519901183616)	(26, 38.814330967008694)	(28, 38.78868603623031)	(30, 38.77372641860091)	(32, 38.771059780858494)	(34, 38.76070012686967)	(36, 38.74570074462142)	(38, 38.72811031474424)	(40, 38.70696718687127)	(42, 38.710739766407315)	(44, 38.70768378881261)	(46, 38.68682070290589)	(48, 38.68249564482376)	(50, 38.668359900430154)	(52, 38.67206203675618)	(54, 38.66519351998736)	(56, 38.64516429610376)	(58, 38.62955409447929)	(60, 38.609871241334716)	(62, 38.602200132242714)	(64, 38.56563796948117)	(66, 38.55235161646658)	(68, 38.547626824374035)	(70, 38.5324506712016)	(72, 38.51719849138968)	(74, 38.49686326373185)	(76, 38.48632767548975)	(78, 38.44797347826936)	(80, 38.41335478124198)	(82, 38.417077299455336)	(84, 38.38891125270514)	(86, 38.30894677253069)							
SRR7543031_1	(1, 34.5694708804784)	(2, 34.562792248063225)	(3, 34.53792131013163)	(4, 34.48443127688416)	(5, 34.45045573928259)	(6, 39.17584362111583)	(7, 39.17412808172976)	(8, 39.19010651555733)	(9, 39.196006754406184)	(10, 39.19257634996734)	(12, 39.181864441404656)	(14, 39.163398906685686)	(16, 39.16439558903687)	(18, 39.1641898996372)	(20, 39.15507974559037)	(22, 39.15963577200408)	(24, 39.11508407977888)	(26, 39.1149382818229)	(28, 39.118563107197204)	(30, 39.110391252434965)	(32, 39.08687052495569)	(34, 39.0900936428897)	(36, 39.092093254047825)	(38, 39.05828228926073)	(40, 39.06385441172618)	(42, 39.06402125597912)	(44, 39.06309548509727)	(46, 39.05575187132812)	(48, 39.04794832676261)	(50, 39.036728787195955)	(52, 39.02991628187671)	(54, 39.02355284703871)	(56, 39.01467952594227)	(58, 38.999945645187545)	(60, 38.98650721192358)	(62, 38.98105235246848)	(64, 38.971780056756145)	(66, 38.970733651197484)	(68, 38.95923483117427)	(70, 38.943546981758715)	(72, 38.939542559977866)	(74, 38.92957396190471)	(76, 38.91791630090001)	(78, 38.90872595442827)	(80, 38.89636003051962)	(82, 38.88114467579439)	(84, 38.87731061189784)	(86, 38.864322792983444)	(88, 38.859786641656235)	(90, 38.84562773650661)	(92, 38.84139716463436)	(94, 38.82287766550641)	(96, 38.80179523848294)	(98, 38.776933208849044)	(100, 38.75025111816882)
SRR7543031_2	(1, 34.20952443957757)	(2, 34.213258045559236)	(3, 34.17962453690161)	(4, 34.221968018288486)	(5, 34.173055288444644)	(6, 38.87286223037227)	(7, 38.909888629242964)	(8, 38.89603757498675)	(9, 38.89825588307884)	(10, 38.91153015167743)	(12, 38.89338918421927)	(14, 38.876391211691036)	(16, 38.87557411494288)	(18, 38.87457148781135)	(20, 38.87228870990742)	(22, 38.87548331064143)	(24, 38.86443670207295)	(26, 38.870908172202576)	(28, 38.872192102790535)	(30, 38.852201474603646)	(32, 38.853250666223545)	(34, 38.84733058777942)	(36, 38.84287393679821)	(38, 38.84213882478188)	(40, 38.82947947716313)	(42, 38.80616781075)	(44, 38.79353238421751)	(46, 38.7977894680355)	(48, 38.77359460246598)	(50, 38.763553620037605)	(52, 38.74685865385045)	(54, 38.73086400053265)	(56, 38.73425898472806)	(58, 38.71688998692432)	(60, 38.6972511477685)	(62, 38.683459647789334)	(64, 38.681668423364044)	(66, 38.68300935286079)	(68, 38.66583468726445)	(70, 38.63193724810546)	(72, 38.63590571727448)	(74, 38.60806655939325)	(76, 38.59499865452763)	(78, 38.558807204491714)	(80, 38.555919035002084)	(82, 38.5548763027853)	(84, 38.53418275312396)	(86, 38.519826090863646)	(88, 38.5010941590031)	(90, 38.48546840148725)	(92, 38.4427927044804)	(94, 38.4275991768591)	(96, 38.427034404981434)	(98, 38.372052373834194)	(100, 38.31749442734517)
