Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR7543029_1	(10.0, 1.0)	(11.0, 2.0)	(12.0, 16.0)	(13.0, 31.0)	(14.0, 120.0)	(15.0, 226.0)	(16.0, 578.0)	(17.0, 1015.0)	(18.0, 1507.0)	(19.0, 2075.0)	(20.0, 2798.0)	(21.0, 3731.0)	(22.0, 5131.0)	(23.0, 8174.0)	(24.0, 15444.0)	(25.0, 28063.0)	(26.0, 47209.0)	(27.0, 72988.0)	(28.0, 103899.0)	(29.0, 140095.0)	(30.0, 180432.0)	(31.0, 226135.0)	(32.0, 278598.0)	(33.0, 343502.0)	(34.0, 424325.0)	(35.0, 541263.0)	(36.0, 732395.0)	(37.0, 1107730.0)	(38.0, 2213903.0)	(39.0, 21978502.0)	
SRR7543029_2	(9.0, 1.0)	(10.0, 72.0)	(11.0, 712.0)	(12.0, 1828.0)	(13.0, 2619.0)	(14.0, 3290.0)	(15.0, 3951.0)	(16.0, 5067.0)	(17.0, 6460.0)	(18.0, 8159.0)	(19.0, 13203.0)	(20.0, 21718.0)	(21.0, 31689.0)	(22.0, 41801.0)	(23.0, 53019.0)	(24.0, 64978.0)	(25.0, 78014.0)	(26.0, 94427.0)	(27.0, 111630.0)	(28.0, 132420.0)	(29.0, 156541.0)	(30.0, 185063.0)	(31.0, 223146.0)	(32.0, 269070.0)	(33.0, 328942.0)	(34.0, 412829.0)	(35.0, 536557.0)	(36.0, 740092.0)	(37.0, 1152690.0)	(38.0, 2408206.0)	(39.0, 21371694.0)
SRR7543029_clean_1	(12.0, 3.0)	(13.0, 4.0)	(14.0, 5.0)	(15.0, 50.0)	(16.0, 144.0)	(17.0, 352.0)	(18.0, 687.0)	(19.0, 1331.0)	(20.0, 2149.0)	(21.0, 3543.0)	(22.0, 6234.0)	(23.0, 11589.0)	(24.0, 20510.0)	(25.0, 34414.0)	(26.0, 52873.0)	(27.0, 77248.0)	(28.0, 105199.0)	(29.0, 138506.0)	(30.0, 175371.0)	(31.0, 217146.0)	(32.0, 264946.0)	(33.0, 324306.0)	(34.0, 398772.0)	(35.0, 502929.0)	(36.0, 669116.0)	(37.0, 976471.0)	(38.0, 1764547.0)	(39.0, 18802347.0)	(40.0, 3870408.0)		
SRR7543029_clean_2	(11.0, 1.0)	(12.0, 37.0)	(13.0, 368.0)	(14.0, 1153.0)	(15.0, 2259.0)	(16.0, 3579.0)	(17.0, 4773.0)	(18.0, 6736.0)	(19.0, 12010.0)	(20.0, 21521.0)	(21.0, 31756.0)	(22.0, 42571.0)	(23.0, 53308.0)	(24.0, 65238.0)	(25.0, 78450.0)	(26.0, 93208.0)	(27.0, 110270.0)	(28.0, 129360.0)	(29.0, 152702.0)	(30.0, 179440.0)	(31.0, 215164.0)	(32.0, 257808.0)	(33.0, 312726.0)	(34.0, 389187.0)	(35.0, 499954.0)	(36.0, 676872.0)	(37.0, 1013941.0)	(38.0, 1909030.0)	(39.0, 19940205.0)	(40.0, 2217573.0)	
SRR7543030_1	(11.0, 2.0)	(12.0, 8.0)	(13.0, 26.0)	(14.0, 112.0)	(15.0, 286.0)	(16.0, 608.0)	(17.0, 1002.0)	(18.0, 1527.0)	(19.0, 2110.0)	(20.0, 2672.0)	(21.0, 3824.0)	(22.0, 5162.0)	(23.0, 8360.0)	(24.0, 15439.0)	(25.0, 27932.0)	(26.0, 47439.0)	(27.0, 72695.0)	(28.0, 104174.0)	(29.0, 137897.0)	(30.0, 179252.0)	(31.0, 223302.0)	(32.0, 273895.0)	(33.0, 335429.0)	(34.0, 416115.0)	(35.0, 528919.0)	(36.0, 713929.0)	(37.0, 1074399.0)	(38.0, 2132150.0)	(39.0, 20524626.0)		
SRR7543030_2	(10.0, 140.0)	(11.0, 1251.0)	(12.0, 3113.0)	(13.0, 4543.0)	(14.0, 5536.0)	(15.0, 6627.0)	(16.0, 8006.0)	(17.0, 9467.0)	(18.0, 11823.0)	(19.0, 18500.0)	(20.0, 30327.0)	(21.0, 42272.0)	(22.0, 53511.0)	(23.0, 63831.0)	(24.0, 74781.0)	(25.0, 87085.0)	(26.0, 101714.0)	(27.0, 117688.0)	(28.0, 136848.0)	(29.0, 159574.0)	(30.0, 188136.0)	(31.0, 222558.0)	(32.0, 266057.0)	(33.0, 324248.0)	(34.0, 404034.0)	(35.0, 522602.0)	(36.0, 719474.0)	(37.0, 1113304.0)	(38.0, 2301414.0)	(39.0, 19834827.0)	
SRR7543030_clean_1	(12.0, 1.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 37.0)	(16.0, 128.0)	(17.0, 345.0)	(18.0, 675.0)	(19.0, 1256.0)	(20.0, 2146.0)	(21.0, 3515.0)	(22.0, 6231.0)	(23.0, 11524.0)	(24.0, 20380.0)	(25.0, 33911.0)	(26.0, 53243.0)	(27.0, 76567.0)	(28.0, 105243.0)	(29.0, 136833.0)	(30.0, 173284.0)	(31.0, 213903.0)	(32.0, 261124.0)	(33.0, 316665.0)	(34.0, 390873.0)	(35.0, 491664.0)	(36.0, 651267.0)	(37.0, 948703.0)	(38.0, 1700792.0)	(39.0, 17767129.0)	(40.0, 3415152.0)		
SRR7543030_clean_2	(12.0, 71.0)	(13.0, 577.0)	(14.0, 1765.0)	(15.0, 3567.0)	(16.0, 5425.0)	(17.0, 7179.0)	(18.0, 9694.0)	(19.0, 17104.0)	(20.0, 30039.0)	(21.0, 42542.0)	(22.0, 54231.0)	(23.0, 64039.0)	(24.0, 75441.0)	(25.0, 87323.0)	(26.0, 100562.0)	(27.0, 116616.0)	(28.0, 134556.0)	(29.0, 156292.0)	(30.0, 182378.0)	(31.0, 215553.0)	(32.0, 255856.0)	(33.0, 310091.0)	(34.0, 382723.0)	(35.0, 489299.0)	(36.0, 660550.0)	(37.0, 984825.0)	(38.0, 1835420.0)	(39.0, 18535247.0)	(40.0, 2023638.0)		
SRR7543031_1	(11.0, 3.0)	(12.0, 6.0)	(13.0, 29.0)	(14.0, 85.0)	(15.0, 241.0)	(16.0, 589.0)	(17.0, 1003.0)	(18.0, 1398.0)	(19.0, 2013.0)	(20.0, 2737.0)	(21.0, 3664.0)	(22.0, 4948.0)	(23.0, 8162.0)	(24.0, 15109.0)	(25.0, 28090.0)	(26.0, 46440.0)	(27.0, 72376.0)	(28.0, 103095.0)	(29.0, 139055.0)	(30.0, 178606.0)	(31.0, 224091.0)	(32.0, 277446.0)	(33.0, 340204.0)	(34.0, 420938.0)	(35.0, 538738.0)	(36.0, 728682.0)	(37.0, 1103870.0)	(38.0, 2200059.0)	(39.0, 21734301.0)		
SRR7543031_2	(10.0, 72.0)	(11.0, 694.0)	(12.0, 1685.0)	(13.0, 2603.0)	(14.0, 3250.0)	(15.0, 3955.0)	(16.0, 4895.0)	(17.0, 6340.0)	(18.0, 8435.0)	(19.0, 13563.0)	(20.0, 22373.0)	(21.0, 32443.0)	(22.0, 43795.0)	(23.0, 55338.0)	(24.0, 69334.0)	(25.0, 84495.0)	(26.0, 101883.0)	(27.0, 121156.0)	(28.0, 143965.0)	(29.0, 170480.0)	(30.0, 200386.0)	(31.0, 236857.0)	(32.0, 284047.0)	(33.0, 345203.0)	(34.0, 429214.0)	(35.0, 553876.0)	(36.0, 760559.0)	(37.0, 1176235.0)	(38.0, 2443687.0)	(39.0, 20855160.0)	
