Sample	Unique Reads	Duplicate Reads
SRR7543029_1	16448371.0	12011517.0
SRR7543029_2	16855252.0	11604636.0
SRR7543029_clean_1	16060850.0	12360350.0
SRR7543029_clean_2	16842166.0	11579034.0
SRR7543030_1	14246113.0	12587178.0
SRR7543030_2	14609577.0	12223714.0
SRR7543030_clean_1	13927175.0	12855428.0
SRR7543030_clean_2	14595451.0	12187152.0
SRR7543031_1	14569315.0	13606663.0
SRR7543031_2	15009218.0	13166760.0
SRR7543031_clean_1	14123923.0	14013242.0
SRR7543031_clean_2	15012828.0	13124337.0
SRR7543032_1	11048237.0	10593656.0
SRR7543032_2	11339480.0	10302413.0
SRR7543032_clean_1	10590989.0	10677323.0
SRR7543032_clean_2	11183340.0	10084972.0
SRR7543033_1	12731334.0	10888281.0
SRR7543033_2	13056213.0	10563402.0
SRR7543033_clean_1	12288042.0	10937634.0
SRR7543033_clean_2	12886937.0	10338739.0
SRR7543034_1	12693345.0	13673855.0
SRR7543034_2	13103992.0	13263208.0
SRR7543034_clean_1	12187343.0	13742842.0
SRR7543034_clean_2	12931939.0	12998246.0
SRR7543035_1	9038010.0	14966294.0
SRR7543035_2	9363956.0	14640348.0
SRR7543035_clean_1	8682322.0	14864060.0
SRR7543035_clean_2	9219273.0	14327109.0
SRR7543036_1	11531270.0	11728454.0
SRR7543036_2	11831706.0	11428018.0
SRR7543036_clean_1	11056489.0	11804940.0
SRR7543036_clean_2	11678483.0	11182946.0
SRR7543037_1	10658909.0	8313345.0
SRR7543037_2	10874766.0	8097488.0
SRR7543037_clean_1	10291656.0	8371446.0
SRR7543037_clean_2	10733402.0	7929700.0
SRR7543038_1	13697478.0	19266077.0
SRR7543038_2	14026267.0	18937288.0
SRR7543038_clean_1	13025974.0	19339613.0
SRR7543038_clean_2	13822553.0	18543034.0
SRR7543039_1	13206660.0	22223977.0
SRR7543039_2	13664857.0	21765780.0
SRR7543039_clean_1	12453870.0	22308193.0
SRR7543039_clean_2	13464962.0	21297101.0
SRR7543040_1	14218505.0	18383751.0
SRR7543040_2	14573600.0	18028656.0
SRR7543040_clean_1	13536755.0	18489101.0
SRR7543040_clean_2	14358006.0	17667850.0
SRR7543041_1	16167849.0	16513137.0
SRR7543041_2	16626007.0	16054979.0
SRR7543041_clean_1	15628530.0	16489714.0
SRR7543041_clean_2	16391798.0	15726446.0
SRR7543042_1	9660803.0	21428063.0
SRR7543042_2	10437764.0	20651102.0
SRR7543042_clean_1	9372143.0	21343794.0
SRR7543042_clean_2	9957524.0	20758413.0
SRR7543043_1	10284372.0	18953709.0
SRR7543043_2	10990461.0	18247620.0
SRR7543043_clean_1	10017624.0	18880305.0
SRR7543043_clean_2	10540765.0	18357164.0
SRR7543044_1	11291937.0	11826311.0
SRR7543044_2	11842036.0	11276212.0
SRR7543044_clean_1	10890703.0	11856428.0
SRR7543044_clean_2	11247673.0	11499458.0
SRR7543045_1	8319303.0	12290677.0
SRR7543045_2	8930183.0	11679797.0
SRR7543045_clean_1	7981779.0	12307615.0
SRR7543045_clean_2	8382933.0	11906461.0
