Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7543029_1	(1.0, 48.36783211409734)	(2.0, 11.873628009056121)	(3.0, 4.6246005995210275)	(4.0, 2.4827367647856193)	(5.0, 1.7585424018903502)	(6.0, 1.2616406466351031)	(7.0, 1.0317416528978585)	(8.0, 0.7755991559816569)	(9.0, 0.6276858808944028)	('>10', 7.09093731789613)	('>50', 2.3857242503206666)	('>100', 4.685350944536531)	('>500', 1.9667984637165292)	('>1k', 5.257505687481795)	('>5k', 2.818364495569003)	('>10k+', 2.9913116147198497)
SRR7543029_2	(1.0, 50.02605444369208)	(2.0, 11.8118474985424)	(3.0, 4.4105378558274655)	(4.0, 2.4454546176013174)	(5.0, 1.6014384436708777)	(6.0, 1.1531861111760293)	(7.0, 0.8542026381083355)	(8.0, 0.6940282243656795)	(9.0, 0.6094948471247753)	('>10', 6.620381454552018)	('>50', 2.40164826686149)	('>100', 4.405321503893641)	('>500', 2.081015854339421)	('>1k', 5.8409650781448725)	('>5k', 3.0032507111543008)	('>10k+', 2.041172450945371)
SRR7543029_clean_1	(1.0, 46.875632222653365)	(2.0, 12.080389807312859)	(3.0, 4.756785785607985)	(4.0, 2.610805710617896)	(5.0, 1.8117984403444576)	(6.0, 1.284489467393846)	(7.0, 1.0348877475682146)	(8.0, 0.785984184692013)	(9.0, 0.655753579291827)	('>10', 7.237909067885055)	('>50', 2.427366924898331)	('>100', 4.70674127846279)	('>500', 2.0319074210459713)	('>1k', 5.460902949049241)	('>5k', 3.0188378025872016)	('>10k+', 3.2198076105890565)
SRR7543029_clean_2	(1.0, 50.049550342961005)	(2.0, 11.845604103659243)	(3.0, 4.403090638067424)	(4.0, 2.4413159827666324)	(5.0, 1.6059258281270739)	(6.0, 1.144571731561225)	(7.0, 0.8638900647140487)	(8.0, 0.6722126812365853)	(9.0, 0.6130633376126288)	('>10', 6.600435478438696)	('>50', 2.389770426720925)	('>100', 4.4263029196369885)	('>500', 2.06832563727263)	('>1k', 5.849522646867014)	('>5k', 3.0577752229372006)	('>10k+', 1.9686429574207636)
SRR7543030_1	(1.0, 43.611417988194546)	(2.0, 12.483709113846817)	(3.0, 4.390335703253197)	(4.0, 2.381249622422935)	(5.0, 1.5529467335741165)	(6.0, 1.0746599798076315)	(7.0, 0.840959911312082)	(8.0, 0.6987348759679489)	(9.0, 0.5632357261242514)	('>10', 6.505659552706258)	('>50', 2.2526289848015533)	('>100', 5.146702165959615)	('>500', 2.8018178876878883)	('>1k', 8.637059278736347)	('>5k', 4.071097282514199)	('>10k+', 2.9877851930906787)
SRR7543030_2	(1.0, 45.271855043417844)	(2.0, 12.340941203833713)	(3.0, 4.20398412625674)	(4.0, 2.1092904344062564)	(5.0, 1.3538439809468663)	(6.0, 1.0406666975990215)	(7.0, 0.7827078924458095)	(8.0, 0.6149297680052299)	(9.0, 0.5049561513106202)	('>10', 6.047549073350706)	('>50', 1.9993647692100702)	('>100', 5.367019788891042)	('>500', 3.643327827021245)	('>1k', 9.712710886547056)	('>5k', 3.2956080804771575)	('>10k+', 1.7112442762810727)
SRR7543030_clean_1	(1.0, 42.436308671641505)	(2.0, 12.508089358368668)	(3.0, 4.532400849509843)	(4.0, 2.4235548162275102)	(5.0, 1.6002018416851398)	(6.0, 1.1227719911537235)	(7.0, 0.833754347908495)	(8.0, 0.6980440627241957)	(9.0, 0.5616917174873843)	('>10', 6.453547226430724)	('>50', 2.2454641216743134)	('>100', 5.117954804582733)	('>500', 2.885083908068249)	('>1k', 9.147200815012587)	('>5k', 4.237542514345833)	('>10k+', 3.196388953179178)
SRR7543030_clean_2	(1.0, 45.31044986708621)	(2.0, 12.3630704769694)	(3.0, 4.224441872136182)	(4.0, 2.0999751577895935)	(5.0, 1.3623336005948579)	(6.0, 1.020422207960954)	(7.0, 0.7804326994520433)	(8.0, 0.6224925707436342)	(9.0, 0.4861020128783041)	('>10', 6.037011720892606)	('>50', 1.9870003865770605)	('>100', 5.361773484755868)	('>500', 3.629550019915176)	('>1k', 9.765110570994095)	('>5k', 3.2038410624116618)	('>10k+', 1.7459922888423567)
SRR7543031_1	(1.0, 41.37692760254023)	(2.0, 12.38532328095869)	(3.0, 5.131853033397355)	(4.0, 3.1189285498357697)	(5.0, 2.0364931067296714)	(6.0, 1.5957687928628812)	(7.0, 1.2799835600574256)	(8.0, 0.9816227176798855)	(9.0, 0.846089970922158)	('>10', 9.242918512095082)	('>50', 2.7330462209991433)	('>100', 4.413042970918323)	('>500', 1.7786098277793556)	('>1k', 5.764999533160142)	('>5k', 3.078079418285575)	('>10k+', 4.236312901778259)
SRR7543031_2	(1.0, 43.05068682014805)	(2.0, 12.514784875530625)	(3.0, 5.092952480570652)	(4.0, 2.9435224649052114)	(5.0, 1.9361804191059786)	(6.0, 1.3809106013555486)	(7.0, 1.1355475892537943)	(8.0, 0.925907636613792)	(9.0, 0.8104787379418537)	('>10', 8.861550064672262)	('>50', 2.549415108632868)	('>100', 3.7598299756091254)	('>500', 1.7881037995893956)	('>1k', 6.82019567961362)	('>5k', 3.5958933762540917)	('>10k+', 2.834040370203227)
