Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR7543029_1	SRR7543029_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28459888.0	2.8 Gbp	0.0	100.0	46.0	57.794922426399985	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR7543029_2	SRR7543029_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28459888.0	2.8 Gbp	0.0	100.0	46.0	59.22458920957562	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
SRR7543029_clean_1	SRR7543029_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28421200.0	2.4 Gbp	0.0	44-87	46.0	56.51010470157733	86.82171727442895	87	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR7543029_clean_2	SRR7543029_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28421200.0	2.4 Gbp	0.0	44-87	46.0	59.259162702408496	86.82171727442895	87	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR7543030_1	SRR7543030_1.fastq	Conventional base calls	Sanger / Illumina 1.9	26833291.0	2.6 Gbp	0.0	100.0	48.0	53.091187837099305	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR7543030_2	SRR7543030_2.fastq	Conventional base calls	Sanger / Illumina 1.9	26833291.0	2.6 Gbp	0.0	100.0	48.0	54.44571284895721	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass
SRR7543030_clean_1	SRR7543030_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26782603.0	2.3 Gbp	0.0	44-87	47.0	52.00082403305534	86.84349837093878	87	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR7543030_clean_2	SRR7543030_clean_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26782603.0	2.3 Gbp	0.0	44-87	48.0	54.49601063135042	86.84349837093878	87	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR7543031_1	SRR7543031_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28175978.0	2.8 Gbp	0.0	100.0	47.0	51.70828362988651	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR7543031_2	SRR7543031_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28175978.0	2.8 Gbp	0.0	100.0	47.0	53.26955168308787	100.0	100	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
SRR7543031_clean_1	SRR7543031_clean_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28137165.0	2.4 Gbp	0.0	44-87	47.0	50.19667874684595	86.83497672917652	87	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
