Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR7543029	18.1912	97.2398	4798.934851999999	56.8424	46.3651	99.86406130621455	86.703692966044	12.272543026170728	100.0	100.0						
SRR7543029_1											42.205077573600015	46.0	100.0	100	9.090909090909092	28.459888
SRR7543029_2											40.77541079042438	46.0	100.0	100	9.090909090909092	28.459888
SRR7543029_clean_1											43.48989529842267	46.0	86.82171727442895	87	0.0	28.4212
SRR7543029_clean_2											40.740837297591504	46.0	86.82171727442895	87	0.0	28.4212
SRR7543030	23.9697	96.9684	4510.7685329999995	53.565205999999996	48.025	99.81110032310238	86.67945128310947	11.390690020094814	100.0	100.0						
SRR7543030_1											46.908812162900695	48.0	100.0	100	9.090909090909092	26.833291
SRR7543030_2											45.55428715104279	48.0	100.0	100	9.090909090909092	26.833291
SRR7543030_clean_1											47.99917596694466	47.0	86.84349837093878	87	0.0	26.782602999999998
SRR7543030_clean_2											45.50398936864958	48.0	86.84349837093878	87	0.0	26.782602999999998
SRR7543031	21.1157	97.12469999999999	4746.078442999999	56.27433	47.3022	99.86224790493519	86.71535972948303	11.47894848583428	100.0	100.0						
SRR7543031_1											48.29171637011349	47.0	100.0	100	9.090909090909092	28.175977999999997
SRR7543031_2											46.73044831691213	47.0	100.0	100	9.090909090909092	28.175977999999997
SRR7543031_clean_1											49.80332125315405	47.0	86.83497672917652	87	0.0	28.137165
SRR7543031_clean_2											46.64413431434398	47.0	86.83497672917652	87	0.0	28.137165
SRR7543032	20.3474	93.2426	3432.678023	42.536623999999996	46.712900000000005	98.27380627008921	85.05376179431255	23.338452879329918	100.0	100.0						
