Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000157933,SKI,2074.7927411978176,-0.9030146576464257,0.1730234235705134,-5.219031267627265,1.7986139991535112e-07,9.58199416486838e-06
ENSG00000162591,MEGF6,2123.361160764006,-1.3888750096968974,0.2138978199328388,-6.493170478002003,8.404848690821205e-11,1.0475640329085848e-08
ENSG00000189433,GJB4,230.23320861054506,-3.1246061210683402,0.6178332574644115,-5.057361485996607,4.250969802564514e-07,1.991516750561886e-05
ENSG00000142973,CYP4B1,341.2003984531885,-2.6535221354467375,0.46296780206539073,-5.731547903782621,9.951823373277755e-09,7.60688229147819e-07
ENSG00000169213,RAB3B,239.02216806511865,-2.602023702261711,0.5536684377077552,-4.699606343887615,2.6066345911742274e-06,9.223455005189906e-05
ENSG00000177606,JUN,4122.765838908614,-3.336926872281527,0.4286754873184608,-7.78427265145334,7.01154038605463e-15,1.9848007077574813e-12
ENSG00000142871,CCN1,1621.3000847525443,-3.9136323229243892,0.4869141091636075,-8.037623575227666,9.159750563620325e-16,2.8864447931755633e-13
ENSG00000137936,BCAR3,363.2030120588266,-1.6203934492534549,0.22598406529556375,-7.170388085257906,7.478546060109809e-13,1.3801429505295466e-10
ENSG00000117525,F3,1052.7795465133368,-2.2610695682573354,0.3860901936633984,-5.8563247794596505,4.7322236205878355e-09,3.8181271883694554e-07
ENSG00000196369,SRGAP2B,134.6434479481179,-1.4581551516271583,0.2832542196388457,-5.147867359174147,2.634646798139982e-07,1.3354340970905893e-05
ENSG00000178104,PDE4DIP,1149.4241156319174,-1.2701711049149478,0.19782570938641889,-6.420657400165742,1.356870909432305e-10,1.595899964358003e-08
ENSG00000301610,ENSG00000301610,37.85874255733161,-3.9780683216766906,0.8200450046383911,-4.85103658845025,1.2281788462970065e-06,4.8492739956098e-05
ENSG00000014914,MTMR11,322.53394197679603,-1.175586835264438,0.23335701947927667,-5.037717904898234,4.711150827408542e-07,2.1675836238006546e-05
ENSG00000169418,NPR1,480.0358425610287,-2.479896377536355,0.5289763305911609,-4.6881046166374425,2.7574705254663183e-06,9.654904398548369e-05
ENSG00000157064,NMNAT2,159.48446249905314,-1.3284915966181845,0.2753889170567569,-4.824056141461881,1.4066779465073114e-06,5.463635284556247e-05
ENSG00000159388,BTG2,2657.140864764578,-1.6119419343657533,0.33700054898782167,-4.783202695684643,1.72523994173072e-06,6.496172888975619e-05
ENSG00000058668,ATP2B4,9559.364324102495,-0.7317431386076263,0.15258030918152232,-4.795790115597966,1.6203486995703582e-06,6.157509398378689e-05
ENSG00000143850,PLEKHA6,253.514650752954,-2.020571694832436,0.3935098112822421,-5.134742862569175,2.825300396404388e-07,1.4191505133999365e-05
ENSG00000076356,PLXNA2,1317.383006662646,-1.2094826637565628,0.23822193178191092,-5.077125580795929,3.8318762043706516e-07,1.8181272848663762e-05
ENSG00000162772,ATF3,1062.3481515309502,-3.177248351680592,0.42940719835053565,-7.399150186315521,1.3705877085437332e-13,3.011956659768837e-11
ENSG00000300975,ENSG00000300975,11.30813457067142,-7.28012275402931,1.3996608389247773,-5.201347749088927,1.978485125898374e-07,1.0358517031408054e-05
ENSG00000116984,MTR,2444.925643641273,-0.8409725672697287,0.15402020690684975,-5.4601443807846755,4.757475292189769e-08,3.049598525006828e-06
ENSG00000180875,GREM2,324.15416625996545,-2.4932209145763986,0.4165079277977864,-5.9860107051476135,2.1505022009844544e-09,1.8324802300888707e-07
ENSG00000151693,ASAP2,977.3873577165667,-1.1379516353899857,0.13329060281197208,-8.53737331352046,1.3730738321008586e-17,5.7330981517081224e-15
ENSG00000143878,RHOB,6643.308279289717,-2.744547409704695,0.388184418798183,-7.070215281184649,1.5469351968879312e-12,2.7780793753573964e-10
ENSG00000309156,ENSG00000309156,64.64183112021362,-3.071723356087917,0.4057616757710086,-7.570264861143373,3.724640392223899e-14,9.284639031451858e-12
ENSG00000152518,ZFP36L2,2165.949768036996,-1.0948049670195843,0.120185518071735,-9.10929190625221,8.292139086732329e-20,4.467456805066451e-17
ENSG00000011523,CEP68,1136.7366995466764,-0.8757955756046193,0.16351053940630714,-5.356202595774918,8.498920925775124e-08,5.078942007671425e-06
ENSG00000143995,MEIS1,362.84237423284736,-1.2755605242081658,0.22397277635484492,-5.695158782097998,1.2325715774153474e-08,9.169618797417561e-07
ENSG00000168874,ATOH8,401.36705627423333,-1.8790113333036087,0.38594912907332335,-4.868546634151442,1.1242199462809815e-06,4.481183635515946e-05
ENSG00000196872,CRACDL,161.13676761211738,-1.5345859724595219,0.3167639296063717,-4.844572973843591,1.2688427769223863e-06,4.986253562063349e-05
ENSG00000144057,ST6GAL2,48.63510947524278,-2.4947493914213137,0.4596485894043934,-5.427514516369945,5.714422059052549e-08,3.6082956529023117e-06
