Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000162591,MEGF6,2123.361160764006,-1.3888750096968974,0.2138978199328388,-6.493170478002003,8.404848690821205e-11,1.0475640329085848e-08
ENSG00000142973,CYP4B1,341.2003984531885,-2.6535221354467375,0.46296780206539073,-5.731547903782621,9.951823373277755e-09,7.60688229147819e-07
ENSG00000177606,JUN,4122.765838908614,-3.336926872281527,0.4286754873184608,-7.78427265145334,7.01154038605463e-15,1.9848007077574813e-12
ENSG00000142871,CCN1,1621.3000847525443,-3.9136323229243892,0.4869141091636075,-8.037623575227666,9.159750563620325e-16,2.8864447931755633e-13
ENSG00000137936,BCAR3,363.2030120588266,-1.6203934492534549,0.22598406529556375,-7.170388085257906,7.478546060109809e-13,1.3801429505295466e-10
ENSG00000117525,F3,1052.7795465133368,-2.2610695682573354,0.3860901936633984,-5.8563247794596505,4.7322236205878355e-09,3.8181271883694554e-07
ENSG00000178104,PDE4DIP,1149.4241156319174,-1.2701711049149478,0.19782570938641889,-6.420657400165742,1.356870909432305e-10,1.595899964358003e-08
ENSG00000162772,ATF3,1062.3481515309502,-3.177248351680592,0.42940719835053565,-7.399150186315521,1.3705877085437332e-13,3.011956659768837e-11
ENSG00000180875,GREM2,324.15416625996545,-2.4932209145763986,0.4165079277977864,-5.9860107051476135,2.1505022009844544e-09,1.8324802300888707e-07
ENSG00000151693,ASAP2,977.3873577165667,-1.1379516353899857,0.13329060281197208,-8.53737331352046,1.3730738321008586e-17,5.7330981517081224e-15
ENSG00000143878,RHOB,6643.308279289717,-2.744547409704695,0.388184418798183,-7.070215281184649,1.5469351968879312e-12,2.7780793753573964e-10
ENSG00000309156,ENSG00000309156,64.64183112021362,-3.071723356087917,0.4057616757710086,-7.570264861143373,3.724640392223899e-14,9.284639031451858e-12
ENSG00000152518,ZFP36L2,2165.949768036996,-1.0948049670195843,0.120185518071735,-9.10929190625221,8.292139086732329e-20,4.467456805066451e-17
ENSG00000143995,MEIS1,362.84237423284736,-1.2755605242081658,0.22397277635484492,-5.695158782097998,1.2325715774153474e-08,9.169618797417561e-07
ENSG00000144057,ST6GAL2,48.63510947524278,-2.4947493914213137,0.4596485894043934,-5.427514516369945,5.714422059052549e-08,3.6082956529023117e-06
ENSG00000115361,ACADL,62.541137191964346,-1.805240168916328,0.33245057257546523,-5.430100946830357,5.6322184375280785e-08,3.5698860050996283e-06
ENSG00000169047,IRS1,908.9348465566038,-1.5656480457555995,0.22745604999885524,-6.88329919456299,5.84820157794912e-12,9.171243066114294e-10
ENSG00000170876,TMEM43,3625.7490285783883,-1.072148132273017,0.17689771659364512,-6.0608364704665325,1.3541545552166986e-09,1.2392554687096818e-07
ENSG00000284669,ENSG00000284669,329.72814705535814,-2.632230589316023,0.43806033368180886,-6.008831174447262,1.868655845288736e-09,1.6443959610699842e-07
