Geneid,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue
ENSG00000157933,SKI,2353.7210910220037,-0.880260408846909,0.17847928966551663,-4.9320030940092945,8.139062730302615e-07,2.8705637669842507e-05
ENSG00000162591,MEGF6,2900.398792791586,-1.36506813840215,0.1874254480678991,-7.283259303761265,3.2585004321093173e-13,6.198748360875315e-11
ENSG00000084636,COL16A1,4242.2755095545635,-1.418623280535359,0.27968812644522884,-5.072161262495236,3.93322852537169e-07,1.5713654549403875e-05
ENSG00000189433,GJB4,320.0837690118547,-3.1065047295603248,0.655942967537277,-4.735937243482656,2.1804505777561246e-06,6.621608185468661e-05
ENSG00000126070,AGO3,1702.5417839505292,-0.6218395182082017,0.11075837497995683,-5.614379213497234,1.9726916858224633e-08,1.1375759323778829e-06
ENSG00000142973,CYP4B1,488.05586397945484,-2.6249049315199033,0.4621358863822124,-5.679941785237078,1.3474059356323257e-08,8.123154175162698e-07
ENSG00000269113,TRABD2B,87.90795667154656,-1.6528175991970302,0.2604218961941702,-6.346692130544551,2.1999375655438265e-10,2.1088957628966473e-08
ENSG00000177606,JUN,5888.079762653429,-3.3117068622119605,0.4673248245741488,-7.086520313209904,1.3752603841747626e-12,2.264245964348718e-10
ENSG00000172456,FGGY,231.61382934245106,-1.0084247470692917,0.18420536887325709,-5.474459041219046,4.388501260782215e-08,2.295211165094288e-06
ENSG00000116678,LEPR,3448.575389835386,-1.570902981435776,0.3314897895083547,-4.738918154208136,2.1486226094409368e-06,6.535764631783263e-05
ENSG00000097096,SYDE2,260.8463978702302,-1.2653681445161993,0.2423121594663494,-5.22205797390834,1.769455505633786e-07,7.735496314156685e-06
ENSG00000142871,CCN1,2271.81269689259,-3.8990459702229128,0.504818204605568,-7.7236635577937856,1.1303294823429445e-14,2.9856148880734682e-12
ENSG00000137936,BCAR3,466.2645841628146,-1.5987830722426486,0.21355582582040109,-7.486487742025889,7.07411483591559e-14,1.527800742356711e-11
ENSG00000117525,F3,1404.752159147191,-2.243255110387773,0.3309024720469539,-6.77920323928394,1.2084043665579822e-11,1.5841215689002785e-09
ENSG00000196369,SRGAP2B,175.07268214925924,-1.4362675401294673,0.2669006492478966,-5.381281552430643,7.395741365906213e-08,3.606037772234351e-06
ENSG00000178104,PDE4DIP,1425.4848253206774,-1.2487860941679834,0.20522642070444436,-6.084918744289827,1.1655040422468839e-09,9.322762725728615e-08
ENSG00000301610,ENSG00000301610,46.368818084784955,-3.9303191733123266,0.8370269202779883,-4.695570809128831,2.6586324794011824e-06,7.784026433908645e-05
ENSG00000014914,MTMR11,415.85522304189357,-1.1524429354431798,0.20453999344226714,-5.634315891226744,1.757546066307984e-08,1.025887183219358e-06
ENSG00000143442,POGZ,1691.898975130864,-0.6625289653953232,0.1331532753000627,-4.975686583017243,6.501677302625288e-07,2.3775804996602338e-05
ENSG00000058668,ATP2B4,10705.533727081825,-0.708397821338032,0.15131076680333685,-4.681741004318337,2.844487209647708e-06,8.223255740331938e-05
ENSG00000143850,PLEKHA6,339.01366153679686,-2.0031877733454952,0.3689333134129952,-5.429674416804605,5.645695335718991e-08,2.8749196151306903e-06
ENSG00000076356,PLXNA2,1605.943112602793,-1.182018890573438,0.24225839443909056,-4.879165872911063,1.065354394412192e-06,3.61167927893293e-05
ENSG00000162772,ATF3,1555.766434837908,-3.1609966366429783,0.4494215448835626,-7.033478195759257,2.0144746831380988e-12,3.133959236924377e-10
ENSG00000213036,ENSG00000213036,12.83838714076676,-2.7675463090414976,0.5555672904289235,-4.9814781336475455,6.310041547870386e-07,2.3128856170231983e-05
ENSG00000300975,ENSG00000300975,16.496989653633744,-7.253798893683894,1.3803011594215573,-5.255229153559316,1.4784027598358834e-07,6.651906535217458e-06
ENSG00000143772,ITPKB,1390.9325907151388,-0.8958661986744805,0.18099936324737456,-4.949554421636758,7.43835771224863e-07,2.659056925208527e-05
ENSG00000168264,IRF2BP2,3651.258584611574,-0.8379873460951968,0.16964093939471467,-4.9397707244794065,7.821448224758552e-07,2.785300403220274e-05
ENSG00000116984,MTR,2766.08271749519,-0.8175095873721815,0.09798517093789007,-8.343197032236407,7.230853876535345e-17,2.6285227730395567e-14
ENSG00000180875,GREM2,421.01809039112464,-2.47545320001474,0.38467788170530887,-6.435132659670608,1.2336553621237425e-10,1.2581571283437e-08
ENSG00000151693,ASAP2,1220.7202206317334,-1.1160935093063935,0.13069074401830638,-8.53995833974331,1.3427023568877863e-17,5.244395429056922e-15
ENSG00000143867,OSR1,556.0021372476086,-1.684603864002153,0.29861095159482604,-5.641467116343169,1.6860724504576504e-08,9.917487641095087e-07
ENSG00000143878,RHOB,9123.14047731194,-2.7266835751542557,0.4162751627060553,-6.550195206048483,5.746192183874436e-11,6.373759698820239e-09
ENSG00000309156,ENSG00000309156,88.04715396758199,-3.0510979068523687,0.41716815115643757,-7.313832320119305,2.596290965687278e-13,4.990723707078974e-11
ENSG00000118960,HS1BP3,591.8753116654527,-0.7543619878925654,0.1407333904783231,-5.360220380740123,8.31204898003805e-08,3.999696963330235e-06
ENSG00000152518,ZFP36L2,2703.2019116870297,-1.0702564781191886,0.10737473895143934,-9.967488522633023,2.1150947331329802e-23,1.8889336205020948e-20
ENSG00000011523,CEP68,1299.9027168803439,-0.8540237969915208,0.14463470378277943,-5.90469489448495,3.532999844332217e-09,2.508976581908266e-07
ENSG00000143995,MEIS1,465.8067004696663,-1.2531859379804327,0.2300809906527392,-5.446716542836273,5.130813005140739e-08,2.639504639370684e-06
ENSG00000168874,ATOH8,565.5660068080846,-1.8587065208125901,0.349474740812587,-5.318571855839388,1.0458491581589549e-07,4.9040040666418935e-06
ENSG00000196872,CRACDL,203.32720358305173,-1.5155789736825975,0.29587086005047125,-5.122434069458756,3.01616572383473e-07,1.2414632797151584e-05
ENSG00000144057,ST6GAL2,68.24012924740883,-2.4693625327977853,0.41257323580022537,-5.985270779885224,2.160301605644986e-09,1.6055763856529484e-07
ENSG00000227368,CDK8P2,11.602931277363458,-6.752293940989638,1.2845753018403352,-5.256440732836779,1.4687007782851726e-07,6.624490058321881e-06
ENSG00000289035,ENSG00000289035,11.980374543066544,-3.7278538051398957,0.7929071985728389,-4.701500770644654,2.58256289356485e-06,7.603752737548794e-05
ENSG00000074047,GLI2,241.13689888500429,-1.7529347390005687,0.34886834160132724,-5.024631157285554,5.044009931519147e-07,1.921066645598812e-05
ENSG00000204406,MBD5,816.2056045860959,-0.542390489822804,0.11227929836809467,-4.830725678785769,1.360363240508236e-06,4.4279580864241506e-05
ENSG00000153234,NR4A2,576.2533911737074,-2.213133252643784,0.4652952462058886,-4.756406326284482,1.9706961928237355e-06,6.110989081040832e-05
ENSG00000217236,SP9,31.986093657733644,-2.6593072204606445,0.5311089908170303,-5.007083793421959,5.526087410921895e-07,2.076666318239482e-05
ENSG00000115361,ACADL,78.15975204044338,-1.7842228021600144,0.3074656019345035,-5.80299972073003,6.513890007712006e-09,4.309143633029663e-07
ENSG00000169047,IRS1,1198.9758849005298,-1.5413972314420796,0.20440977784956843,-7.540721621332822,4.673778734036538e-14,1.0463279647570212e-11
ENSG00000170876,TMEM43,4431.611605690173,-1.049099092123606,0.1590481018727988,-6.596111992349582,4.220801385325591e-11,4.842710089444659e-09
ENSG00000300859,ENSG00000300859,32.86028476437512,-2.673142194099547,0.5156367855152959,-5.184157277352065,2.1699376584781223e-07,9.29356589690293e-06
ENSG00000168026,TTC21A,243.70819181110016,-1.3130715639502026,0.2755263900214607,-4.765683475357579,1.8821453467641996e-06,5.8861129818098455e-05
ENSG00000284669,ENSG00000284669,465.17874358305926,-2.6018001046857777,0.4139083015871653,-6.285933610678892,3.2588919997272015e-10,2.9689880836224365e-08
ENSG00000185219,ZNF445,902.3932441073495,-0.7460831983817678,0.12224292885148348,-6.103283072415634,1.0391156820399604e-09,8.384864234307065e-08
ENSG00000012171,SEMA3B,491.253517832817,-3.0108195408909006,0.524500933588132,-5.740351156848784,9.448043050886792e-09,5.949998295254006e-07
ENSG00000114854,TNNC1,44.46418157513438,-2.2055544328511627,0.3664153051782255,-6.0192748547399635,1.7520015856394634e-09,1.3400987128490186e-07
ENSG00000010322,NISCH,2136.680406576894,-0.7413947990770552,0.13875203071386527,-5.343307735841078,9.126562554887161e-08,4.340437101071012e-06
ENSG00000163638,ADAMTS9,680.875317079772,-2.311664668625613,0.48487904445355073,-4.767507886901597,1.8651869598038162e-06,5.843032357440027e-05
ENSG00000227124,ZNF717,289.8557772698946,-1.1162216377489185,0.2365327857232624,-4.719099021878813,2.368914944329937e-06,7.123236050865983e-05
ENSG00000080224,EPHA6,28.088960239292405,-2.786666095937721,0.5250233352560796,-5.307699503639258,1.110174656392362e-07,5.159501583474122e-06
ENSG00000138468,SENP7,1000.5889409852782,-0.7155429985541523,0.14802490209813668,-4.833936644523269,1.3385920333526723e-06,4.370346689546706e-05
ENSG00000144868,TMEM108,57.62493778145116,-1.540437336105224,0.31813097011217684,-4.842148299997473,1.2844284265608706e-06,4.2180491664742725e-05
ENSG00000152580,IGSF10,2737.214897453494,-2.0414860571747426,0.3700023085999507,-5.517495458067568,3.4386496869900865e-08,1.8538916777950223e-06
ENSG00000186001,LRCH3,991.6872171757769,-0.579295571760637,0.11424114189043746,-5.070813913224083,3.9611795022696317e-07,1.579342394741672e-05
ENSG00000272602,ZNF595,398.8056702924787,-0.7709206261152016,0.15053432249045,-5.121228257855343,3.0355193821635125e-07,1.2466341623728564e-05
ENSG00000072840,EVC,1156.9162685512542,-0.7379221426111061,0.14092178073740852,-5.236395245289576,1.6374310737200502e-07,7.217470304202449e-06
ENSG00000109501,WFS1,529.631421271719,-1.2562394680848923,0.23235548593099511,-5.406541029368982,6.425351372394935e-08,3.213988768902998e-06
ENSG00000109680,TBC1D19,295.2255553750185,-0.8724207348186642,0.18263903226649655,-4.776748562408485,1.781523044540095e-06,5.595262496175328e-05
ENSG00000174808,BTC,621.006630437098,-4.124437088513906,0.6198480352363315,-6.65394879721022,2.8533197442908674e-11,3.4012868315467273e-09
ENSG00000152785,BMP3,176.49646907192488,-3.6601915673025673,0.5617564271602385,-6.515620276576763,7.238989068965643e-11,7.748672993209142e-09
ENSG00000145284,SCD5,375.463678528846,-1.4507380468985773,0.2602269293378921,-5.57489592099388,2.476778983350701e-08,1.390442513359648e-06
ENSG00000170509,HSD17B13,79.68101187778717,-4.161871907974807,0.6534392623771448,-6.369179428910264,1.9004218140345136e-10,1.845872669372412e-08
ENSG00000155011,DKK2,1096.263007874453,-2.116155768015463,0.3422077522348504,-6.183833516907551,6.25633485459976e-10,5.292657469738023e-08
ENSG00000138798,EGF,62.140356001325166,-1.8406570641890458,0.33486019522116917,-5.496792662900184,3.867609811405197e-08,2.057960785880316e-06
ENSG00000164056,SPRY1,1862.4216691696236,-1.3043920873402062,0.2191016128261251,-5.953365977161233,2.6268298039368946e-09,1.913572544673474e-07
ENSG00000145431,PDGFC,990.5899604673576,-1.420568649246837,0.2623749738710254,-5.414268854563622,6.153964222310026e-08,3.090872728072676e-06
ENSG00000164306,PRIMPOL,234.67639475883576,-0.7474163723116998,0.1560703954504508,-4.788969555401616,1.6763990918889597e-06,5.315111628558131e-05
ENSG00000249679,ENSG00000249679,43.46281648085547,-2.471097179756313,0.489911908176088,-5.043962268555701,4.5598925520829593e-07,1.7734793967131976e-05
ENSG00000171368,TPPP,990.2863433565623,-2.7385640466030727,0.577179224165161,-4.744737738202835,2.0877665028990564e-06,6.382376948704318e-05
ENSG00000164236,ANKRD33B,1149.041325795589,-2.6737766729498573,0.4301550071032179,-6.215844588107447,5.10493111112807e-10,4.399707646597819e-08
ENSG00000154162,CDH12,68.94246766615285,-2.371209528631027,0.4474779494897254,-5.299053352986442,1.1640461913107588e-07,5.36235331417497e-06
ENSG00000039560,RAI14,1404.4808866205321,-1.5799205550638669,0.22373574873692648,-7.061547222485098,1.6465876688408623e-12,2.663192346321245e-10
