sample,PC1,PC2,condition,sample,Instrument
NS_SRR7543029,-49.855004295623885,-57.82639191122539,NS,NS_SRR7543029,Illumina HiSeq 2000
NS_SRR7543030,-68.39111039614983,-80.27066993213823,NS,NS_SRR7543030,Illumina HiSeq 2000
NS_SRR7543031,-74.04822459516889,-34.38440704217151,NS,NS_SRR7543031,Illumina HiSeq 2000
NS_SRR7543032,-71.31467169027398,-18.439486492020265,NS,NS_SRR7543032,Illumina HiSeq 2000
NS_SRR7543033,-71.91595876766179,-29.994809962809157,NS,NS_SRR7543033,Illumina HiSeq 2000
NS_SRR7543034,-28.593046306727445,-40.5064328923467,NS,NS_SRR7543034,Illumina HiSeq 2000
NS_SRR7543035,-101.1200513938441,32.98334679785083,NS,NS_SRR7543035,Illumina HiSeq 2000
NS_SRR7543036,-77.95636379637419,22.68224673765506,NS,NS_SRR7543036,Illumina HiSeq 2000
NS_SRR7543037,-66.36560107413351,-55.38900539167437,NS,NS_SRR7543037,Illumina HiSeq 2000
PS_SRR7543038,9.116291084403729,96.13554839303805,PS,PS_SRR7543038,Illumina HiSeq 2000
PS_SRR7543039,24.326326528145852,118.81096873142806,PS,PS_SRR7543039,Illumina HiSeq 2000
PS_SRR7543040,0.7728681824088399,74.43739097803541,PS,PS_SRR7543040,Illumina HiSeq 2000
PS_SRR7543041,-2.1727897354752383,38.60498697444054,PS,PS_SRR7543041,Illumina HiSeq 2000
PS_SRR7543042,188.65939752930754,-78.29611084142141,PS,PS_SRR7543042,Illumina HiSeq 4000
PS_SRR7543043,173.665317213616,-71.05320226032399,PS,PS_SRR7543043,Illumina HiSeq 4000
PS_SRR7543044,101.18649881686056,12.268451815347111,PS,PS_SRR7543044,Illumina HiSeq 4000
PS_SRR7543045,114.00612269669016,70.23757629833527,PS,PS_SRR7543045,Illumina HiSeq 4000
