"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_KW_BIOLOGICAL_PROCESS","Keratinization","16","236","39","10631","1.43e-15","1.52e-13","18.48","1.53e-13","1.43e-13","4.87e-17","ENSG00000092295,ENSG00000125780,ENSG00000163209,ENSG00000105427,ENSG00000285946,ENSG00000244057,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000187238,ENSG00000185962,ENSG00000163202,ENSG00000185966"
"GOTERM_BP_DIRECT","keratinization","19","355","70","16968","3.20e-15","6.46e-12","12.97","6.50e-12","6.41e-12","1.74e-16","ENSG00000092295,ENSG00000125780,ENSG00000163209,ENSG00000105427,ENSG00000285946,ENSG00000205420,ENSG00000170465,ENSG00000244057,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000062038,ENSG00000186442,ENSG00000163216,ENSG00000187238,ENSG00000186832,ENSG00000185962,ENSG00000163202,ENSG00000185966"
"GOTERM_BP_DIRECT","innate immune response","43","355","495","16968","9.36e-15","9.44e-12","4.15","1.88e-11","9.36e-12","2.13e-15","ENSG00000185507,ENSG00000106785,ENSG00000160703,ENSG00000187608,ENSG00000111335,ENSG00000136695,ENSG00000113356,ENSG00000136694,ENSG00000111331,ENSG00000204613,ENSG00000163220,ENSG00000163221,ENSG00000138496,ENSG00000029993,ENSG00000089127,ENSG00000204610,ENSG00000148346,ENSG00000057657,ENSG00000165949,ENSG00000154451,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000026751,ENSG00000173431,ENSG00000112115,ENSG00000136688,ENSG00000118520,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000143546,ENSG00000126709,ENSG00000151715,ENSG00000205413,ENSG00000162645,ENSG00000186832,ENSG00000168703,ENSG00000183347,ENSG00000147324,ENSG00000124102,ENSG00000165799"
"KEGG_PATHWAY","Cornified envelope formation","31","217","212","8128","3.01e-14","7.98e-12","5.48","7.97e-12","7.83e-12","4.83e-15","ENSG00000092295,ENSG00000125780,ENSG00000177628,ENSG00000241794,ENSG00000205420,ENSG00000143556,ENSG00000163220,ENSG00000169469,ENSG00000163221,ENSG00000186442,ENSG00000203785,ENSG00000187238,ENSG00000156282,ENSG00000163202,ENSG00000070610,ENSG00000163209,ENSG00000285946,ENSG00000196754,ENSG00000170465,ENSG00000244057,ENSG00000197915,ENSG00000143546,ENSG00000196805,ENSG00000184330,ENSG00000169474,ENSG00000163216,ENSG00000186832,ENSG00000100596,ENSG00000140479,ENSG00000185962,ENSG00000185966"
"UP_KW_BIOLOGICAL_PROCESS","Innate immunity","36","236","417","10631","7.23e-12","3.83e-10","3.89","7.66e-10","3.61e-10","1.73e-12","ENSG00000185507,ENSG00000106785,ENSG00000160703,ENSG00000187608,ENSG00000111335,ENSG00000136695,ENSG00000113356,ENSG00000136694,ENSG00000111331,ENSG00000163220,ENSG00000163221,ENSG00000138496,ENSG00000029993,ENSG00000089127,ENSG00000148346,ENSG00000057657,ENSG00000165949,ENSG00000154451,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000026751,ENSG00000112115,ENSG00000136688,ENSG00000118520,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000143546,ENSG00000126709,ENSG00000151715,ENSG00000205413,ENSG00000162645,ENSG00000183347,ENSG00000147324"
"GOTERM_CC_DIRECT","cornified envelope","14","365","60","17924","1.76e-10","6.72e-8","11.46","6.72e-8","6.66e-8","1.22e-11","ENSG00000092295,ENSG00000134755,ENSG00000163209,ENSG00000105427,ENSG00000241794,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000186832,ENSG00000121552,ENSG00000124102"
"UP_KW_MOLECULAR_FUNCTION","Antimicrobial","14","238","70","10932","2.67e-9","1.92e-7","9.19","1.92e-7","1.82e-7","2.40e-10","ENSG00000154451,ENSG00000241794,ENSG00000171711,ENSG00000244057,ENSG00000163220,ENSG00000143546,ENSG00000163221,ENSG00000188373,ENSG00000187238,ENSG00000162645,ENSG00000185962,ENSG00000168703,ENSG00000183347,ENSG00000165799"
"UP_KW_BIOLOGICAL_PROCESS","Immunity","46","236","826","10631","1.08e-8","3.00e-7","2.51","1.14e-6","2.83e-7","4.11e-9","ENSG00000185507,ENSG00000131203,ENSG00000106785,ENSG00000160703,ENSG00000187608,ENSG00000065675,ENSG00000111335,ENSG00000136695,ENSG00000113356,ENSG00000136694,ENSG00000111331,ENSG00000203722,ENSG00000163220,ENSG00000163221,ENSG00000138496,ENSG00000078081,ENSG00000029993,ENSG00000089127,ENSG00000167286,ENSG00000148346,ENSG00000057657,ENSG00000160654,ENSG00000131015,ENSG00000173391,ENSG00000165949,ENSG00000154451,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000026751,ENSG00000112115,ENSG00000136688,ENSG00000118520,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000143546,ENSG00000126709,ENSG00000151715,ENSG00000205413,ENSG00000162645,ENSG00000183347,ENSG00000163874,ENSG00000163599,ENSG00000147324"
"UP_KW_BIOLOGICAL_PROCESS","Antiviral defense","17","236","123","10631","1.13e-8","3.00e-7","6.23","1.20e-6","2.83e-7","1.60e-9","ENSG00000185507,ENSG00000187608,ENSG00000165949,ENSG00000115415,ENSG00000134321,ENSG00000111335,ENSG00000113356,ENSG00000213928,ENSG00000111331,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000138496,ENSG00000126709,ENSG00000089127,ENSG00000163874"
"GOTERM_BP_DIRECT","defense response to bacterium","17","355","141","16968","4.16e-8","2.09e-5","5.76","8.40e-5","2.07e-5","6.47e-9","ENSG00000187608,ENSG00000154451,ENSG00000111536,ENSG00000111335,ENSG00000171711,ENSG00000111331,ENSG00000172936,ENSG00000163220,ENSG00000143546,ENSG00000163221,ENSG00000089127,ENSG00000162645,ENSG00000148346,ENSG00000167914,ENSG00000007171,ENSG00000168703,ENSG00000183347"
