"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 2","21","149","608","17715","1.70e-7","1.47e-4","4.11","1.47e-4","1.44e-4","3.98e-8","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","27","143","1033","16905","4.27e-7","1.34e-4","3.09","1.34e-4","1.31e-4","1.34e-7","ENSG00000120093,ENSG00000196263,ENSG00000198046,ENSG00000177606,ENSG00000169083,ENSG00000134532,ENSG00000143995,ENSG00000189298,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000142065,ENSG00000127528,ENSG00000176293,ENSG00000162772,ENSG00000182986,ENSG00000125740,ENSG00000198353,ENSG00000120738,ENSG00000170345,ENSG00000188171,ENSG00000119138,ENSG00000121413,ENSG00000123358,ENSG00000237440,ENSG00000067082,ENSG00000179094"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 1","19","149","539","17715","5.96e-7","2.57e-4","4.19","5.14e-4","2.53e-4","1.37e-7","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000121413,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"INTERPRO","Znf_C2H2_sf","22","149","751","17928","9.64e-7","4.91e-4","3.52","5.05e-4","4.86e-4","2.64e-7","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 3","20","149","630","17715","1.31e-6","3.76e-4","3.77","1.13e-3","3.71e-4","3.34e-7","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","27","143","1110","16905","1.65e-6","2.60e-4","2.88","5.19e-4","2.55e-4","5.59e-7","ENSG00000120093,ENSG00000196263,ENSG00000177606,ENSG00000169083,ENSG00000134532,ENSG00000143995,ENSG00000189298,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000168874,ENSG00000142065,ENSG00000127528,ENSG00000176293,ENSG00000162772,ENSG00000182986,ENSG00000125740,ENSG00000198353,ENSG00000120738,ENSG00000170345,ENSG00000188171,ENSG00000119138,ENSG00000121413,ENSG00000143867,ENSG00000123358,ENSG00000237440,ENSG00000067082"
"INTERPRO","Znf_C2H2_type","22","149","783","17928","1.87e-6","4.91e-4","3.38","9.82e-4","4.86e-4","5.36e-7","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","26","140","1175","16488","1.50e-5","1.69e-2","2.61","1.68e-2","1.69e-2","5.60e-6","ENSG00000120093,ENSG00000177606,ENSG00000152785,ENSG00000008710,ENSG00000169083,ENSG00000143995,ENSG00000269067,ENSG00000168874,ENSG00000184384,ENSG00000127528,ENSG00000162772,ENSG00000102760,ENSG00000125740,ENSG00000128342,ENSG00000198353,ENSG00000169252,ENSG00000120738,ENSG00000136244,ENSG00000170345,ENSG00000188171,ENSG00000142871,ENSG00000143867,ENSG00000123358,ENSG00000067082,ENSG00000179094,ENSG00000145687"
"INTERPRO","Krueppel_C2H2_ZnF","11","149","240","17928","3.11e-5","5.43e-3","5.51","1.62e-2","5.38e-3","5.36e-6","ENSG00000245680,ENSG00000197928,ENSG00000269067,ENSG00000196263,ENSG00000142065,ENSG00000198046,ENSG00000160321,ENSG00000176293,ENSG00000237440,ENSG00000188171,ENSG00000182986"
"SMART","ZnF_C2H2","22","105","738","9557","3.65e-5","3.54e-3","2.71","3.53e-3","3.50e-3","1.30e-5","ENSG00000196263,ENSG00000198046,ENSG00000198455,ENSG00000153814,ENSG00000120738,ENSG00000188171,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000197928,ENSG00000198939,ENSG00000269067,ENSG00000143867,ENSG00000142065,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
