"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 1","14","122","550","18235","7.43e-5","3.32e-2","3.80","5.32e-2","3.31e-2","1.88e-5","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000105708,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 3","15","122","641","18235","9.02e-5","3.32e-2","3.50","6.43e-2","3.31e-2","2.49e-5","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000105708,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000198939,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","20","118","1068","17376","9.06e-5","2.54e-2","2.76","2.55e-2","2.49e-2","3.18e-5","ENSG00000196263,ENSG00000120093,ENSG00000120738,ENSG00000177606,ENSG00000109906,ENSG00000170345,ENSG00000169083,ENSG00000119138,ENSG00000143995,ENSG00000189298,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000123358,ENSG00000176293,ENSG00000162772,ENSG00000067082,ENSG00000237440,ENSG00000125740,ENSG00000182986"
"INTERPRO","ZFP36-like","3","122","3","18453","1.27e-4","3.11e-2","151.25","5.39e-2","3.09e-2","2.82e-7","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"INTERPRO","Znf_C2H2_sf","16","122","764","18453","1.43e-4","3.11e-2","3.17","6.03e-2","3.09e-2","4.36e-5","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000105708,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"INTERPRO","Znf_C2H2_type","16","122","796","18453","2.23e-4","3.24e-2","3.04","9.25e-2","3.21e-2","7.09e-5","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000105708,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000160321,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"UP_SEQ_FEATURE","ZN_FING:C2H2-type 2","14","122","618","18235","2.35e-4","5.77e-2","3.39","1.59e-1","5.76e-2","6.70e-5","ENSG00000196263,ENSG00000120738,ENSG00000109906,ENSG00000119138,ENSG00000245680,ENSG00000189298,ENSG00000061455,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000176293,ENSG00000067082,ENSG00000237440,ENSG00000182986"
"GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","20","118","1160","17376","2.64e-4","2.54e-2","2.54","7.24e-2","2.49e-2","1.01e-4","ENSG00000196263,ENSG00000120093,ENSG00000120738,ENSG00000177606,ENSG00000105708,ENSG00000170345,ENSG00000169083,ENSG00000119138,ENSG00000143995,ENSG00000189298,ENSG00000121413,ENSG00000198939,ENSG00000127528,ENSG00000123358,ENSG00000176293,ENSG00000162772,ENSG00000067082,ENSG00000237440,ENSG00000125740,ENSG00000182986"
"GOTERM_MF_DIRECT","protein-RNA sequence-specific adaptor activity","3","118","4","17376","2.67e-4","2.54e-2","110.44","7.34e-2","2.49e-2","1.22e-6","ENSG00000152518,ENSG00000185650,ENSG00000128016"
"GOTERM_CC_DIRECT","extracellular matrix","12","121","466","17924","2.96e-4","4.92e-2","3.81","4.80e-2","4.92e-2","7.47e-5","ENSG00000170558,ENSG00000124749,ENSG00000118523,ENSG00000142871,ENSG00000101825,ENSG00000012171,ENSG00000120708,ENSG00000132561,ENSG00000134917,ENSG00000117525,ENSG00000156218,ENSG00000154734"
