"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","innate immune response","47","471","479","16488","4.96e-13","1.18e-9","3.43","1.18e-9","1.17e-9","1.34e-13","ENSG00000185507,ENSG00000110944,ENSG00000106785,ENSG00000160703,ENSG00000187608,ENSG00000111335,ENSG00000136695,ENSG00000113356,ENSG00000136694,ENSG00000158786,ENSG00000111331,ENSG00000204613,ENSG00000163220,ENSG00000138496,ENSG00000029993,ENSG00000089127,ENSG00000204610,ENSG00000148346,ENSG00000057657,ENSG00000165949,ENSG00000154451,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000026751,ENSG00000173431,ENSG00000112116,ENSG00000117228,ENSG00000112115,ENSG00000136688,ENSG00000118520,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000143546,ENSG00000126709,ENSG00000164047,ENSG00000151715,ENSG00000161031,ENSG00000205413,ENSG00000162645,ENSG00000186832,ENSG00000168703,ENSG00000183347,ENSG00000147324,ENSG00000124102"
"KEGG_PATHWAY","Cornified envelope formation","32","286","211","7870","1.71e-11","5.27e-9","4.17","5.27e-9","5.05e-9","3.60e-12","ENSG00000092295,ENSG00000177628,ENSG00000241794,ENSG00000205420,ENSG00000143556,ENSG00000163220,ENSG00000169469,ENSG00000186442,ENSG00000188643,ENSG00000203785,ENSG00000187238,ENSG00000156282,ENSG00000163202,ENSG00000140564,ENSG00000070610,ENSG00000283227,ENSG00000285946,ENSG00000196754,ENSG00000170465,ENSG00000244057,ENSG00000197915,ENSG00000143546,ENSG00000196805,ENSG00000167114,ENSG00000184330,ENSG00000169474,ENSG00000163216,ENSG00000186832,ENSG00000100596,ENSG00000140479,ENSG00000185962,ENSG00000185966"
"UP_KW_BIOLOGICAL_PROCESS","Keratinization","14","309","39","10326","4.65e-11","4.61e-9","12.00","5.26e-9","4.16e-9","2.65e-12","ENSG00000092295,ENSG00000105427,ENSG00000285946,ENSG00000244057,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000187238,ENSG00000185962,ENSG00000163202,ENSG00000185966"
"UP_KW_BIOLOGICAL_PROCESS","Innate immunity","40","309","407","10326","8.16e-11","4.61e-9","3.28","9.22e-9","4.16e-9","2.28e-11","ENSG00000185507,ENSG00000110944,ENSG00000106785,ENSG00000160703,ENSG00000187608,ENSG00000111335,ENSG00000136695,ENSG00000113356,ENSG00000136694,ENSG00000158786,ENSG00000111331,ENSG00000163220,ENSG00000138496,ENSG00000029993,ENSG00000089127,ENSG00000148346,ENSG00000057657,ENSG00000165949,ENSG00000154451,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000026751,ENSG00000112116,ENSG00000117228,ENSG00000112115,ENSG00000136688,ENSG00000118520,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000143546,ENSG00000126709,ENSG00000164047,ENSG00000151715,ENSG00000205413,ENSG00000162645,ENSG00000183347,ENSG00000147324"
"GOTERM_BP_DIRECT","keratinization","17","471","70","16488","8.89e-11","1.06e-7","8.50","2.12e-7","1.05e-7","8.24e-12","ENSG00000092295,ENSG00000105427,ENSG00000285946,ENSG00000205420,ENSG00000170465,ENSG00000244057,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000062038,ENSG00000186442,ENSG00000163216,ENSG00000187238,ENSG00000186832,ENSG00000185962,ENSG00000163202,ENSG00000185966"
"GOTERM_BP_DIRECT","defense response to Gram-positive bacterium","19","471","116","16488","4.78e-9","3.80e-6","5.73","1.14e-5","3.77e-6","7.18e-10","ENSG00000173431,ENSG00000112116,ENSG00000241794,ENSG00000205420,ENSG00000112115,ENSG00000171711,ENSG00000244057,ENSG00000274641,ENSG00000172936,ENSG00000188373,ENSG00000164047,ENSG00000275713,ENSG00000161031,ENSG00000187238,ENSG00000273703,ENSG00000162645,ENSG00000185962,ENSG00000278588,ENSG00000183347"
"UP_KW_BIOLOGICAL_PROCESS","Immunity","55","309","799","10326","8.18e-9","3.08e-7","2.30","9.24e-7","2.78e-7","3.35e-9","ENSG00000131203,ENSG00000185507,ENSG00000110944,ENSG00000174371,ENSG00000187608,ENSG00000136695,ENSG00000136694,ENSG00000078081,ENSG00000029993,ENSG00000167286,ENSG00000234883,ENSG00000160654,ENSG00000165949,ENSG00000183918,ENSG00000134321,ENSG00000172243,ENSG00000112116,ENSG00000112115,ENSG00000118520,ENSG00000115267,ENSG00000143546,ENSG00000126709,ENSG00000151715,ENSG00000204267,ENSG00000161031,ENSG00000162645,ENSG00000160703,ENSG00000106785,ENSG00000065675,ENSG00000111335,ENSG00000113356,ENSG00000158786,ENSG00000111331,ENSG00000163220,ENSG00000203722,ENSG00000138496,ENSG00000089127,ENSG00000148346,ENSG00000057657,ENSG00000211772,ENSG00000104951,ENSG00000173391,ENSG00000154451,ENSG00000026751,ENSG00000117228,ENSG00000136688,ENSG00000135114,ENSG00000157601,ENSG00000172936,ENSG00000164047,ENSG00000205413,ENSG00000183347,ENSG00000163874,ENSG00000147324,ENSG00000163599"
"UP_KW_BIOLOGICAL_PROCESS","Antiviral defense","19","309","120","10326","1.47e-8","4.16e-7","5.29","1.67e-6","3.76e-7","2.42e-9","ENSG00000110944,ENSG00000185507,ENSG00000187608,ENSG00000165949,ENSG00000115415,ENSG00000134321,ENSG00000111335,ENSG00000113356,ENSG00000117228,ENSG00000213928,ENSG00000111331,ENSG00000115267,ENSG00000157601,ENSG00000135114,ENSG00000172936,ENSG00000138496,ENSG00000126709,ENSG00000089127,ENSG00000163874"
"UP_KW_MOLECULAR_FUNCTION","Antimicrobial","14","323","62","10600","3.20e-8","2.59e-6","7.41","2.59e-6","2.56e-6","3.49e-9","ENSG00000154451,ENSG00000241794,ENSG00000171711,ENSG00000244057,ENSG00000163220,ENSG00000143546,ENSG00000188373,ENSG00000164047,ENSG00000187238,ENSG00000162645,ENSG00000185962,ENSG00000168703,ENSG00000278588,ENSG00000183347"
"GOTERM_CC_DIRECT","cornified envelope","13","485","60","17412","7.74e-8","3.49e-5","7.78","3.49e-5","3.44e-5","8.10e-9","ENSG00000092295,ENSG00000134755,ENSG00000105427,ENSG00000241794,ENSG00000169469,ENSG00000197915,ENSG00000196805,ENSG00000203785,ENSG00000169474,ENSG00000163216,ENSG00000186832,ENSG00000121552,ENSG00000124102"
